"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"With related children under 5 years only","Arkansas","(X)","(X)","25.20%","±1.1",2010
"Married couple families","Arkansas","(X)","(X)","6.60%","±0.3",2010
"With related children under 18 years","Arkansas","(X)","(X)","10.00%","±0.5",2010
"With related children under 5 years only","Arkansas","(X)","(X)","10.70%","±1.0",2010
"Families with female householder, no husband present","Arkansas","(X)","(X)","38.10%","±0.9",2010
"With related children under 18 years","Arkansas","(X)","(X)","47.30%","±1.1",2010
"With related children under 5 years only","Arkansas","(X)","(X)","55.80%","±2.7",2010
"All people","Arkansas","(X)","(X)","18.00%","±0.3",2010
"Under 18 years","Arkansas","(X)","(X)","26.30%","±0.7",2010
"Related children under 18 years","Arkansas","(X)","(X)","25.90%","±0.7",2010
"Related children under 5 years","Arkansas","(X)","(X)","30.90%","±1.1",2010
"Related children 5 to 17 years","Arkansas","(X)","(X)","23.90%","±0.6",2010
"18 years and over","Arkansas","(X)","(X)","15.30%","±0.3",2010
"18 to 64 years","Arkansas","(X)","(X)","16.10%","±0.3",2010
"65 years and over","Arkansas","(X)","(X)","11.60%","±0.4",2010
"People in families","Arkansas","(X)","(X)","15.40%","±0.4",2010
"Unrelated individuals 15 years and over","Arkansas","(X)","(X)","30.70%","±0.5",2010
"All families","California","(X)","(X)","10.20%","±0.1",2010
"With related children under 18 years","California","(X)","(X)","15.10%","±0.2",2010
"With related children under 5 years only","California","(X)","(X)","13.70%","±0.3",2010
"Married couple families","California","(X)","(X)","6.10%","±0.1",2010
"With related children under 18 years","California","(X)","(X)","8.70%","±0.1",2010
"With related children under 5 years only","California","(X)","(X)","6.40%","±0.2",2010
"Families with female householder, no husband present","California","(X)","(X)","24.60%","±0.2",2010
"With related children under 18 years","California","(X)","(X)","32.80%","±0.4",2010
"With related children under 5 years only","California","(X)","(X)","37.30%","±0.8",2010
"All people","California","(X)","(X)","13.70%","±0.1",2010
"Under 18 years","California","(X)","(X)","19.10%","±0.2",2010
"Related children under 18 years","California","(X)","(X)","18.70%","±0.2",2010
"Related children under 5 years","California","(X)","(X)","20.60%","±0.3",2010
"Related children 5 to 17 years","California","(X)","(X)","18.00%","±0.2",2010
"18 years and over","California","(X)","(X)","11.90%","±0.1",2010
"18 to 64 years","California","(X)","(X)","12.40%","±0.1",2010
"65 years and over","California","(X)","(X)","8.70%","±0.1",2010
"People in families","California","(X)","(X)","11.60%","±0.1",2010
"Unrelated individuals 15 years and over","California","(X)","(X)","23.70%","±0.1",2010
"All families","Colorado","(X)","(X)","8.60%","±0.2",2010
"With related children under 18 years","Colorado","(X)","(X)","13.50%","±0.3",2010
"With related children under 5 years only","Colorado","(X)","(X)","15.50%","±0.7",2010
"Married couple families","Colorado","(X)","(X)","4.60%","±0.1",2010
"With related children under 18 years","Colorado","(X)","(X)","6.70%","±0.3",2010
"With related children under 5 years only","Colorado","(X)","(X)","6.90%","±0.6",2010
"Families with female householder, no husband present","Colorado","(X)","(X)","27.00%","±0.8",2010
"With related children under 18 years","Colorado","(X)","(X)","34.80%","±1.0",2010
"With related children under 5 years only","Colorado","(X)","(X)","45.40%","±2.2",2010
"All people","Colorado","(X)","(X)","12.20%","±0.2",2010
"Under 18 years","Colorado","(X)","(X)","16.20%","±0.5",2010
"Related children under 18 years","Colorado","(X)","(X)","15.80%","±0.4",2010
"Related children under 5 years","Colorado","(X)","(X)","19.50%","±0.7",2010
"Related children 5 to 17 years","Colorado","(X)","(X)","14.40%","±0.5",2010
"18 years and over","Colorado","(X)","(X)","10.90%","±0.2",2010
"18 to 64 years","Colorado","(X)","(X)","11.30%","±0.2",2010
"65 years and over","Colorado","(X)","(X)","8.40%","±0.3",2010
"People in families","Colorado","(X)","(X)","9.70%","±0.2",2010
"Unrelated individuals 15 years and over","Colorado","(X)","(X)","22.10%","±0.3",2010
"All families","Connecticut","(X)","(X)","6.50%","±0.2",2010
"With related children under 18 years","Connecticut","(X)","(X)","10.40%","±0.4",2010
"With related children under 5 years only","Connecticut","(X)","(X)","11.90%","±0.9",2010
"Married couple families","Connecticut","(X)","(X)","2.30%","±0.1",2010
"With related children under 18 years","Connecticut","(X)","(X)","3.00%","±0.2",2010
"With related children under 5 years only","Connecticut","(X)","(X)","3.10%","±0.5",2010
"Families with female householder, no husband present","Connecticut","(X)","(X)","22.40%","±0.8",2010
"With related children under 18 years","Connecticut","(X)","(X)","30.30%","±1.2",2010
"With related children under 5 years only","Connecticut","(X)","(X)","40.50%","±3.3",2010
"All people","Connecticut","(X)","(X)","9.20%","±0.2",2010
"Under 18 years","Connecticut","(X)","(X)","12.20%","±0.4",2010
"Related children under 18 years","Connecticut","(X)","(X)","11.90%","±0.4",2010
"Related children under 5 years","Connecticut","(X)","(X)","14.70%","±0.7",2010
"Related children 5 to 17 years","Connecticut","(X)","(X)","10.90%","±0.4",2010
"18 years and over","Connecticut","(X)","(X)","8.20%","±0.2",2010
"18 to 64 years","Connecticut","(X)","(X)","8.60%","±0.2",2010
"65 years and over","Connecticut","(X)","(X)","6.60%","±0.3",2010
"People in families","Connecticut","(X)","(X)","6.90%","±0.2",2010
"Unrelated individuals 15 years and over","Connecticut","(X)","(X)","19.60%","±0.4",2010
"All families","Delaware","(X)","(X)","7.40%","±0.4",2010
"With related children under 18 years","Delaware","(X)","(X)","12.60%","±0.8",2010
"With related children under 5 years only","Delaware","(X)","(X)","13.80%","±2.1",2010
"Married couple families","Delaware","(X)","(X)","2.80%","±0.3",2010
"With related children under 18 years","Delaware","(X)","(X)","4.40%","±0.6",2010
"With related children under 5 years only","Delaware","(X)","(X)","2.90%","±1.1",2010
"Families with female householder, no husband present","Delaware","(X)","(X)","23.00%","±1.5",2010
"With related children under 18 years","Delaware","(X)","(X)","30.30%","±2.1",2010
"With related children under 5 years only","Delaware","(X)","(X)","42.00%","±5.9",2010
"All people","Delaware","(X)","(X)","11.00%","±0.5",2010
"Under 18 years","Delaware","(X)","(X)","16.30%","±1.0",2010
"Related children under 18 years","Delaware","(X)","(X)","16.00%","±1.0",2010
"Related children under 5 years","Delaware","(X)","(X)","18.90%","±1.8",2010
"Related children 5 to 17 years","Delaware","(X)","(X)","14.90%","±0.9",2010
"18 years and over","Delaware","(X)","(X)","9.30%","±0.3",2010
"18 to 64 years","Delaware","(X)","(X)","9.80%","±0.4",2010
"65 years and over","Delaware","(X)","(X)","7.30%","±0.5",2010
"People in families","Delaware","(X)","(X)","8.60%","±0.5",2010
"Unrelated individuals 15 years and over","Delaware","(X)","(X)","21.80%","±0.7",2010
"All families","District of Columbia","(X)","(X)","14.50%","±0.7",2010
"With related children under 18 years","District of Columbia","(X)","(X)","23.30%","±1.1",2010
"With related children under 5 years only","District of Columbia","(X)","(X)","13.80%","±2.3",2010
"Married couple families","District of Columbia","(X)","(X)","3.50%","±0.5",2010
"With related children under 18 years","District of Columbia","(X)","(X)","4.20%","±0.9",2010
"With related children under 5 years only","District of Columbia","(X)","(X)","2.70%","±1.5",2010
"Families with female householder, no husband present","District of Columbia","(X)","(X)","29.30%","±1.5",2010
"With related children under 18 years","District of Columbia","(X)","(X)","38.10%","±1.9",2010
"With related children under 5 years only","District of Columbia","(X)","(X)","34.40%","±5.9",2010
"All people","District of Columbia","(X)","(X)","18.50%","±0.6",2010
"Under 18 years","District of Columbia","(X)","(X)","29.60%","±1.6",2010
"Related children under 18 years","District of Columbia","(X)","(X)","29.20%","±1.5",2010
"Related children under 5 years","District of Columbia","(X)","(X)","26.10%","±2.3",2010
"Related children 5 to 17 years","District of Columbia","(X)","(X)","30.60%","±1.7",2010
"18 years and over","District of Columbia","(X)","(X)","16.00%","±0.5",2010
"18 to 64 years","District of Columbia","(X)","(X)","16.30%","±0.6",2010
"65 years and over","District of Columbia","(X)","(X)","14.10%","±1.0",2010
"People in families","District of Columbia","(X)","(X)","16.80%","±0.8",2010
"Unrelated individuals 15 years and over","District of Columbia","(X)","(X)","21.20%","±0.7",2010
"All families","Florida","(X)","(X)","9.90%","±0.1",2010
"With related children under 18 years","Florida","(X)","(X)","15.80%","±0.3",2010
"With related children under 5 years only","Florida","(X)","(X)","16.80%","±0.5",2010
"Married couple families","Florida","(X)","(X)","5.30%","±0.1",2010
"With related children under 18 years","Florida","(X)","(X)","7.30%","±0.2",2010
"With related children under 5 years only","Florida","(X)","(X)","6.80%","±0.5",2010
"Families with female householder, no husband present","Florida","(X)","(X)","25.90%","±0.3",2010
"With related children under 18 years","Florida","(X)","(X)","33.90%","±0.5",2010
"With related children under 5 years only","Florida","(X)","(X)","40.10%","±1.2",2010
"All people","Florida","(X)","(X)","13.80%","±0.2",2010
"Under 18 years","Florida","(X)","(X)","19.50%","±0.3",2010
"Related children under 18 years","Florida","(X)","(X)","19.10%","±0.3",2010
"Related children under 5 years","Florida","(X)","(X)","22.50%","±0.5",2010
"Related children 5 to 17 years","Florida","(X)","(X)","17.80%","±0.3",2010
"18 years and over","Florida","(X)","(X)","12.20%","±0.1",2010
"18 to 64 years","Florida","(X)","(X)","12.90%","±0.1",2010
"65 years and over","Florida","(X)","(X)","9.90%","±0.2",2010
"People in families","Florida","(X)","(X)","11.20%","±0.2",2010
"Unrelated individuals 15 years and over","Florida","(X)","(X)","24.50%","±0.2",2010
"All families","Georgia","(X)","(X)","11.90%","±0.2",2010
"With related children under 18 years","Georgia","(X)","(X)","17.50%","±0.3",2010
"With related children under 5 years only","Georgia","(X)","(X)","18.50%","±0.7",2010
"Married couple families","Georgia","(X)","(X)","5.50%","±0.1",2010
"With related children under 18 years","Georgia","(X)","(X)","7.30%","±0.2",2010
"With related children under 5 years only","Georgia","(X)","(X)","7.20%","±0.5",2010
"Families with female householder, no husband present","Georgia","(X)","(X)","31.30%","±0.4",2010
"With related children under 18 years","Georgia","(X)","(X)","38.50%","±0.6",2010
"With related children under 5 years only","Georgia","(X)","(X)","46.10%","±1.8",2010
"All people","Georgia","(X)","(X)","15.70%","±0.2",2010
"Under 18 years","Georgia","(X)","(X)","21.50%","±0.3",2010
"Related children under 18 years","Georgia","(X)","(X)","21.20%","±0.3",2010
"Related children under 5 years","Georgia","(X)","(X)","25.10%","±0.5",2010
"Related children 5 to 17 years","Georgia","(X)","(X)","19.70%","±0.3",2010
"18 years and over","Georgia","(X)","(X)","13.60%","±0.1",2010
"18 to 64 years","Georgia","(X)","(X)","13.90%","±0.2",2010
"65 years and over","Georgia","(X)","(X)","11.80%","±0.2",2010
"People in families","Georgia","(X)","(X)","13.50%","±0.2",2010
"Unrelated individuals 15 years and over","Georgia","(X)","(X)","26.80%","±0.3",2010
"All families","Hawaii","(X)","(X)","6.70%","±0.3",2010
"With related children under 18 years","Hawaii","(X)","(X)","10.00%","±0.5",2010
"With related children under 5 years only","Hawaii","(X)","(X)","10.60%","±1.5",2010
"Married couple families","Hawaii","(X)","(X)","3.70%","±0.3",2010
"With related children under 18 years","Hawaii","(X)","(X)","4.60%","±0.5",2010
"With related children under 5 years only","Hawaii","(X)","(X)","4.70%","±1.1",2010
"Families with female householder, no husband present","Hawaii","(X)","(X)","18.60%","±1.2",2010
"With related children under 18 years","Hawaii","(X)","(X)","26.90%","±1.8",2010
"With related children under 5 years only","Hawaii","(X)","(X)","31.10%","±5.0",2010
"All people","Hawaii","(X)","(X)","9.60%","±0.3",2010
"Under 18 years","Hawaii","(X)","(X)","12.30%","±0.7",2010
"Related children under 18 years","Hawaii","(X)","(X)","11.80%","±0.7",2010
"Related children under 5 years","Hawaii","(X)","(X)","13.50%","±1.2",2010
"Related children 5 to 17 years","Hawaii","(X)","(X)","11.10%","±0.7",2010
"18 years and over","Hawaii","(X)","(X)","8.80%","±0.3",2010
"18 to 64 years","Hawaii","(X)","(X)","9.10%","±0.3",2010
"65 years and over","Hawaii","(X)","(X)","7.50%","±0.5",2010
"People in families","Hawaii","(X)","(X)","6.80%","±0.3",2010
"Unrelated individuals 15 years and over","Hawaii","(X)","(X)","23.10%","±0.9",2010
"All families","Idaho","(X)","(X)","9.70%","±0.3",2010
"With related children under 18 years","Idaho","(X)","(X)","14.70%","±0.6",2010
"With related children under 5 years only","Idaho","(X)","(X)","18.50%","±1.4",2010
"Married couple families","Idaho","(X)","(X)","5.90%","±0.2",2010
"With related children under 18 years","Idaho","(X)","(X)","8.40%","±0.4",2010
"With related children under 5 years only","Idaho","(X)","(X)","10.30%","±1.2",2010
"Families with female householder, no husband present","Idaho","(X)","(X)","31.50%","±1.8",2010
"With related children under 18 years","Idaho","(X)","(X)","38.10%","±2.0",2010
"With related children under 5 years only","Idaho","(X)","(X)","50.70%","±4.4",2010
"All people","Idaho","(X)","(X)","13.60%","±0.3",2010
"Under 18 years","Idaho","(X)","(X)","17.00%","±0.6",2010
"Related children under 18 years","Idaho","(X)","(X)","16.50%","±0.6",2010
"Related children under 5 years","Idaho","(X)","(X)","20.80%","±1.1",2010
"Related children 5 to 17 years","Idaho","(X)","(X)","14.80%","±0.6",2010
"18 years and over","Idaho","(X)","(X)","12.30%","±0.3",2010
"18 to 64 years","Idaho","(X)","(X)","13.10%","±0.3",2010
"65 years and over","Idaho","(X)","(X)","8.00%","±0.5",2010
"People in families","Idaho","(X)","(X)","10.80%","±0.3",2010
"Unrelated individuals 15 years and over","Idaho","(X)","(X)","27.50%","±0.7",2010
"All families","Illinois","(X)","(X)","9.20%","±0.1",2010
"With related children under 18 years","Illinois","(X)","(X)","14.40%","±0.2",2010
"With related children under 5 years only","Illinois","(X)","(X)","15.00%","±0.5",2010
"Married couple families","Illinois","(X)","(X)","4.10%","±0.1",2010
"With related children under 18 years","Illinois","(X)","(X)","5.80%","±0.2",2010
"With related children under 5 years only","Illinois","(X)","(X)","4.90%","±0.3",2010
"Families with female householder, no husband present","Illinois","(X)","(X)","28.00%","±0.4",2010
"With related children under 18 years","Illinois","(X)","(X)","37.00%","±0.6",2010
"With related children under 5 years only","Illinois","(X)","(X)","44.80%","±1.3",2010
"All people","Illinois","(X)","(X)","12.60%","±0.2",2010
"Under 18 years","Illinois","(X)","(X)","17.70%","±0.3",2010
"Related children under 18 years","Illinois","(X)","(X)","17.40%","±0.3",2010
"Related children under 5 years","Illinois","(X)","(X)","20.10%","±0.5",2010
"Related children 5 to 17 years","Illinois","(X)","(X)","16.40%","±0.3",2010
"18 years and over","Illinois","(X)","(X)","11.00%","±0.1",2010
"18 to 64 years","Illinois","(X)","(X)","11.40%","±0.1",2010
"65 years and over","Illinois","(X)","(X)","8.70%","±0.2",2010
"People in families","Illinois","(X)","(X)","10.40%","±0.2",2010
"Unrelated individuals 15 years and over","Illinois","(X)","(X)","23.00%","±0.2",2010
"All families","Indiana","(X)","(X)","9.60%","±0.2",2010
"With related children under 18 years","Indiana","(X)","(X)","15.70%","±0.3",2010
"With related children under 5 years only","Indiana","(X)","(X)","19.20%","±0.9",2010
"Married couple families","Indiana","(X)","(X)","4.20%","±0.1",2010
"With related children under 18 years","Indiana","(X)","(X)","6.20%","±0.2",2010
"With related children under 5 years only","Indiana","(X)","(X)","6.30%","±0.5",2010
"Families with female householder, no husband present","Indiana","(X)","(X)","30.90%","±0.7",2010
"With related children under 18 years","Indiana","(X)","(X)","39.20%","±0.8",2010
"With related children under 5 years only","Indiana","(X)","(X)","49.80%","±2.0",2010
"All people","Indiana","(X)","(X)","13.50%","±0.2",2010
"Under 18 years","Indiana","(X)","(X)","18.90%","±0.4",2010
"Related children under 18 years","Indiana","(X)","(X)","18.50%","±0.4",2010
"Related children under 5 years","Indiana","(X)","(X)","23.10%","±0.7",2010
"Related children 5 to 17 years","Indiana","(X)","(X)","16.80%","±0.4",2010
"18 years and over","Indiana","(X)","(X)","11.70%","±0.1",2010
"18 to 64 years","Indiana","(X)","(X)","12.50%","±0.2",2010
"65 years and over","Indiana","(X)","(X)","7.70%","±0.2",2010
"People in families","Indiana","(X)","(X)","10.80%","±0.2",2010
"Unrelated individuals 15 years and over","Indiana","(X)","(X)","25.90%","±0.3",2010
"All families","Iowa","(X)","(X)","7.40%","±0.2",2010
"With related children under 18 years","Iowa","(X)","(X)","12.70%","±0.4",2010
"With related children under 5 years only","Iowa","(X)","(X)","16.90%","±1.1",2010
"Married couple families","Iowa","(X)","(X)","3.30%","±0.1",2010
"With related children under 18 years","Iowa","(X)","(X)","4.70%","±0.2",2010
"With related children under 5 years only","Iowa","(X)","(X)","5.00%","±0.7",2010
"Families with female householder, no husband present","Iowa","(X)","(X)","29.80%","±0.9",2010
"With related children under 18 years","Iowa","(X)","(X)","37.80%","±1.1",2010
"With related children under 5 years only","Iowa","(X)","(X)","52.40%","±3.0",2010
"All people","Iowa","(X)","(X)","11.60%","±0.2",2010
"Under 18 years","Iowa","(X)","(X)","14.80%","±0.5",2010
"Related children under 18 years","Iowa","(X)","(X)","14.30%","±0.5",2010
"Related children under 5 years","Iowa","(X)","(X)","19.10%","±0.8",2010
"Related children 5 to 17 years","Iowa","(X)","(X)","12.50%","±0.5",2010
"18 years and over","Iowa","(X)","(X)","10.60%","±0.2",2010
"18 to 64 years","Iowa","(X)","(X)","11.20%","±0.2",2010
"65 years and over","Iowa","(X)","(X)","7.70%","±0.2",2010
"People in families","Iowa","(X)","(X)","8.30%","±0.2",2010
"Unrelated individuals 15 years and over","Iowa","(X)","(X)","25.10%","±0.4",2010
"All families","Kansas","(X)","(X)","8.40%","±0.2",2010
"With related children under 18 years","Kansas","(X)","(X)","13.70%","±0.4",2010
"With related children under 5 years only","Kansas","(X)","(X)","17.50%","±1.2",2010
"Married couple families","Kansas","(X)","(X)","3.90%","±0.1",2010
"With related children under 18 years","Kansas","(X)","(X)","5.80%","±0.3",2010
"With related children under 5 years only","Kansas","(X)","(X)","6.20%","±0.8",2010
"Families with female householder, no husband present","Kansas","(X)","(X)","29.50%","±0.9",2010
"With related children under 18 years","Kansas","(X)","(X)","36.60%","±1.1",2010
"With related children under 5 years only","Kansas","(X)","(X)","48.40%","±3.0",2010
"All people","Kansas","(X)","(X)","12.40%","±0.2",2010
"Under 18 years","Kansas","(X)","(X)","16.20%","±0.5",2010
"Related children under 18 years","Kansas","(X)","(X)","15.80%","±0.5",2010
"Related children under 5 years","Kansas","(X)","(X)","20.50%","±0.8",2010
"Related children 5 to 17 years","Kansas","(X)","(X)","14.00%","±0.5",2010
"18 years and over","Kansas","(X)","(X)","11.10%","±0.2",2010
"18 to 64 years","Kansas","(X)","(X)","11.70%","±0.2",2010
"65 years and over","Kansas","(X)","(X)","8.10%","±0.3",2010
"People in families","Kansas","(X)","(X)","9.50%","±0.3",2010
"Unrelated individuals 15 years and over","Kansas","(X)","(X)","25.40%","±0.4",2010
"All families","Kentucky","(X)","(X)","13.50%","±0.2",2010
"With related children under 18 years","Kentucky","(X)","(X)","20.80%","±0.4",2010
"With related children under 5 years only","Kentucky","(X)","(X)","23.70%","±0.9",2010
"Married couple families","Kentucky","(X)","(X)","7.10%","±0.2",2010
"With related children under 18 years","Kentucky","(X)","(X)","9.70%","±0.4",2010
"With related children under 5 years only","Kentucky","(X)","(X)","10.30%","±0.8",2010
"Families with female householder, no husband present","Kentucky","(X)","(X)","36.90%","±0.7",2010
"With related children under 18 years","Kentucky","(X)","(X)","46.90%","±0.9",2010
"With related children under 5 years only","Kentucky","(X)","(X)","55.30%","±2.3",2010
"All people","Kentucky","(X)","(X)","17.70%","±0.2",2010
"Under 18 years","Kentucky","(X)","(X)","24.30%","±0.5",2010
"Related children under 18 years","Kentucky","(X)","(X)","23.90%","±0.5",2010
"Related children under 5 years","Kentucky","(X)","(X)","29.30%","±0.9",2010
"Related children 5 to 17 years","Kentucky","(X)","(X)","21.80%","±0.5",2010
"18 years and over","Kentucky","(X)","(X)","15.60%","±0.2",2010
"18 to 64 years","Kentucky","(X)","(X)","16.20%","±0.3",2010
"65 years and over","Kentucky","(X)","(X)","12.70%","±0.3",2010
"People in families","Kentucky","(X)","(X)","14.80%","±0.3",2010
"Unrelated individuals 15 years and over","Kentucky","(X)","(X)","31.20%","±0.4",2010
"All families","Louisiana","(X)","(X)","13.80%","±0.2",2010
"With related children under 18 years","Louisiana","(X)","(X)","21.00%","±0.4",2010
"With related children under 5 years only","Louisiana","(X)","(X)","22.60%","±1.0",2010
"Married couple families","Louisiana","(X)","(X)","5.20%","±0.2",2010
"With related children under 18 years","Louisiana","(X)","(X)","6.60%","±0.3",2010
"With related children under 5 years only","Louisiana","(X)","(X)","6.50%","±0.7",2010
"Families with female householder, no husband present","Louisiana","(X)","(X)","37.40%","±0.6",2010
"With related children under 18 years","Louisiana","(X)","(X)","47.00%","±0.8",2010
"With related children under 5 years only","Louisiana","(X)","(X)","52.70%","±1.9",2010
"All people","Louisiana","(X)","(X)","18.10%","±0.2",2010
"Under 18 years","Louisiana","(X)","(X)","26.20%","±0.5",2010
"Related children under 18 years","Louisiana","(X)","(X)","26.00%","±0.5",2010
"Related children under 5 years","Louisiana","(X)","(X)","30.50%","±0.8",2010
"Related children 5 to 17 years","Louisiana","(X)","(X)","24.20%","±0.5",2010
"18 years and over","Louisiana","(X)","(X)","15.40%","±0.2",2010
"18 to 64 years","Louisiana","(X)","(X)","15.90%","±0.2",2010
"65 years and over","Louisiana","(X)","(X)","12.80%","±0.3",2010
"People in families","Louisiana","(X)","(X)","15.60%","±0.3",2010
"Unrelated individuals 15 years and over","Louisiana","(X)","(X)","30.30%","±0.4",2010
"All families","Maine","(X)","(X)","8.40%","±0.3",2010
"With related children under 18 years","Maine","(X)","(X)","14.70%","±0.6",2010
"With related children under 5 years only","Maine","(X)","(X)","19.10%","±1.7",2010
"Married couple families","Maine","(X)","(X)","3.70%","±0.2",2010
"With related children under 18 years","Maine","(X)","(X)","5.30%","±0.4",2010
"With related children under 5 years only","Maine","(X)","(X)","5.90%","±1.2",2010
"Families with female householder, no husband present","Maine","(X)","(X)","30.60%","±1.3",2010
"With related children under 18 years","Maine","(X)","(X)","39.20%","±1.6",2010
"With related children under 5 years only","Maine","(X)","(X)","58.80%","±4.1",2010
"All people","Maine","(X)","(X)","12.60%","±0.3",2010
"Under 18 years","Maine","(X)","(X)","17.00%","±0.7",2010
"Related children under 18 years","Maine","(X)","(X)","16.40%","±0.7",2010
"Related children under 5 years","Maine","(X)","(X)","21.80%","±1.4",2010
"Related children 5 to 17 years","Maine","(X)","(X)","14.60%","±0.7",2010
"18 years and over","Maine","(X)","(X)","11.40%","±0.2",2010
"18 to 64 years","Maine","(X)","(X)","11.80%","±0.3",2010
"65 years and over","Maine","(X)","(X)","9.60%","±0.4",2010
"People in families","Maine","(X)","(X)","9.10%","±0.3",2010
"Unrelated individuals 15 years and over","Maine","(X)","(X)","25.20%","±0.6",2010
"All families","Maryland","(X)","(X)","5.70%","±0.1",2010
"With related children under 18 years","Maryland","(X)","(X)","8.70%","±0.3",2010
"With related children under 5 years only","Maryland","(X)","(X)","9.20%","±0.7",2010
"Married couple families","Maryland","(X)","(X)","2.20%","±0.1",2010
"With related children under 18 years","Maryland","(X)","(X)","2.60%","±0.2",2010
"With related children under 5 years only","Maryland","(X)","(X)","2.80%","±0.4",2010
"Families with female householder, no husband present","Maryland","(X)","(X)","17.10%","±0.5",2010
"With related children under 18 years","Maryland","(X)","(X)","22.70%","±0.7",2010
"With related children under 5 years only","Maryland","(X)","(X)","27.80%","±2.2",2010
"All people","Maryland","(X)","(X)","8.60%","±0.2",2010
"Under 18 years","Maryland","(X)","(X)","10.90%","±0.3",2010
"Related children under 18 years","Maryland","(X)","(X)","10.50%","±0.3",2010
"Related children under 5 years","Maryland","(X)","(X)","12.60%","±0.5",2010
