"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Unpaid family workers","Louisiana","3,800","±498","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Maine","657,556","±2,831","657,556","(X)",2010
"Private wage and salary workers","Maine","499,172","±2,928","75.90%","±0.3",2010
"Government workers","Maine","93,975","±1,856","14.30%","±0.3",2010
"Self-employed in own not incorporated business workers","Maine","63,090","±1,485","9.60%","±0.2",2010
"Unpaid family workers","Maine","1,319","±224","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Maryland","2,903,595","±6,156","2,903,595","(X)",2010
"Private wage and salary workers","Maryland","2,107,477","±7,177","72.60%","±0.2",2010
"Government workers","Maryland","643,957","±5,475","22.20%","±0.2",2010
"Self-employed in own not incorporated business workers","Maryland","148,318","±2,317","5.10%","±0.1",2010
"Unpaid family workers","Maryland","3,843","±478","0.10%","±0.1",2010
"Civilian employed population 16 years and over","Massachusetts","3,271,535","±7,325","3,271,535","(X)",2010
"Private wage and salary workers","Massachusetts","2,629,874","±7,589","80.40%","±0.2",2010
"Government workers","Massachusetts","426,584","±5,003","13.00%","±0.1",2010
"Self-employed in own not incorporated business workers","Massachusetts","211,069","±2,979","6.50%","±0.1",2010
"Unpaid family workers","Massachusetts","4,008","±460","0.10%","±0.1",2010
"Civilian employed population 16 years and over","Michigan","4,369,785","±10,590","4,369,785","(X)",2010
"Private wage and salary workers","Michigan","3,593,359","±8,721","82.20%","±0.1",2010
"Government workers","Michigan","530,927","±4,899","12.10%","±0.1",2010
"Self-employed in own not incorporated business workers","Michigan","237,234","±2,876","5.40%","±0.1",2010
"Unpaid family workers","Michigan","8,265","±513","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Minnesota","2,730,721","±5,905","2,730,721","(X)",2010
"Private wage and salary workers","Minnesota","2,216,606","±5,754","81.20%","±0.1",2010
"Government workers","Minnesota","334,700","±3,218","12.30%","±0.1",2010
"Self-employed in own not incorporated business workers","Minnesota","174,838","±2,182","6.40%","±0.1",2010
"Unpaid family workers","Minnesota","4,577","±326","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Mississippi","1,216,050","±4,564","1,216,050","(X)",2010
"Private wage and salary workers","Mississippi","906,153","±5,171","74.50%","±0.3",2010
"Government workers","Mississippi","229,171","±3,671","18.80%","±0.3",2010
"Self-employed in own not incorporated business workers","Mississippi","78,254","±2,189","6.40%","±0.2",2010
"Unpaid family workers","Mississippi","2,472","±389","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Missouri","2,796,027","±6,634","2,796,027","(X)",2010
"Private wage and salary workers","Missouri","2,238,929","±6,272","80.10%","±0.2",2010
"Government workers","Missouri","371,076","±4,187","13.30%","±0.1",2010
"Self-employed in own not incorporated business workers","Missouri","179,974","±3,050","6.40%","±0.1",2010
"Unpaid family workers","Missouri","6,048","±584","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Montana","476,195","±2,665","476,195","(X)",2010
"Private wage and salary workers","Montana","336,831","±2,823","70.70%","±0.5",2010
"Government workers","Montana","88,177","±1,951","18.50%","±0.4",2010
"Self-employed in own not incorporated business workers","Montana","48,818","±1,363","10.30%","±0.3",2010
"Unpaid family workers","Montana","2,369","±300","0.50%","±0.1",2010
"Civilian employed population 16 years and over","Nebraska","937,574","±3,147","937,574","(X)",2010
"Private wage and salary workers","Nebraska","729,846","±3,306","77.80%","±0.3",2010
"Government workers","Nebraska","132,571","±2,443","14.10%","±0.2",2010
"Self-employed in own not incorporated business workers","Nebraska","72,904","±1,193","7.80%","±0.1",2010
"Unpaid family workers","Nebraska","2,253","±241","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Nevada","1,254,163","±5,518","1,254,163","(X)",2010
"Private wage and salary workers","Nevada","1,035,934","±6,468","82.60%","±0.3",2010
"Government workers","Nevada","155,498","±3,331","12.40%","±0.3",2010
"Self-employed in own not incorporated business workers","Nevada","60,935","±1,688","4.90%","±0.1",2010
"Unpaid family workers","Nevada","1,796","±310","0.10%","±0.1",2010
"Civilian employed population 16 years and over","New Hampshire","695,283","±3,057","695,283","(X)",2010
"Private wage and salary workers","New Hampshire","545,954","±3,709","78.50%","±0.4",2010
"Government workers","New Hampshire","92,838","±2,185","13.40%","±0.3",2010
"Self-employed in own not incorporated business workers","New Hampshire","55,575","±1,713","8.00%","±0.2",2010
"Unpaid family workers","New Hampshire","916","±195","0.10%","±0.1",2010
"Civilian employed population 16 years and over","New Jersey","4,230,560","±9,166","4,230,560","(X)",2010
"Private wage and salary workers","New Jersey","3,400,308","±8,952","80.40%","±0.2",2010
"Government workers","New Jersey","615,807","±6,205","14.60%","±0.1",2010
"Self-employed in own not incorporated business workers","New Jersey","208,163","±3,243","4.90%","±0.1",2010
"Unpaid family workers","New Jersey","6,282","±693","0.10%","±0.1",2010
"Civilian employed population 16 years and over","New Mexico","888,761","±4,268","888,761","(X)",2010
"Private wage and salary workers","New Mexico","621,318","±4,292","69.90%","±0.4",2010
"Government workers","New Mexico","198,160","±3,647","22.30%","±0.4",2010
"Self-employed in own not incorporated business workers","New Mexico","66,891","±1,945","7.50%","±0.2",2010
"Unpaid family workers","New Mexico","2,392","±385","0.30%","±0.1",2010
"Civilian employed population 16 years and over","New York","9,045,999","±11,816","9,045,999","(X)",2010
"Private wage and salary workers","New York","6,951,209","±13,482","76.80%","±0.1",2010
"Government workers","New York","1,520,566","±10,021","16.80%","±0.1",2010
"Self-employed in own not incorporated business workers","New York","562,185","±5,214","6.20%","±0.1",2010
"Unpaid family workers","New York","12,039","±828","0.10%","±0.1",2010
"Civilian employed population 16 years and over","North Carolina","4,234,087","±8,605","4,234,087","(X)",2010
"Private wage and salary workers","North Carolina","3,319,505","±9,378","78.40%","±0.2",2010
"Government workers","North Carolina","641,586","±6,760","15.20%","±0.2",2010
"Self-employed in own not incorporated business workers","North Carolina","265,982","±3,123","6.30%","±0.1",2010
"Unpaid family workers","North Carolina","7,014","±659","0.20%","±0.1",2010
"Civilian employed population 16 years and over","North Dakota","352,012","±1,800","352,012","(X)",2010
"Private wage and salary workers","North Dakota","258,494","±2,105","73.40%","±0.4",2010
"Government workers","North Dakota","60,231","±1,282","17.10%","±0.4",2010
"Self-employed in own not incorporated business workers","North Dakota","32,148","±843","9.10%","±0.2",2010
"Unpaid family workers","North Dakota","1,139","±181","0.30%","±0.1",2010
"Civilian employed population 16 years and over","Ohio","5,369,857","±11,476","5,369,857","(X)",2010
"Private wage and salary workers","Ohio","4,377,198","±10,308","81.50%","±0.1",2010
"Government workers","Ohio","693,114","±7,408","12.90%","±0.1",2010
"Self-employed in own not incorporated business workers","Ohio","291,051","±3,435","5.40%","±0.1",2010
"Unpaid family workers","Ohio","8,494","±556","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Oklahoma","1,674,765","±5,087","1,674,765","(X)",2010
"Private wage and salary workers","Oklahoma","1,260,965","±4,976","75.30%","±0.3",2010
"Government workers","Oklahoma","285,562","±4,132","17.10%","±0.2",2010
"Self-employed in own not incorporated business workers","Oklahoma","124,013","±2,442","7.40%","±0.1",2010
"Unpaid family workers","Oklahoma","4,225","±383","0.30%","±0.1",2010
"Civilian employed population 16 years and over","Oregon","1,763,324","±5,841","1,763,324","(X)",2010
"Private wage and salary workers","Oregon","1,361,846","±5,645","77.20%","±0.2",2010
"Government workers","Oregon","247,860","±3,589","14.10%","±0.2",2010
"Self-employed in own not incorporated business workers","Oregon","149,556","±2,727","8.50%","±0.1",2010
"Unpaid family workers","Oregon","4,062","±462","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Pennsylvania","5,940,972","±10,456","5,940,972","(X)",2010
"Private wage and salary workers","Pennsylvania","4,896,263","±10,173","82.40%","±0.1",2010
"Government workers","Pennsylvania","694,589","±6,315","11.70%","±0.1",2010
"Self-employed in own not incorporated business workers","Pennsylvania","339,736","±3,444","5.70%","±0.1",2010
"Unpaid family workers","Pennsylvania","10,384","±741","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Rhode Island","515,924","±2,921","515,924","(X)",2010
"Private wage and salary workers","Rhode Island","416,800","±3,428","80.80%","±0.5",2010
"Government workers","Rhode Island","68,646","±1,936","13.30%","±0.4",2010
"Self-employed in own not incorporated business workers","Rhode Island","29,823","±1,327","5.80%","±0.3",2010
"Unpaid family workers","Rhode Island","655","±220","0.10%","±0.1",2010
"Civilian employed population 16 years and over","South Carolina","2,002,289","±6,513","2,002,289","(X)",2010
"Private wage and salary workers","South Carolina","1,564,286","±6,901","78.10%","±0.2",2010
"Government workers","South Carolina","318,267","±4,162","15.90%","±0.2",2010
"Self-employed in own not incorporated business workers","South Carolina","116,563","±2,373","5.80%","±0.1",2010
"Unpaid family workers","South Carolina","3,173","±402","0.20%","±0.1",2010
"Civilian employed population 16 years and over","South Dakota","410,156","±2,066","410,156","(X)",2010
"Private wage and salary workers","South Dakota","304,261","±2,355","74.20%","±0.4",2010
"Government workers","South Dakota","65,495","±1,682","16.00%","±0.4",2010
"Self-employed in own not incorporated business workers","South Dakota","38,524","±1,007","9.40%","±0.2",2010
"Unpaid family workers","South Dakota","1,876","±297","0.50%","±0.1",2010
"Civilian employed population 16 years and over","Tennessee","2,816,637","±8,548","2,816,637","(X)",2010
"Private wage and salary workers","Tennessee","2,199,524","±8,639","78.10%","±0.2",2010
"Government workers","Tennessee","400,290","±5,439","14.20%","±0.2",2010
"Self-employed in own not incorporated business workers","Tennessee","211,878","±3,184","7.50%","±0.1",2010
"Unpaid family workers","Tennessee","4,945","±510","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Texas","11,125,616","±13,351","11,125,616","(X)",2010
"Private wage and salary workers","Texas","8,667,774","±15,047","77.90%","±0.1",2010
"Government workers","Texas","1,633,861","±11,588","14.70%","±0.1",2010
"Self-employed in own not incorporated business workers","Texas","803,216","±6,484","7.20%","±0.1",2010
"Unpaid family workers","Texas","20,765","±1,023","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Utah","1,236,803","±3,780","1,236,803","(X)",2010
"Private wage and salary workers","Utah","972,073","±3,870","78.60%","±0.2",2010
"Government workers","Utah","197,303","±3,006","16.00%","±0.2",2010
"Self-employed in own not incorporated business workers","Utah","65,460","±1,734","5.30%","±0.1",2010
"Unpaid family workers","Utah","1,967","±264","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Vermont","329,676","±1,864","329,676","(X)",2010
"Private wage and salary workers","Vermont","246,643","±2,132","74.80%","±0.5",2010
"Government workers","Vermont","48,200","±1,297","14.60%","±0.4",2010
"Self-employed in own not incorporated business workers","Vermont","33,859","±1,016","10.30%","±0.3",2010
"Unpaid family workers","Vermont","974","±160","0.30%","±0.1",2010
"Civilian employed population 16 years and over","Virginia","3,824,131","±8,136","3,824,131","(X)",2010
"Private wage and salary workers","Virginia","2,837,211","±9,342","74.20%","±0.2",2010
"Government workers","Virginia","784,595","±7,656","20.50%","±0.2",2010
"Self-employed in own not incorporated business workers","Virginia","197,267","±2,693","5.20%","±0.1",2010
"Unpaid family workers","Virginia","5,058","±561","0.10%","±0.1",2010
"Civilian employed population 16 years and over","Washington","3,124,821","±8,306","3,124,821","(X)",2010
"Private wage and salary workers","Washington","2,399,612","±7,293","76.80%","±0.2",2010
"Government workers","Washington","513,474","±5,538","16.40%","±0.2",2010
"Self-employed in own not incorporated business workers","Washington","207,006","±3,288","6.60%","±0.1",2010
"Unpaid family workers","Washington","4,729","±501","0.20%","±0.1",2010
"Civilian employed population 16 years and over","West Virginia","763,691","±3,805","763,691","(X)",2010
"Private wage and salary workers","West Virginia","578,396","±3,973","75.70%","±0.4",2010
"Government workers","West Virginia","142,964","±2,659","18.70%","±0.3",2010
"Self-employed in own not incorporated business workers","West Virginia","40,824","±1,320","5.30%","±0.2",2010
"Unpaid family workers","West Virginia","1,507","±320","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Wisconsin","2,869,310","±6,891","2,869,310","(X)",2010
"Private wage and salary workers","Wisconsin","2,340,886","±6,498","81.60%","±0.1",2010
"Government workers","Wisconsin","356,366","±3,541","12.40%","±0.1",2010
"Self-employed in own not incorporated business workers","Wisconsin","166,479","±1,994","5.80%","±0.1",2010
"Unpaid family workers","Wisconsin","5,579","±452","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Wyoming","284,148","±1,824","284,148","(X)",2010
"Private wage and salary workers","Wyoming","204,935","±1,965","72.10%","±0.6",2010
"Government workers","Wyoming","56,225","±1,738","19.80%","±0.6",2010
"Self-employed in own not incorporated business workers","Wyoming","21,986","±865","7.70%","±0.3",2010
"Unpaid family workers","Wyoming","1,002","±228","0.40%","±0.1",2010
"Civilian employed population 16 years and over","Puerto Rico","1,149,431","±5,667","1,149,431","(X)",2010
"Private wage and salary workers","Puerto Rico","760,934","±5,642","66.20%","±0.3",2010
"Government workers","Puerto Rico","287,916","±3,021","25.00%","±0.3",2010
"Self-employed in own not incorporated business workers","Puerto Rico","98,738","±2,163","8.60%","±0.2",2010
"Unpaid family workers","Puerto Rico","1,843","±295","0.20%","±0.1",2010
"Civilian employed population 16 years and over","Alabama","2,027,919","±7,620","2,027,919","(X)",2011
"Private wage and salary workers","Alabama","1,570,274","±6,022","77.40%","±0.2",2011
"Government workers","Alabama","337,259","±4,571","16.60%","±0.2",2011
"Self-employed in own not incorporated business workers","Alabama","117,230","±2,864","5.80%","±0.1",2011
"Unpaid family workers","Alabama","3,156","±416","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Alaska","336,026","±2,127","336,026","(X)",2011
"Private wage and salary workers","Alaska","225,258","±2,470","67.00%","±0.6",2011
"Government workers","Alaska","86,065","±1,818","25.60%","±0.5",2011
"Self-employed in own not incorporated business workers","Alaska","23,702","±1,077","7.10%","±0.3",2011
"Unpaid family workers","Alaska","1,001","±207","0.30%","±0.1",2011
"Civilian employed population 16 years and over","Arizona","2,739,077","±8,466","2,739,077","(X)",2011
"Private wage and salary workers","Arizona","2,146,230","±7,853","78.40%","±0.2",2011
"Government workers","Arizona","419,605","±5,345","15.30%","±0.2",2011
"Self-employed in own not incorporated business workers","Arizona","169,072","±3,759","6.20%","±0.1",2011
"Unpaid family workers","Arizona","4,170","±564","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Arkansas","1,252,276","±5,739","1,252,276","(X)",2011
"Private wage and salary workers","Arkansas","959,393","±5,353","76.60%","±0.3",2011
"Government workers","Arkansas","205,340","±3,170","16.40%","±0.2",2011
"Self-employed in own not incorporated business workers","Arkansas","85,073","±1,893","6.80%","±0.1",2011
"Unpaid family workers","Arkansas","2,470","±355","0.20%","±0.1",2011
"Civilian employed population 16 years and over","California","16,603,417","±15,328","16,603,417","(X)",2011
"Private wage and salary workers","California","12,708,178","±17,658","76.50%","±0.1",2011
"Government workers","California","2,438,873","±17,419","14.70%","±0.1",2011
"Self-employed in own not incorporated business workers","California","1,426,675","±8,614","8.60%","±0.1",2011
"Unpaid family workers","California","29,691","±1,379","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Colorado","2,476,167","±6,831","2,476,167","(X)",2011
"Private wage and salary workers","Colorado","1,939,323","±7,922","78.30%","±0.2",2011
"Government workers","Colorado","357,073","±4,680","14.40%","±0.2",2011
"Self-employed in own not incorporated business workers","Colorado","175,425","±3,212","7.10%","±0.1",2011
"Unpaid family workers","Colorado","4,346","±423","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Connecticut","1,764,755","±4,621","1,764,755","(X)",2011
"Private wage and salary workers","Connecticut","1,407,346","±5,629","79.70%","±0.2",2011
"Government workers","Connecticut","237,375","±3,596","13.50%","±0.2",2011
"Self-employed in own not incorporated business workers","Connecticut","117,617","±2,394","6.70%","±0.1",2011
"Unpaid family workers","Connecticut","2,417","±349","0.10%","±0.1",2011
"Civilian employed population 16 years and over","Delaware","420,057","±2,754","420,057","(X)",2011
"Private wage and salary workers","Delaware","341,350","±2,837","81.30%","±0.5",2011
"Government workers","Delaware","60,799","±1,714","14.50%","±0.4",2011
"Self-employed in own not incorporated business workers","Delaware","17,396","±1,008","4.10%","±0.2",2011
"Unpaid family workers","Delaware","512","±158","0.10%","±0.1",2011
"Civilian employed population 16 years and over","District of Columbia","300,913","±2,233","300,913","(X)",2011
"Private wage and salary workers","District of Columbia","205,524","±2,547","68.30%","±0.6",2011
"Government workers","District of Columbia","81,129","±1,763","27.00%","±0.6",2011
"Self-employed in own not incorporated business workers","District of Columbia","13,908","±777","4.60%","±0.3",2011
"Unpaid family workers","District of Columbia","352","±142","0.10%","±0.1",2011
"Civilian employed population 16 years and over","Florida","8,258,511","±15,946","8,258,511","(X)",2011
"Private wage and salary workers","Florida","6,649,954","±13,435","80.50%","±0.1",2011
"Government workers","Florida","1,101,319","±12,875","13.30%","±0.1",2011
"Self-employed in own not incorporated business workers","Florida","494,860","±5,761","6.00%","±0.1",2011
"Unpaid family workers","Florida","12,378","±937","0.10%","±0.1",2011
"Civilian employed population 16 years and over","Georgia","4,288,924","±10,943","4,288,924","(X)",2011
"Private wage and salary workers","Georgia","3,356,086","±10,438","78.30%","±0.2",2011
"Government workers","Georgia","678,808","±7,692","15.80%","±0.2",2011
"Self-employed in own not incorporated business workers","Georgia","246,366","±3,943","5.70%","±0.1",2011
"Unpaid family workers","Georgia","7,664","±695","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Hawaii","635,956","±2,898","635,956","(X)",2011
"Private wage and salary workers","Hawaii","454,620","±3,381","71.50%","±0.5",2011
"Government workers","Hawaii","130,381","±2,620","20.50%","±0.4",2011
"Self-employed in own not incorporated business workers","Hawaii","49,514","±1,738","7.80%","±0.3",2011
"Unpaid family workers","Hawaii","1,441","±341","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Idaho","699,895","±3,029","699,895","(X)",2011
"Private wage and salary workers","Idaho","529,823","±3,910","75.70%","±0.4",2011
"Government workers","Idaho","112,599","±2,226","16.10%","±0.3",2011
"Self-employed in own not incorporated business workers","Idaho","55,852","±1,652","8.00%","±0.2",2011
"Unpaid family workers","Idaho","1,621","±297","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Illinois","6,043,771","±9,850","6,043,771","(X)",2011
"Private wage and salary workers","Illinois","4,953,715","±9,208","82.00%","±0.1",2011
"Government workers","Illinois","782,212","±6,347","12.90%","±0.1",2011
"Self-employed in own not incorporated business workers","Illinois","299,805","±3,720","5.00%","±0.1",2011
"Unpaid family workers","Illinois","8,039","±711","0.10%","±0.1",2011
"Civilian employed population 16 years and over","Indiana","2,984,502","±8,001","2,984,502","(X)",2011
"Private wage and salary workers","Indiana","2,480,688","±7,423","83.10%","±0.2",2011
"Government workers","Indiana","352,058","±4,433","11.80%","±0.1",2011
"Self-employed in own not incorporated business workers","Indiana","147,517","±2,776","4.90%","±0.1",2011
"Unpaid family workers","Indiana","4,239","±464","0.10%","±0.1",2011
"Civilian employed population 16 years and over","Iowa","1,554,416","±4,488","1,554,416","(X)",2011
"Private wage and salary workers","Iowa","1,224,366","±4,659","78.80%","±0.2",2011
"Government workers","Iowa","216,878","±2,957","14.00%","±0.2",2011
"Self-employed in own not incorporated business workers","Iowa","109,858","±1,732","7.10%","±0.1",2011
"Unpaid family workers","Iowa","3,314","±348","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Kansas","1,393,658","±4,493","1,393,658","(X)",2011
"Private wage and salary workers","Kansas","1,063,453","±5,032","76.30%","±0.2",2011
"Government workers","Kansas","231,215","±3,076","16.60%","±0.2",2011
"Self-employed in own not incorporated business workers","Kansas","95,959","±1,912","6.90%","±0.1",2011
"Unpaid family workers","Kansas","3,031","±338","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Kentucky","1,865,652","±7,025","1,865,652","(X)",2011
"Private wage and salary workers","Kentucky","1,464,340","±6,723","78.50%","±0.2",2011
"Government workers","Kentucky","287,677","±3,710","15.40%","±0.2",2011
"Self-employed in own not incorporated business workers","Kentucky","110,240","±2,303","5.90%","±0.1",2011
"Unpaid family workers","Kentucky","3,395","±404","0.20%","±0.1",2011
"Civilian employed population 16 years and over","Louisiana","1,974,967","±6,746","1,974,967","(X)",2011
"Private wage and salary workers","Louisiana","1,523,963","±6,550","77.20%","±0.2",2011
"Government workers","Louisiana","329,077","±4,489","16.70%","±0.2",2011
"Self-employed in own not incorporated business workers","Louisiana","118,513","±2,420","6.00%","±0.1",2011
