"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Mean household income (dollars)","Colorado","75,264","±355","(X)","(X)",2010
"With earnings","Colorado","1,613,623","±4,970","84.10%","±0.2",2010
"Mean earnings (dollars)","Colorado","73,650","±356","(X)","(X)",2010
"With Social Security","Colorado","407,388","±3,104","21.20%","±0.1",2010
"Mean Social Security income (dollars)","Colorado","15,110","±79","(X)","(X)",2010
"With retirement income","Colorado","295,197","±3,092","15.40%","±0.2",2010
"Mean retirement income (dollars)","Colorado","25,272","±296","(X)","(X)",2010
"With Supplemental Security Income","Colorado","51,681","±1,274","2.70%","±0.1",2010
"Mean Supplemental Security Income (dollars)","Colorado","8,395","±127","(X)","(X)",2010
"With cash public assistance income","Colorado","35,690","±1,386","1.90%","±0.1",2010
"Mean cash public assistance income (dollars)","Colorado","3,248","±141","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Colorado","109,816","±2,226","5.70%","±0.1",2010
"Families","Colorado","1,236,008","±5,269","1,236,008","(X)",2010
"Less than $10,000","Colorado","47,570","±1,544","3.80%","±0.1",2010
"$10,000 to $14,999","Colorado","32,218","±1,349","2.60%","±0.1",2010
"$15,000 to $24,999","Colorado","86,354","±2,042","7.00%","±0.2",2010
"$25,000 to $34,999","Colorado","97,374","±2,073","7.90%","±0.2",2010
"$35,000 to $49,999","Colorado","155,960","±2,404","12.60%","±0.2",2010
"$50,000 to $74,999","Colorado","242,682","±2,980","19.60%","±0.2",2010
"$75,000 to $99,999","Colorado","192,828","±2,739","15.60%","±0.2",2010
"$100,000 to $149,999","Colorado","221,069","±3,433","17.90%","±0.3",2010
"$150,000 to $199,999","Colorado","83,859","±1,744","6.80%","±0.1",2010
"$200,000 or more","Colorado","76,094","±1,668","6.20%","±0.1",2010
"Median family income (dollars)","Colorado","70,046","±480","(X)","(X)",2010
"Mean family income (dollars)","Colorado","89,099","±531","(X)","(X)",2010
"Per capita income (dollars)","Colorado","30,151","±152","(X)","(X)",2010
"Nonfamily households","Colorado","682,951","±3,609","682,951","(X)",2010
"Median nonfamily income (dollars)","Colorado","35,617","±304","(X)","(X)",2010
"Mean nonfamily income (dollars)","Colorado","47,659","±487","(X)","(X)",2010
"Median earnings for workers (dollars)","Colorado","31,094","±134","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Colorado","49,412","±330","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Colorado","38,644","±273","(X)","(X)",2010
"Total households","Connecticut","1,359,218","±2,943","1,359,218","(X)",2010
"Less than $10,000","Connecticut","73,564","±1,995","5.40%","±0.1",2010
"$10,000 to $14,999","Connecticut","55,426","±1,638","4.10%","±0.1",2010
"$15,000 to $24,999","Connecticut","112,550","±2,099","8.30%","±0.2",2010
"$25,000 to $34,999","Connecticut","107,632","±2,441","7.90%","±0.2",2010
"$35,000 to $49,999","Connecticut","157,126","±2,359","11.60%","±0.2",2010
"$50,000 to $74,999","Connecticut","234,976","±2,948","17.30%","±0.2",2010
"$75,000 to $99,999","Connecticut","188,102","±2,458","13.80%","±0.2",2010
"$100,000 to $149,999","Connecticut","226,765","±2,696","16.70%","±0.2",2010
"$150,000 to $199,999","Connecticut","93,104","±2,019","6.80%","±0.1",2010
"$200,000 or more","Connecticut","109,973","±1,821","8.10%","±0.1",2010
"Median household income (dollars)","Connecticut","67,740","±381","(X)","(X)",2010
"Mean household income (dollars)","Connecticut","94,306","±512","(X)","(X)",2010
"With earnings","Connecticut","1,099,794","±2,951","80.90%","±0.2",2010
"Mean earnings (dollars)","Connecticut","95,904","±562","(X)","(X)",2010
"With Social Security","Connecticut","384,133","±2,184","28.30%","±0.1",2010
"Mean Social Security income (dollars)","Connecticut","16,613","±90","(X)","(X)",2010
"With retirement income","Connecticut","241,909","±2,067","17.80%","±0.2",2010
"Mean retirement income (dollars)","Connecticut","23,259","±338","(X)","(X)",2010
"With Supplemental Security Income","Connecticut","42,919","±1,189","3.20%","±0.1",2010
"Mean Supplemental Security Income (dollars)","Connecticut","8,504","±174","(X)","(X)",2010
"With cash public assistance income","Connecticut","35,768","±1,436","2.60%","±0.1",2010
"Mean cash public assistance income (dollars)","Connecticut","4,246","±160","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Connecticut","98,180","±1,711","7.20%","±0.1",2010
"Families","Connecticut","911,653","±3,893","911,653","(X)",2010
"Less than $10,000","Connecticut","28,163","±1,413","3.10%","±0.2",2010
"$10,000 to $14,999","Connecticut","18,987","±912","2.10%","±0.1",2010
"$15,000 to $24,999","Connecticut","48,016","±1,440","5.30%","±0.2",2010
"$25,000 to $34,999","Connecticut","57,101","±1,874","6.30%","±0.2",2010
"$35,000 to $49,999","Connecticut","91,930","±1,917","10.10%","±0.2",2010
"$50,000 to $74,999","Connecticut","155,098","±2,431","17.00%","±0.2",2010
"$75,000 to $99,999","Connecticut","142,615","±2,409","15.60%","±0.3",2010
"$100,000 to $149,999","Connecticut","190,257","±2,417","20.90%","±0.3",2010
"$150,000 to $199,999","Connecticut","81,689","±1,834","9.00%","±0.2",2010
"$200,000 or more","Connecticut","97,797","±1,604","10.70%","±0.2",2010
"Median family income (dollars)","Connecticut","84,170","±495","(X)","(X)",2010
"Mean family income (dollars)","Connecticut","112,576","±738","(X)","(X)",2010
"Per capita income (dollars)","Connecticut","36,775","±218","(X)","(X)",2010
"Nonfamily households","Connecticut","447,565","±3,720","447,565","(X)",2010
"Median nonfamily income (dollars)","Connecticut","38,362","±602","(X)","(X)",2010
"Mean nonfamily income (dollars)","Connecticut","53,771","±604","(X)","(X)",2010
"Median earnings for workers (dollars)","Connecticut","36,787","±199","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Connecticut","59,514","±537","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Connecticut","45,016","±333","(X)","(X)",2010
"Total households","Delaware","331,639","±1,553","331,639","(X)",2010
"Less than $10,000","Delaware","18,898","±906","5.70%","±0.3",2010
"$10,000 to $14,999","Delaware","13,452","±659","4.10%","±0.2",2010
"$15,000 to $24,999","Delaware","31,324","±1,125","9.40%","±0.3",2010
"$25,000 to $34,999","Delaware","32,928","±1,093","9.90%","±0.3",2010
"$35,000 to $49,999","Delaware","46,063","±1,329","13.90%","±0.4",2010
"$50,000 to $74,999","Delaware","65,501","±1,358","19.80%","±0.4",2010
"$75,000 to $99,999","Delaware","45,734","±1,260","13.80%","±0.4",2010
"$100,000 to $149,999","Delaware","47,732","±1,200","14.40%","±0.4",2010
"$150,000 to $199,999","Delaware","17,093","±755","5.20%","±0.2",2010
"$200,000 or more","Delaware","12,914","±665","3.90%","±0.2",2010
"Median household income (dollars)","Delaware","57,599","±651","(X)","(X)",2010
"Mean household income (dollars)","Delaware","74,703","±773","(X)","(X)",2010
"With earnings","Delaware","263,696","±1,823","79.50%","±0.4",2010
"Mean earnings (dollars)","Delaware","74,273","±890","(X)","(X)",2010
"With Social Security","Delaware","99,945","±1,032","30.10%","±0.3",2010
"Mean Social Security income (dollars)","Delaware","16,818","±155","(X)","(X)",2010
"With retirement income","Delaware","77,787","±1,402","23.50%","±0.4",2010
"Mean retirement income (dollars)","Delaware","23,157","±585","(X)","(X)",2010
"With Supplemental Security Income","Delaware","10,332","±671","3.10%","±0.2",2010
"Mean Supplemental Security Income (dollars)","Delaware","8,463","±425","(X)","(X)",2010
"With cash public assistance income","Delaware","7,693","±669","2.30%","±0.2",2010
"Mean cash public assistance income (dollars)","Delaware","2,760","±281","(X)","(X)",2010
"With Food Stamp/SNAP benefits in the past 12 months","Delaware","27,718","±984","8.40%","±0.3",2010
"Families","Delaware","224,796","±1,775","224,796","(X)",2010
"Less than $10,000","Delaware","7,508","±651","3.30%","±0.3",2010
"$10,000 to $14,999","Delaware","4,589","±498","2.00%","±0.2",2010
"$15,000 to $24,999","Delaware","15,607","±983","6.90%","±0.4",2010
"$25,000 to $34,999","Delaware","19,589","±949","8.70%","±0.4",2010
"$35,000 to $49,999","Delaware","29,010","±1,147","12.90%","±0.5",2010
"$50,000 to $74,999","Delaware","45,673","±1,176","20.30%","±0.5",2010
"$75,000 to $99,999","Delaware","36,132","±1,121","16.10%","±0.5",2010
"$100,000 to $149,999","Delaware","40,505","±1,166","18.00%","±0.5",2010
"$150,000 to $199,999","Delaware","14,866","±703","6.60%","±0.3",2010
"$200,000 or more","Delaware","11,317","±609","5.00%","±0.3",2010
"Median family income (dollars)","Delaware","69,182","±907","(X)","(X)",2010
"Mean family income (dollars)","Delaware","86,238","±1,031","(X)","(X)",2010
"Per capita income (dollars)","Delaware","29,007","±281","(X)","(X)",2010
"Nonfamily households","Delaware","106,843","±1,749","106,843","(X)",2010
"Median nonfamily income (dollars)","Delaware","35,567","±829","(X)","(X)",2010
"Mean nonfamily income (dollars)","Delaware","46,928","±872","(X)","(X)",2010
"Median earnings for workers (dollars)","Delaware","31,924","±250","(X)","(X)",2010
"Median earnings for male full-time, year-round workers (dollars)","Delaware","49,051","±736","(X)","(X)",2010
"Median earnings for female full-time, year-round workers (dollars)","Delaware","38,680","±531","(X)","(X)",2010
"Total households","District of Columbia","257,317","±1,314","257,317","(X)",2010
"Less than $10,000","District of Columbia","28,142","±1,082","10.90%","±0.4",2010
"$10,000 to $14,999","District of Columbia","12,497","±758","4.90%","±0.3",2010
"$15,000 to $24,999","District of Columbia","20,818","±952","8.10%","±0.4",2010
"$25,000 to $34,999","District of Columbia","20,700","±1,104","8.00%","±0.4",2010
"$35,000 to $49,999","District of Columbia","30,390","±1,031","11.80%","±0.4",2010
"$50,000 to $74,999","District of Columbia","40,209","±1,332","15.60%","±0.5",2010
"$75,000 to $99,999","District of Columbia","28,497","±1,283","11.10%","±0.5",2010
"$100,000 to $149,999","District of Columbia","32,971","±1,231","12.80%","±0.5",2010
"$150,000 to $199,999","District of Columbia","18,488","±757","7.20%","±0.3",2010
"$200,000 or more","District of Columbia","24,605","±763","9.60%","±0.3",2010
"Median household income (dollars)","District of Columbia","58,526","±982","(X)","(X)",2010
"Mean household income (dollars)","District of Columbia","91,778","±1,144","(X)","(X)",2010
"With earnings","District of Columbia","208,086","±1,757","80.90%","±0.5",2010
"Mean earnings (dollars)","District of Columbia","95,306","±1,245","(X)","(X)",2010
"With Social Security","District of Columbia","48,118","±982","18.70%","±0.4",2010
