"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Employed","Colorado","2,456,139","±6,374","64.30%","±0.2",2010
"Unemployed","Colorado","180,488","±3,107","4.70%","±0.1",2010
"Armed Forces","Colorado","30,348","±1,012","0.80%","±0.1",2010
"Not in labor force","Colorado","1,153,315","±6,177","30.20%","±0.2",2010
"Civilian labor force","Colorado","2,636,627","±6,024","2,636,627","(X)",2010
"Percent Unemployed","Colorado","(X)","(X)","6.80%","±0.1",2010
"Females 16 years and over","Colorado","1,917,251","±1,187","1,917,251","(X)",2010
"In labor force","Colorado","1,219,272","±4,260","63.60%","±0.2",2010
"Civilian labor force","Colorado","1,214,284","±4,281","63.30%","±0.2",2010
"Employed","Colorado","1,134,589","±4,530","59.20%","±0.2",2010
"Own children under 6 years","Colorado","394,067","±2,048","394,067","(X)",2010
"All parents in family in labor force","Colorado","243,786","±2,954","61.90%","±0.7",2010
"Own children 6 to 17 years","Colorado","750,988","±2,775","750,988","(X)",2010
"All parents in family in labor force","Colorado","533,654","±3,984","71.10%","±0.5",2010
"Population 16 years and over","Connecticut","2,820,837","±1,326","2,820,837","(X)",2010
"In labor force","Connecticut","1,919,849","±5,061","68.10%","±0.2",2010
"Civilian labor force","Connecticut","1,910,905","±4,996","67.70%","±0.2",2010
"Employed","Connecticut","1,765,549","±5,408","62.60%","±0.2",2010
"Unemployed","Connecticut","145,356","±2,879","5.20%","±0.1",2010
"Armed Forces","Connecticut","8,944","±576","0.30%","±0.1",2010
"Not in labor force","Connecticut","900,988","±5,278","31.90%","±0.2",2010
"Civilian labor force","Connecticut","1,910,905","±4,996","1,910,905","(X)",2010
"Percent Unemployed","Connecticut","(X)","(X)","7.60%","±0.1",2010
"Females 16 years and over","Connecticut","1,467,561","±1,011","1,467,561","(X)",2010
"In labor force","Connecticut","920,538","±3,727","62.70%","±0.3",2010
"Civilian labor force","Connecticut","919,669","±3,719","62.70%","±0.3",2010
"Employed","Connecticut","851,967","±3,868","58.10%","±0.3",2010
"Own children under 6 years","Connecticut","242,112","±1,538","242,112","(X)",2010
"All parents in family in labor force","Connecticut","160,164","±2,224","66.20%","±0.8",2010
"Own children 6 to 17 years","Connecticut","551,221","±1,809","551,221","(X)",2010
"All parents in family in labor force","Connecticut","411,525","±3,585","74.70%","±0.6",2010
"Population 16 years and over","Delaware","700,375","±765","700,375","(X)",2010
"In labor force","Delaware","454,892","±2,796","64.90%","±0.4",2010
"Civilian labor force","Delaware","451,137","±2,794","64.40%","±0.4",2010
"Employed","Delaware","419,062","±2,855","59.80%","±0.4",2010
"Unemployed","Delaware","32,075","±1,457","4.60%","±0.2",2010
"Armed Forces","Delaware","3,755","±476","0.50%","±0.1",2010
"Not in labor force","Delaware","245,483","±2,841","35.10%","±0.4",2010
"Civilian labor force","Delaware","451,137","±2,794","451,137","(X)",2010
"Percent Unemployed","Delaware","(X)","(X)","7.10%","±0.3",2010
"Females 16 years and over","Delaware","365,726","±530","365,726","(X)",2010
"In labor force","Delaware","221,010","±2,139","60.40%","±0.6",2010
"Civilian labor force","Delaware","220,306","±2,107","60.20%","±0.6",2010
"Employed","Delaware","205,481","±2,109","56.20%","±0.6",2010
"Own children under 6 years","Delaware","63,984","±798","63,984","(X)",2010
"All parents in family in labor force","Delaware","43,991","±1,263","68.80%","±1.8",2010
"Own children 6 to 17 years","Delaware","128,120","±1,086","128,120","(X)",2010
"All parents in family in labor force","Delaware","97,952","±1,732","76.50%","±1.2",2010
"Population 16 years and over","District of Columbia","493,401","±397","493,401","(X)",2010
"In labor force","District of Columbia","331,098","±2,195","67.10%","±0.4",2010
"Civilian labor force","District of Columbia","328,036","±2,164","66.50%","±0.4",2010
"Employed","District of Columbia","297,189","±2,534","60.20%","±0.5",2010
"Unemployed","District of Columbia","30,847","±1,597","6.30%","±0.3",2010
"Armed Forces","District of Columbia","3,062","±332","0.60%","±0.1",2010
"Not in labor force","District of Columbia","162,303","±2,162","32.90%","±0.4",2010
"Civilian labor force","District of Columbia","328,036","±2,164","328,036","(X)",2010
"Percent Unemployed","District of Columbia","(X)","(X)","9.40%","±0.5",2010
"Females 16 years and over","District of Columbia","263,298","±291","263,298","(X)",2010
"In labor force","District of Columbia","168,958","±1,704","64.20%","±0.6",2010
"Civilian labor force","District of Columbia","168,303","±1,712","63.90%","±0.6",2010
"Employed","District of Columbia","153,069","±1,808","58.10%","±0.7",2010
"Own children under 6 years","District of Columbia","35,311","±673","35,311","(X)",2010
"All parents in family in labor force","District of Columbia","23,730","±1,100","67.20%","±2.6",2010
"Own children 6 to 17 years","District of Columbia","58,477","±968","58,477","(X)",2010
"All parents in family in labor force","District of Columbia","43,322","±1,226","74.10%","±1.8",2010
"Population 16 years and over","Florida","14,988,197","±2,948","14,988,197","(X)",2010
"In labor force","Florida","9,187,180","±14,517","61.30%","±0.1",2010
"Civilian labor force","Florida","9,128,081","±14,366","60.90%","±0.1",2010
"Employed","Florida","8,317,203","±15,196","55.50%","±0.1",2010
"Unemployed","Florida","810,878","±7,826","5.40%","±0.1",2010
"Armed Forces","Florida","59,099","±1,970","0.40%","±0.1",2010
"Not in labor force","Florida","5,801,017","±13,969","38.70%","±0.1",2010
"Civilian labor force","Florida","9,128,081","±14,366","9,128,081","(X)",2010
"Percent Unemployed","Florida","(X)","(X)","8.90%","±0.1",2010
"Females 16 years and over","Florida","7,741,170","±2,518","7,741,170","(X)",2010
"In labor force","Florida","4,356,664","±9,956","56.30%","±0.1",2010
"Civilian labor force","Florida","4,347,555","±9,989","56.20%","±0.1",2010
"Employed","Florida","3,972,970","±10,164","51.30%","±0.1",2010
"Own children under 6 years","Florida","1,233,611","±4,326","1,233,611","(X)",2010
"All parents in family in labor force","Florida","816,663","±6,133","66.20%","±0.4",2010
"Own children 6 to 17 years","Florida","2,543,429","±5,470","2,543,429","(X)",2010
"All parents in family in labor force","Florida","1,860,200","±8,976","73.10%","±0.3",2010
"Population 16 years and over","Georgia","7,287,745","±2,357","7,287,745","(X)",2010
"In labor force","Georgia","4,770,546","±9,287","65.50%","±0.1",2010
"Civilian labor force","Georgia","4,713,921","±9,178","64.70%","±0.1",2010
"Employed","Georgia","4,296,760","±9,294","59.00%","±0.1",2010
"Unemployed","Georgia","417,161","±4,620","5.70%","±0.1",2010
"Armed Forces","Georgia","56,625","±1,674","0.80%","±0.1",2010
"Not in labor force","Georgia","2,517,199","±9,265","34.50%","±0.1",2010
"Civilian labor force","Georgia","4,713,921","±9,178","4,713,921","(X)",2010
"Percent Unemployed","Georgia","(X)","(X)","8.80%","±0.1",2010
"Females 16 years and over","Georgia","3,776,676","±2,559","3,776,676","(X)",2010
"In labor force","Georgia","2,258,640","±6,653","59.80%","±0.2",2010
"Civilian labor force","Georgia","2,251,241","±6,649","59.60%","±0.2",2010
"Employed","Georgia","2,048,973","±6,644","54.30%","±0.2",2010
"Own children under 6 years","Georgia","784,824","±2,931","784,824","(X)",2010
"All parents in family in labor force","Georgia","502,161","±4,378","64.00%","±0.5",2010
"Own children 6 to 17 years","Georgia","1,521,883","±4,113","1,521,883","(X)",2010
"All parents in family in labor force","Georgia","1,096,470","±6,271","72.00%","±0.3",2010
"Population 16 years and over","Hawaii","1,068,287","±735","1,068,287","(X)",2010
"In labor force","Hawaii","714,067","±3,076","66.80%","±0.3",2010
"Civilian labor force","Hawaii","674,469","±3,478","63.10%","±0.3",2010
"Employed","Hawaii","636,454","±3,786","59.60%","±0.4",2010
"Unemployed","Hawaii","38,015","±1,446","3.60%","±0.1",2010
"Armed Forces","Hawaii","39,598","±1,587","3.70%","±0.1",2010
"Not in labor force","Hawaii","354,220","±3,147","33.20%","±0.3",2010
"Civilian labor force","Hawaii","674,469","±3,478","674,469","(X)",2010
"Percent Unemployed","Hawaii","(X)","(X)","5.60%","±0.2",2010
"Females 16 years and over","Hawaii","537,019","±539","537,019","(X)",2010
"In labor force","Hawaii","329,124","±2,190","61.30%","±0.4",2010
"Civilian labor force","Hawaii","323,619","±2,164","60.30%","±0.4",2010
"Employed","Hawaii","308,120","±2,255","57.40%","±0.4",2010
"Own children under 6 years","Hawaii","96,966","±1,047","96,966","(X)",2010
"All parents in family in labor force","Hawaii","63,448","±1,561","65.40%","±1.6",2010
"Own children 6 to 17 years","Hawaii","183,496","±1,510","183,496","(X)",2010
"All parents in family in labor force","Hawaii","138,337","±1,948","75.40%","±0.9",2010
"Population 16 years and over","Idaho","1,153,611","±901","1,153,611","(X)",2010
"In labor force","Idaho","755,926","±2,676","65.50%","±0.2",2010
"Civilian labor force","Idaho","751,480","±2,663","65.10%","±0.2",2010
"Employed","Idaho","698,898","±2,560","60.60%","±0.2",2010
"Unemployed","Idaho","52,582","±1,708","4.60%","±0.1",2010
"Armed Forces","Idaho","4,446","±458","0.40%","±0.1",2010
"Not in labor force","Idaho","397,685","±2,772","34.50%","±0.2",2010
"Civilian labor force","Idaho","751,480","±2,663","751,480","(X)",2010
"Percent Unemployed","Idaho","(X)","(X)","7.00%","±0.2",2010
"Females 16 years and over","Idaho","580,530","±778","580,530","(X)",2010
"In labor force","Idaho","342,136","±2,245","58.90%","±0.4",2010
"Civilian labor force","Idaho","341,523","±2,224","58.80%","±0.4",2010
"Employed","Idaho","319,792","±2,252","55.10%","±0.4",2010
"Own children under 6 years","Idaho","138,836","±1,099","138,836","(X)",2010
"All parents in family in labor force","Idaho","79,535","±1,397","57.30%","±1.0",2010
"Own children 6 to 17 years","Idaho","261,472","±1,359","261,472","(X)",2010
"All parents in family in labor force","Idaho","178,293","±2,452","68.20%","±0.8",2010
"Population 16 years and over","Illinois","9,967,535","±2,526","9,967,535","(X)",2010
"In labor force","Illinois","6,654,048","±9,976","66.80%","±0.1",2010
"Civilian labor force","Illinois","6,632,592","±9,926","66.50%","±0.1",2010
"Employed","Illinois","6,062,848","±11,006","60.80%","±0.1",2010
"Unemployed","Illinois","569,744","±5,462","5.70%","±0.1",2010
"Armed Forces","Illinois","21,456","±1,125","0.20%","±0.1",2010
"Not in labor force","Illinois","3,313,487","±9,771","33.20%","±0.1",2010
"Civilian labor force","Illinois","6,632,592","±9,926","6,632,592","(X)",2010
"Percent Unemployed","Illinois","(X)","(X)","8.60%","±0.1",2010
"Females 16 years and over","Illinois","5,136,417","±1,890","5,136,417","(X)",2010
"In labor force","Illinois","3,137,046","±6,308","61.10%","±0.1",2010
"Civilian labor force","Illinois","3,133,605","±6,300","61.00%","±0.1",2010
"Employed","Illinois","2,880,388","±6,925","56.10%","±0.1",2010
"Own children under 6 years","Illinois","978,908","±3,068","978,908","(X)",2010
"All parents in family in labor force","Illinois","628,109","±4,808","64.20%","±0.5",2010
"Own children 6 to 17 years","Illinois","2,031,830","±3,855","2,031,830","(X)",2010
"All parents in family in labor force","Illinois","1,455,688","±6,427","71.60%","±0.3",2010
"Population 16 years and over","Indiana","4,996,762","±1,700","4,996,762","(X)",2010
"In labor force","Indiana","3,279,674","±6,380","65.60%","±0.1",2010
"Civilian labor force","Indiana","3,274,429","±6,386","65.50%","±0.1",2010
"Employed","Indiana","2,999,570","±7,274","60.00%","±0.1",2010
"Unemployed","Indiana","274,859","±3,715","5.50%","±0.1",2010
"Armed Forces","Indiana","5,245","±532","0.10%","±0.1",2010
"Not in labor force","Indiana","1,717,088","±6,321","34.40%","±0.1",2010
"Civilian labor force","Indiana","3,274,429","±6,386","3,274,429","(X)",2010
"Percent Unemployed","Indiana","(X)","(X)","8.40%","±0.1",2010
"Females 16 years and over","Indiana","2,567,336","±1,440","2,567,336","(X)",2010
"In labor force","Indiana","1,546,455","±4,974","60.20%","±0.2",2010
"Civilian labor force","Indiana","1,545,661","±4,946","60.20%","±0.2",2010
"Employed","Indiana","1,422,945","±5,223","55.40%","±0.2",2010
"Own children under 6 years","Indiana","499,826","±2,096","499,826","(X)",2010
"All parents in family in labor force","Indiana","332,550","±3,516","66.50%","±0.7",2010
"Own children 6 to 17 years","Indiana","1,019,599","±2,618","1,019,599","(X)",2010
"All parents in family in labor force","Indiana","749,497","±4,590","73.50%","±0.4",2010
"Population 16 years and over","Iowa","2,377,835","±1,148","2,377,835","(X)",2010
"In labor force","Iowa","1,642,493","±3,585","69.10%","±0.2",2010
"Civilian labor force","Iowa","1,640,081","±3,550","69.00%","±0.1",2010
"Employed","Iowa","1,553,594","±3,661","65.30%","±0.2",2010
"Unemployed","Iowa","86,487","±2,048","3.60%","±0.1",2010
"Armed Forces","Iowa","2,412","±330","0.10%","±0.1",2010
"Not in labor force","Iowa","735,342","±3,621","30.90%","±0.2",2010
"Civilian labor force","Iowa","1,640,081","±3,550","1,640,081","(X)",2010
"Percent Unemployed","Iowa","(X)","(X)","5.30%","±0.1",2010
"Females 16 years and over","Iowa","1,214,790","±1,113","1,214,790","(X)",2010
"In labor force","Iowa","780,456","±2,527","64.20%","±0.2",2010
"Civilian labor force","Iowa","780,027","±2,550","64.20%","±0.2",2010
"Employed","Iowa","741,643","±2,631","61.10%","±0.2",2010
"Own children under 6 years","Iowa","230,724","±1,243","230,724","(X)",2010
"All parents in family in labor force","Iowa","169,790","±1,917","73.60%","±0.8",2010
"Own children 6 to 17 years","Iowa","460,657","±1,805","460,657","(X)",2010
"All parents in family in labor force","Iowa","369,571","±2,711","80.20%","±0.5",2010
"Population 16 years and over","Kansas","2,175,144","±1,325","2,175,144","(X)",2010
"In labor force","Kansas","1,494,540","±3,802","68.70%","±0.2",2010
"Civilian labor force","Kansas","1,479,517","±3,883","68.00%","±0.2",2010
"Employed","Kansas","1,390,619","±4,168","63.90%","±0.2",2010
"Unemployed","Kansas","88,898","±2,120","4.10%","±0.1",2010
"Armed Forces","Kansas","15,023","±1,112","0.70%","±0.1",2010
"Not in labor force","Kansas","680,604","±3,909","31.30%","±0.2",2010
"Civilian labor force","Kansas","1,479,517","±3,883","1,479,517","(X)",2010
"Percent Unemployed","Kansas","(X)","(X)","6.00%","±0.1",2010
"Females 16 years and over","Kansas","1,107,492","±884","1,107,492","(X)",2010
"In labor force","Kansas","701,682","±2,460","63.40%","±0.2",2010
"Civilian labor force","Kansas","699,782","±2,437","63.20%","±0.2",2010
"Employed","Kansas","659,594","±2,685","59.60%","±0.2",2010
"Own children under 6 years","Kansas","230,280","±1,351","230,280","(X)",2010
"All parents in family in labor force","Kansas","156,144","±2,063","67.80%","±0.8",2010
"Own children 6 to 17 years","Kansas","450,161","±1,614","450,161","(X)",2010
"All parents in family in labor force","Kansas","342,593","±2,735","76.10%","±0.6",2010
"Population 16 years and over","Kentucky","3,383,799","±1,613","3,383,799","(X)",2010
"In labor force","Kentucky","2,056,333","±5,205","60.80%","±0.2",2010
"Civilian labor force","Kentucky","2,038,921","±5,065","60.30%","±0.1",2010
"Employed","Kentucky","1,871,531","±5,208","55.30%","±0.2",2010
"Unemployed","Kentucky","167,390","±2,969","4.90%","±0.1",2010
"Armed Forces","Kentucky","17,412","±1,187","0.50%","±0.1",2010
"Not in labor force","Kentucky","1,327,466","±5,200","39.20%","±0.2",2010
"Civilian labor force","Kentucky","2,038,921","±5,065","2,038,921","(X)",2010
"Percent Unemployed","Kentucky","(X)","(X)","8.20%","±0.1",2010
"Females 16 years and over","Kentucky","1,741,767","±1,304","1,741,767","(X)",2010
"In labor force","Kentucky","967,858","±3,500","55.60%","±0.2",2010
"Civilian labor force","Kentucky","966,211","±3,572","55.50%","±0.2",2010
"Employed","Kentucky","891,506","±3,707","51.20%","±0.2",2010
"Own children under 6 years","Kentucky","315,702","±2,212","315,702","(X)",2010
"All parents in family in labor force","Kentucky","196,494","±2,835","62.20%","±0.8",2010
"Own children 6 to 17 years","Kentucky","633,412","±2,639","633,412","(X)",2010
"All parents in family in labor force","Kentucky","431,720","±4,147","68.20%","±0.6",2010
"Population 16 years and over","Louisiana","3,455,412","±1,512","3,455,412","(X)",2010
"In labor force","Louisiana","2,133,382","±6,215","61.70%","±0.2",2010
"Civilian labor force","Louisiana","2,116,794","±5,978","61.30%","±0.2",2010
"Employed","Louisiana","1,952,818","±5,980","56.50%","±0.2",2010
"Unemployed","Louisiana","163,976","±3,017","4.70%","±0.1",2010
"Armed Forces","Louisiana","16,588","±861","0.50%","±0.1",2010
"Not in labor force","Louisiana","1,322,030","±6,363","38.30%","±0.2",2010
"Civilian labor force","Louisiana","2,116,794","±5,978","2,116,794","(X)",2010
"Percent Unemployed","Louisiana","(X)","(X)","7.70%","±0.1",2010
"Females 16 years and over","Louisiana","1,788,217","±1,218","1,788,217","(X)",2010
"In labor force","Louisiana","1,008,715","±4,189","56.40%","±0.2",2010
"Civilian labor force","Louisiana","1,006,380","±4,147","56.30%","±0.2",2010
"Employed","Louisiana","930,258","±3,963","52.00%","±0.2",2010
"Own children under 6 years","Louisiana","347,714","±2,169","347,714","(X)",2010
"All parents in family in labor force","Louisiana","228,257","±3,065","65.60%","±0.8",2010
"Own children 6 to 17 years","Louisiana","684,748","±3,043","684,748","(X)",2010
"All parents in family in labor force","Louisiana","479,696","±4,349","70.10%","±0.5",2010
"Population 16 years and over","Maine","1,083,357","±757","1,083,357","(X)",2010
"In labor force","Maine","706,647","±2,845","65.20%","±0.3",2010
"Civilian labor force","Maine","703,391","±2,849","64.90%","±0.3",2010
"Employed","Maine","657,556","±2,831","60.70%","±0.3",2010
"Unemployed","Maine","45,835","±1,378","4.20%","±0.1",2010
"Armed Forces","Maine","3,256","±441","0.30%","±0.1",2010
"Not in labor force","Maine","376,710","±2,946","34.80%","±0.3",2010
"Civilian labor force","Maine","703,391","±2,849","703,391","(X)",2010
"Percent Unemployed","Maine","(X)","(X)","6.50%","±0.2",2010
"Females 16 years and over","Maine","558,973","±577","558,973","(X)",2010
"In labor force","Maine","340,017","±1,823","60.80%","±0.3",2010
"Civilian labor force","Maine","339,767","±1,829","60.80%","±0.3",2010
"Employed","Maine","320,619","±1,760","57.40%","±0.3",2010
"Own children under 6 years","Maine","81,006","±905","81,006","(X)",2010
"All parents in family in labor force","Maine","53,860","±1,326","66.50%","±1.6",2010
"Own children 6 to 17 years","Maine","185,569","±1,090","185,569","(X)",2010
"All parents in family in labor force","Maine","141,192","±1,878","76.10%","±1.0",2010
"Population 16 years and over","Maryland","4,503,062","±1,893","4,503,062","(X)",2010
"In labor force","Maryland","3,135,769","±5,659","69.60%","±0.1",2010
"Civilian labor force","Maryland","3,107,928","±5,759","69.00%","±0.1",2010
"Employed","Maryland","2,903,595","±6,156","64.50%","±0.1",2010
"Unemployed","Maryland","204,333","±2,962","4.50%","±0.1",2010
"Armed Forces","Maryland","27,841","±1,518","0.60%","±0.1",2010
"Not in labor force","Maryland","1,367,293","±5,789","30.40%","±0.1",2010
"Civilian labor force","Maryland","3,107,928","±5,759","3,107,928","(X)",2010
"Percent Unemployed","Maryland","(X)","(X)","6.60%","±0.1",2010
"Females 16 years and over","Maryland","2,357,682","±1,272","2,357,682","(X)",2010
"In labor force","Maryland","1,536,176","±4,983","65.20%","±0.2",2010
"Civilian labor force","Maryland","1,529,848","±4,964","64.90%","±0.2",2010
"Employed","Maryland","1,435,240","±4,850","60.90%","±0.2",2010
"Own children under 6 years","Maryland","420,852","±2,370","420,852","(X)",2010
"All parents in family in labor force","Maryland","293,087","±3,308","69.60%","±0.7",2010
"Own children 6 to 17 years","Maryland","866,405","±2,900","866,405","(X)",2010
"All parents in family in labor force","Maryland","673,258","±3,760","77.70%","±0.4",2010
"Population 16 years and over","Massachusetts","5,224,911","±1,629","5,224,911","(X)",2010
"In labor force","Massachusetts","3,537,380","±7,132","67.70%","±0.1",2010
"Civilian labor force","Massachusetts","3,531,260","±7,238","67.60%","±0.1",2010
"Employed","Massachusetts","3,271,535","±7,325","62.60%","±0.1",2010
"Unemployed","Massachusetts","259,725","±3,554","5.00%","±0.1",2010
"Armed Forces","Massachusetts","6,120","±599","0.10%","±0.1",2010
"Not in labor force","Massachusetts","1,687,531","±7,266","32.30%","±0.1",2010
"Civilian labor force","Massachusetts","3,531,260","±7,238","3,531,260","(X)",2010
"Percent Unemployed","Massachusetts","(X)","(X)","7.40%","±0.1",2010
"Females 16 years and over","Massachusetts","2,733,062","±1,165","2,733,062","(X)",2010
"In labor force","Massachusetts","1,722,638","±4,742","63.00%","±0.2",2010
"Civilian labor force","Massachusetts","1,721,681","±4,744","63.00%","±0.2",2010
"Employed","Massachusetts","1,609,560","±4,699","58.90%","±0.2",2010
"Own children under 6 years","Massachusetts","434,472","±1,997","434,472","(X)",2010
"All parents in family in labor force","Massachusetts","290,460","±2,957","66.90%","±0.6",2010
"Own children 6 to 17 years","Massachusetts","941,260","±2,507","941,260","(X)",2010
"All parents in family in labor force","Massachusetts","701,209","±4,613","74.50%","±0.4",2010
"Population 16 years and over","Michigan","7,836,314","±2,157","7,836,314","(X)",2010
"In labor force","Michigan","4,944,003","±10,064","63.10%","±0.1",2010
"Civilian labor force","Michigan","4,938,337","±10,068","63.00%","±0.1",2010
"Employed","Michigan","4,369,785","±10,590","55.80%","±0.1",2010
"Unemployed","Michigan","568,552","±4,408","7.30%","±0.1",2010
"Armed Forces","Michigan","5,666","±483","0.10%","±0.1",2010
"Not in labor force","Michigan","2,892,311","±9,870","36.90%","±0.1",2010
"Civilian labor force","Michigan","4,938,337","±10,068","4,938,337","(X)",2010
"Percent Unemployed","Michigan","(X)","(X)","11.50%","±0.1",2010
"Females 16 years and over","Michigan","4,034,734","±1,646","4,034,734","(X)",2010
