"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Civilian noninstitutionalized population under 18 years","Alaska","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Alaska","(X)","(X)","(X)","(X)",2010
"In labor force:","Alaska","(X)","(X)","(X)","(X)",2010
"Employed:","Alaska","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alaska","(X)","(X)","(X)","(X)",2010
"With public coverage","Alaska","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"Unemployed:","Alaska","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alaska","(X)","(X)","(X)","(X)",2010
"With public coverage","Alaska","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Alaska","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"With private health insurance","Alaska","(X)","(X)","(X)","(X)",2010
"With public coverage","Alaska","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Alaska","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Arizona","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arizona","(X)","(X)","(X)","(X)",2010
"With public coverage","Arizona","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Arizona","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Arizona","(X)","(X)","(X)","(X)",2010
"In labor force:","Arizona","(X)","(X)","(X)","(X)",2010
"Employed:","Arizona","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arizona","(X)","(X)","(X)","(X)",2010
"With public coverage","Arizona","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"Unemployed:","Arizona","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arizona","(X)","(X)","(X)","(X)",2010
"With public coverage","Arizona","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Arizona","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arizona","(X)","(X)","(X)","(X)",2010
"With public coverage","Arizona","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arizona","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Arkansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arkansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Arkansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Arkansas","(X)","(X)","(X)","(X)",2010
"In labor force:","Arkansas","(X)","(X)","(X)","(X)",2010
"Employed:","Arkansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arkansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"Unemployed:","Arkansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arkansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Arkansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Arkansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Arkansas","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","California","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"With private health insurance","California","(X)","(X)","(X)","(X)",2010
"With public coverage","California","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","California","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","California","(X)","(X)","(X)","(X)",2010
"In labor force:","California","(X)","(X)","(X)","(X)",2010
"Employed:","California","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"With private health insurance","California","(X)","(X)","(X)","(X)",2010
"With public coverage","California","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"Unemployed:","California","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"With private health insurance","California","(X)","(X)","(X)","(X)",2010
"With public coverage","California","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"Not in labor force:","California","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"With private health insurance","California","(X)","(X)","(X)","(X)",2010
"With public coverage","California","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","California","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Colorado","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"With private health insurance","Colorado","(X)","(X)","(X)","(X)",2010
"With public coverage","Colorado","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Colorado","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Colorado","(X)","(X)","(X)","(X)",2010
"In labor force:","Colorado","(X)","(X)","(X)","(X)",2010
"Employed:","Colorado","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"With private health insurance","Colorado","(X)","(X)","(X)","(X)",2010
"With public coverage","Colorado","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"Unemployed:","Colorado","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"With private health insurance","Colorado","(X)","(X)","(X)","(X)",2010
"With public coverage","Colorado","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Colorado","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"With private health insurance","Colorado","(X)","(X)","(X)","(X)",2010
"With public coverage","Colorado","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Colorado","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Connecticut","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"With private health insurance","Connecticut","(X)","(X)","(X)","(X)",2010
"With public coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Connecticut","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Connecticut","(X)","(X)","(X)","(X)",2010
"In labor force:","Connecticut","(X)","(X)","(X)","(X)",2010
"Employed:","Connecticut","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"With private health insurance","Connecticut","(X)","(X)","(X)","(X)",2010
"With public coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"Unemployed:","Connecticut","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"With private health insurance","Connecticut","(X)","(X)","(X)","(X)",2010
"With public coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Connecticut","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"With private health insurance","Connecticut","(X)","(X)","(X)","(X)",2010
"With public coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Connecticut","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Delaware","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"With private health insurance","Delaware","(X)","(X)","(X)","(X)",2010
"With public coverage","Delaware","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Delaware","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Delaware","(X)","(X)","(X)","(X)",2010
"In labor force:","Delaware","(X)","(X)","(X)","(X)",2010
"Employed:","Delaware","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"With private health insurance","Delaware","(X)","(X)","(X)","(X)",2010
"With public coverage","Delaware","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"Unemployed:","Delaware","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"With private health insurance","Delaware","(X)","(X)","(X)","(X)",2010
"With public coverage","Delaware","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Delaware","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"With private health insurance","Delaware","(X)","(X)","(X)","(X)",2010
"With public coverage","Delaware","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Delaware","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","District of Columbia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"With private health insurance","District of Columbia","(X)","(X)","(X)","(X)",2010
"With public coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","District of Columbia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","District of Columbia","(X)","(X)","(X)","(X)",2010
"In labor force:","District of Columbia","(X)","(X)","(X)","(X)",2010
"Employed:","District of Columbia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"With private health insurance","District of Columbia","(X)","(X)","(X)","(X)",2010
"With public coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"Unemployed:","District of Columbia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"With private health insurance","District of Columbia","(X)","(X)","(X)","(X)",2010
"With public coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"Not in labor force:","District of Columbia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"With private health insurance","District of Columbia","(X)","(X)","(X)","(X)",2010
"With public coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","District of Columbia","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Florida","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"With private health insurance","Florida","(X)","(X)","(X)","(X)",2010
"With public coverage","Florida","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Florida","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Florida","(X)","(X)","(X)","(X)",2010
"In labor force:","Florida","(X)","(X)","(X)","(X)",2010
"Employed:","Florida","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"With private health insurance","Florida","(X)","(X)","(X)","(X)",2010
"With public coverage","Florida","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"Unemployed:","Florida","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"With private health insurance","Florida","(X)","(X)","(X)","(X)",2010
"With public coverage","Florida","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Florida","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"With private health insurance","Florida","(X)","(X)","(X)","(X)",2010
"With public coverage","Florida","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Florida","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Georgia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"With private health insurance","Georgia","(X)","(X)","(X)","(X)",2010
"With public coverage","Georgia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Georgia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Georgia","(X)","(X)","(X)","(X)",2010
"In labor force:","Georgia","(X)","(X)","(X)","(X)",2010
"Employed:","Georgia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"With private health insurance","Georgia","(X)","(X)","(X)","(X)",2010
"With public coverage","Georgia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"Unemployed:","Georgia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"With private health insurance","Georgia","(X)","(X)","(X)","(X)",2010
"With public coverage","Georgia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Georgia","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"With private health insurance","Georgia","(X)","(X)","(X)","(X)",2010
"With public coverage","Georgia","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Georgia","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Hawaii","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"With private health insurance","Hawaii","(X)","(X)","(X)","(X)",2010
"With public coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Hawaii","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Hawaii","(X)","(X)","(X)","(X)",2010
"In labor force:","Hawaii","(X)","(X)","(X)","(X)",2010
"Employed:","Hawaii","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"With private health insurance","Hawaii","(X)","(X)","(X)","(X)",2010
"With public coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"Unemployed:","Hawaii","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"With private health insurance","Hawaii","(X)","(X)","(X)","(X)",2010
"With public coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Hawaii","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"With private health insurance","Hawaii","(X)","(X)","(X)","(X)",2010
"With public coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Hawaii","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Idaho","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"With private health insurance","Idaho","(X)","(X)","(X)","(X)",2010
"With public coverage","Idaho","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Idaho","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Idaho","(X)","(X)","(X)","(X)",2010
"In labor force:","Idaho","(X)","(X)","(X)","(X)",2010
"Employed:","Idaho","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"With private health insurance","Idaho","(X)","(X)","(X)","(X)",2010
"With public coverage","Idaho","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"Unemployed:","Idaho","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"With private health insurance","Idaho","(X)","(X)","(X)","(X)",2010
"With public coverage","Idaho","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Idaho","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"With private health insurance","Idaho","(X)","(X)","(X)","(X)",2010
"With public coverage","Idaho","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Idaho","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Illinois","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"With private health insurance","Illinois","(X)","(X)","(X)","(X)",2010
"With public coverage","Illinois","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Illinois","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Illinois","(X)","(X)","(X)","(X)",2010
"In labor force:","Illinois","(X)","(X)","(X)","(X)",2010
"Employed:","Illinois","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"With private health insurance","Illinois","(X)","(X)","(X)","(X)",2010
"With public coverage","Illinois","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"Unemployed:","Illinois","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"With private health insurance","Illinois","(X)","(X)","(X)","(X)",2010
"With public coverage","Illinois","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Illinois","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"With private health insurance","Illinois","(X)","(X)","(X)","(X)",2010
"With public coverage","Illinois","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Illinois","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Indiana","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"With private health insurance","Indiana","(X)","(X)","(X)","(X)",2010
"With public coverage","Indiana","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Indiana","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Indiana","(X)","(X)","(X)","(X)",2010
"In labor force:","Indiana","(X)","(X)","(X)","(X)",2010
"Employed:","Indiana","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"With private health insurance","Indiana","(X)","(X)","(X)","(X)",2010
"With public coverage","Indiana","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"Unemployed:","Indiana","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"With private health insurance","Indiana","(X)","(X)","(X)","(X)",2010
"With public coverage","Indiana","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Indiana","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"With private health insurance","Indiana","(X)","(X)","(X)","(X)",2010
"With public coverage","Indiana","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Indiana","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Iowa","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"With private health insurance","Iowa","(X)","(X)","(X)","(X)",2010
"With public coverage","Iowa","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Iowa","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Iowa","(X)","(X)","(X)","(X)",2010
"In labor force:","Iowa","(X)","(X)","(X)","(X)",2010
"Employed:","Iowa","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"With private health insurance","Iowa","(X)","(X)","(X)","(X)",2010
"With public coverage","Iowa","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"Unemployed:","Iowa","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"With private health insurance","Iowa","(X)","(X)","(X)","(X)",2010
"With public coverage","Iowa","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Iowa","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"With private health insurance","Iowa","(X)","(X)","(X)","(X)",2010
"With public coverage","Iowa","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Iowa","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Kansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Kansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Kansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population under 18 years","Kansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population 18 to 64 years","Kansas","(X)","(X)","(X)","(X)",2010
"In labor force:","Kansas","(X)","(X)","(X)","(X)",2010
"Employed:","Kansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Kansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Kansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"Unemployed:","Kansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Kansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Kansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"Not in labor force:","Kansas","(X)","(X)","(X)","(X)",2010
"With health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"With private health insurance","Kansas","(X)","(X)","(X)","(X)",2010
"With public coverage","Kansas","(X)","(X)","(X)","(X)",2010
"No health insurance coverage","Kansas","(X)","(X)","(X)","(X)",2010
"Civilian noninstitutionalized population","Kentucky","(X)","(X)","(X)","(X)",2010
