"Label..Grouping.","State","Estimate","Margin.of.Error","Percent","Percent.Margin.of.Error","Year"
"Mean travel time to work (minutes)","Connecticut","24.6","±0.1","(X)","(X)",2010
"Workers 16 years and over","Delaware","412,021","±2,968","412,021","(X)",2010
"Car, truck, or van -- drove alone","Delaware","328,860","±2,732","79.80%","±0.5",2010
"Car, truck, or van -- carpooled","Delaware","40,767","±1,776","9.90%","±0.4",2010
"Public transportation (excluding taxicab)","Delaware","13,062","±899","3.20%","±0.2",2010
"Walked","Delaware","10,291","±724","2.50%","±0.2",2010
"Other means","Delaware","6,178","±777","1.50%","±0.2",2010
"Worked at home","Delaware","12,863","±835","3.10%","±0.2",2010
"Mean travel time to work (minutes)","Delaware","24.1","±0.3","(X)","(X)",2010
"Workers 16 years and over","District of Columbia","292,979","±2,616","292,979","(X)",2010
"Car, truck, or van -- drove alone","District of Columbia","105,104","±2,365","35.90%","±0.7",2010
"Car, truck, or van -- carpooled","District of Columbia","19,147","±1,048","6.50%","±0.3",2010
"Public transportation (excluding taxicab)","District of Columbia","110,108","±2,387","37.60%","±0.8",2010
"Walked","District of Columbia","34,897","±1,392","11.90%","±0.5",2010
"Other means","District of Columbia","10,091","±649","3.40%","±0.2",2010
"Worked at home","District of Columbia","13,632","±907","4.70%","±0.3",2010
"Mean travel time to work (minutes)","District of Columbia","29.3","±0.3","(X)","(X)",2010
"Workers 16 years and over","Florida","8,165,401","±14,942","8,165,401","(X)",2010
"Car, truck, or van -- drove alone","Florida","6,486,547","±14,394","79.40%","±0.1",2010
"Car, truck, or van -- carpooled","Florida","848,329","±9,652","10.40%","±0.1",2010
"Public transportation (excluding taxicab)","Florida","160,236","±4,375","2.00%","±0.1",2010
"Walked","Florida","132,455","±3,773","1.60%","±0.1",2010
"Other means","Florida","179,876","±4,296","2.20%","±0.1",2010
"Worked at home","Florida","357,958","±4,645","4.40%","±0.1",2010
"Mean travel time to work (minutes)","Florida","25.7","±0.1","(X)","(X)",2010
"Workers 16 years and over","Georgia","4,241,387","±9,620","4,241,387","(X)",2010
"Car, truck, or van -- drove alone","Georgia","3,336,132","±9,935","78.70%","±0.2",2010
"Car, truck, or van -- carpooled","Georgia","475,113","±5,531","11.20%","±0.1",2010
"Public transportation (excluding taxicab)","Georgia","96,011","±2,988","2.30%","±0.1",2010
"Walked","Georgia","66,721","±2,220","1.60%","±0.1",2010
"Other means","Georgia","76,896","±2,594","1.80%","±0.1",2010
"Worked at home","Georgia","190,514","±3,182","4.50%","±0.1",2010
"Mean travel time to work (minutes)","Georgia","27","±0.1","(X)","(X)",2010
"Workers 16 years and over","Hawaii","658,322","±3,323","658,322","(X)",2010
"Car, truck, or van -- drove alone","Hawaii","436,604","±3,687","66.30%","±0.5",2010
"Car, truck, or van -- carpooled","Hawaii","101,704","±2,323","15.40%","±0.3",2010
"Public transportation (excluding taxicab)","Hawaii","39,605","±1,650","6.00%","±0.2",2010
"Walked","Hawaii","30,989","±1,778","4.70%","±0.3",2010
"Other means","Hawaii","18,868","±1,042","2.90%","±0.2",2010
"Worked at home","Hawaii","30,552","±1,655","4.60%","±0.3",2010
"Mean travel time to work (minutes)","Hawaii","25.9","±0.2","(X)","(X)",2010
"Workers 16 years and over","Idaho","685,617","±2,668","685,617","(X)",2010
"Car, truck, or van -- drove alone","Idaho","524,029","±3,447","76.40%","±0.4",2010
"Car, truck, or van -- carpooled","Idaho","78,061","±2,018","11.40%","±0.3",2010
"Public transportation (excluding taxicab)","Idaho","6,100","±561","0.90%","±0.1",2010
"Walked","Idaho","21,872","±1,162","3.20%","±0.2",2010
"Other means","Idaho","18,291","±1,067","2.70%","±0.2",2010
"Worked at home","Idaho","37,264","±1,509","5.40%","±0.2",2010
"Mean travel time to work (minutes)","Idaho","20.1","±0.2","(X)","(X)",2010
"Workers 16 years and over","Illinois","5,930,230","±10,704","5,930,230","(X)",2010
"Car, truck, or van -- drove alone","Illinois","4,366,869","±12,032","73.60%","±0.1",2010
"Car, truck, or van -- carpooled","Illinois","540,099","±5,675","9.10%","±0.1",2010
"Public transportation (excluding taxicab)","Illinois","515,963","±5,036","8.70%","±0.1",2010
"Walked","Illinois","181,617","±3,467","3.10%","±0.1",2010
"Other means","Illinois","93,276","±2,497","1.60%","±0.1",2010
"Worked at home","Illinois","232,406","±2,870","3.90%","±0.1",2010
"Mean travel time to work (minutes)","Illinois","28.1","±0.1","(X)","(X)",2010
"Workers 16 years and over","Indiana","2,932,461","±7,059","2,932,461","(X)",2010
"Car, truck, or van -- drove alone","Indiana","2,425,993","±7,946","82.70%","±0.2",2010
"Car, truck, or van -- carpooled","Indiana","278,574","±4,584","9.50%","±0.2",2010
"Public transportation (excluding taxicab)","Indiana","30,940","±1,362","1.10%","±0.1",2010
"Walked","Indiana","65,118","±1,525","2.20%","±0.1",2010
"Other means","Indiana","37,112","±1,316","1.30%","±0.1",2010
"Worked at home","Indiana","94,724","±2,052","3.20%","±0.1",2010
"Mean travel time to work (minutes)","Indiana","22.8","±0.1","(X)","(X)",2010
"Workers 16 years and over","Iowa","1,520,445","±3,771","1,520,445","(X)",2010
"Car, truck, or van -- drove alone","Iowa","1,196,233","±4,907","78.70%","±0.2",2010
"Car, truck, or van -- carpooled","Iowa","156,355","±2,964","10.30%","±0.2",2010
"Public transportation (excluding taxicab)","Iowa","16,803","±960","1.10%","±0.1",2010
"Walked","Iowa","58,183","±1,453","3.80%","±0.1",2010
"Other means","Iowa","20,382","±1,046","1.30%","±0.1",2010
"Worked at home","Iowa","72,489","±1,290","4.80%","±0.1",2010
"Mean travel time to work (minutes)","Iowa","18.5","±0.1","(X)","(X)",2010
"Workers 16 years and over","Kansas","1,374,765","±4,078","1,374,765","(X)",2010
"Car, truck, or van -- drove alone","Kansas","1,118,719","±4,693","81.40%","±0.3",2010
"Car, truck, or van -- carpooled","Kansas","133,510","±2,929","9.70%","±0.2",2010
"Public transportation (excluding taxicab)","Kansas","7,066","±676","0.50%","±0.1",2010
"Walked","Kansas","36,361","±1,339","2.60%","±0.1",2010
"Other means","Kansas","19,711","±1,003","1.40%","±0.1",2010
"Worked at home","Kansas","59,398","±1,377","4.30%","±0.1",2010
"Mean travel time to work (minutes)","Kansas","18.8","±0.1","(X)","(X)",2010
"Workers 16 years and over","Kentucky","1,839,402","±5,615","1,839,402","(X)",2010
"Car, truck, or van -- drove alone","Kentucky","1,499,327","±6,204","81.50%","±0.2",2010
"Car, truck, or van -- carpooled","Kentucky","201,935","±4,150","11.00%","±0.2",2010
"Public transportation (excluding taxicab)","Kentucky","21,331","±1,059","1.20%","±0.1",2010
"Walked","Kentucky","40,097","±1,851","2.20%","±0.1",2010
"Other means","Kentucky","19,798","±977","1.10%","±0.1",2010
"Worked at home","Kentucky","56,914","±1,751","3.10%","±0.1",2010
"Mean travel time to work (minutes)","Kentucky","22.5","±0.1","(X)","(X)",2010
"Workers 16 years and over","Louisiana","1,914,440","±6,151","1,914,440","(X)",2010
"Car, truck, or van -- drove alone","Louisiana","1,558,549","±6,124","81.40%","±0.2",2010
"Car, truck, or van -- carpooled","Louisiana","212,128","±3,823","11.10%","±0.2",2010
"Public transportation (excluding taxicab)","Louisiana","24,248","±1,418","1.30%","±0.1",2010
"Walked","Louisiana","37,196","±1,782","1.90%","±0.1",2010
"Other means","Louisiana","36,547","±1,356","1.90%","±0.1",2010
"Worked at home","Louisiana","45,772","±1,614","2.40%","±0.1",2010
"Mean travel time to work (minutes)","Louisiana","25","±0.1","(X)","(X)",2010
"Workers 16 years and over","Maine","641,796","±2,947","641,796","(X)",2010
"Car, truck, or van -- drove alone","Maine","504,614","±3,212","78.60%","±0.3",2010
"Car, truck, or van -- carpooled","Maine","64,708","±1,634","10.10%","±0.3",2010
"Public transportation (excluding taxicab)","Maine","4,107","±432","0.60%","±0.1",2010
"Walked","Maine","26,002","±1,157","4.10%","±0.2",2010
"Other means","Maine","9,828","±678","1.50%","±0.1",2010
"Worked at home","Maine","32,537","±1,206","5.10%","±0.2",2010
"Mean travel time to work (minutes)","Maine","22.8","±0.2","(X)","(X)",2010
"Workers 16 years and over","Maryland","2,855,936","±6,053","2,855,936","(X)",2010
"Car, truck, or van -- drove alone","Maryland","2,089,717","±6,462","73.20%","±0.2",2010
"Car, truck, or van -- carpooled","Maryland","303,049","±4,581","10.60%","±0.2",2010
"Public transportation (excluding taxicab)","Maryland","248,485","±3,653","8.70%","±0.1",2010
"Walked","Maryland","71,275","±2,025","2.50%","±0.1",2010
"Other means","Maryland","32,998","±1,356","1.20%","±0.1",2010
"Worked at home","Maryland","110,412","±2,659","3.90%","±0.1",2010
"Mean travel time to work (minutes)","Maryland","31.3","±0.1","(X)","(X)",2010
"Workers 16 years and over","Massachusetts","3,188,619","±7,767","3,188,619","(X)",2010
"Car, truck, or van -- drove alone","Massachusetts","2,313,239","±8,094","72.50%","±0.2",2010
"Car, truck, or van -- carpooled","Massachusetts","263,534","±4,927","8.30%","±0.2",2010
"Public transportation (excluding taxicab)","Massachusetts","289,058","±4,179","9.10%","±0.1",2010
"Walked","Massachusetts","146,551","±2,930","4.60%","±0.1",2010
"Other means","Massachusetts","48,093","±1,745","1.50%","±0.1",2010
"Worked at home","Massachusetts","128,144","±2,651","4.00%","±0.1",2010
"Mean travel time to work (minutes)","Massachusetts","27.3","±0.1","(X)","(X)",2010
"Workers 16 years and over","Michigan","4,255,557","±11,178","4,255,557","(X)",2010
"Car, truck, or van -- drove alone","Michigan","3,527,070","±11,009","82.90%","±0.1",2010
"Car, truck, or van -- carpooled","Michigan","380,844","±4,275","8.90%","±0.1",2010
"Public transportation (excluding taxicab)","Michigan","53,244","±1,389","1.30%","±0.1",2010
"Walked","Michigan","96,839","±2,487","2.30%","±0.1",2010
"Other means","Michigan","48,875","±1,539","1.10%","±0.1",2010
"Worked at home","Michigan","148,685","±3,186","3.50%","±0.1",2010
"Mean travel time to work (minutes)","Michigan","23.7","±0.1","(X)","(X)",2010
"Workers 16 years and over","Minnesota","2,676,172","±5,978","2,676,172","(X)",2010
"Car, truck, or van -- drove alone","Minnesota","2,081,140","±6,517","77.80%","±0.2",2010
"Car, truck, or van -- carpooled","Minnesota","246,431","±3,695","9.20%","±0.1",2010
"Public transportation (excluding taxicab)","Minnesota","90,712","±2,140","3.40%","±0.1",2010
"Walked","Minnesota","80,738","±1,846","3.00%","±0.1",2010
"Other means","Minnesota","42,382","±1,374","1.60%","±0.1",2010
"Worked at home","Minnesota","134,769","±2,036","5.00%","±0.1",2010
"Mean travel time to work (minutes)","Minnesota","22.4","±0.1","(X)","(X)",2010
"Workers 16 years and over","Mississippi","1,197,141","±4,677","1,197,141","(X)",2010
"Car, truck, or van -- drove alone","Mississippi","989,725","±5,152","82.70%","±0.3",2010
"Car, truck, or van -- carpooled","Mississippi","136,729","±3,134","11.40%","±0.3",2010
"Public transportation (excluding taxicab)","Mississippi","4,913","±556","0.40%","±0.1",2010
"Walked","Mississippi","20,987","±1,371","1.80%","±0.1",2010
"Other means","Mississippi","16,501","±1,192","1.40%","±0.1",2010
"Worked at home","Mississippi","28,286","±1,682","2.40%","±0.1",2010
"Mean travel time to work (minutes)","Mississippi","23.9","±0.2","(X)","(X)",2010
"Workers 16 years and over","Missouri","2,752,405","±6,390","2,752,405","(X)",2010
"Car, truck, or van -- drove alone","Missouri","2,221,511","±7,172","80.70%","±0.2",2010
"Car, truck, or van -- carpooled","Missouri","283,821","±3,343","10.30%","±0.1",2010
"Public transportation (excluding taxicab)","Missouri","41,045","±1,550","1.50%","±0.1",2010
"Walked","Missouri","55,882","±1,760","2.00%","±0.1",2010
"Other means","Missouri","33,532","±1,087","1.20%","±0.1",2010
"Worked at home","Missouri","116,614","±2,318","4.20%","±0.1",2010
"Mean travel time to work (minutes)","Missouri","23.2","±0.1","(X)","(X)",2010
"Workers 16 years and over","Montana","468,315","±2,802","468,315","(X)",2010
"Car, truck, or van -- drove alone","Montana","346,423","±2,629","74.00%","±0.4",2010
"Car, truck, or van -- carpooled","Montana","49,956","±1,578","10.70%","±0.3",2010
"Public transportation (excluding taxicab)","Montana","4,722","±631","1.00%","±0.1",2010
"Walked","Montana","23,751","±1,013","5.10%","±0.2",2010
"Other means","Montana","11,475","±747","2.50%","±0.2",2010
"Worked at home","Montana","31,988","±1,226","6.80%","±0.2",2010
"Mean travel time to work (minutes)","Montana","17.7","±0.2","(X)","(X)",2010
"Workers 16 years and over","Nebraska","923,456","±3,310","923,456","(X)",2010
"Car, truck, or van -- drove alone","Nebraska","738,299","±3,334","79.90%","±0.2",2010
"Car, truck, or van -- carpooled","Nebraska","92,673","±2,198","10.00%","±0.2",2010
"Public transportation (excluding taxicab)","Nebraska","6,086","±549","0.70%","±0.1",2010
"Walked","Nebraska","29,462","±1,059","3.20%","±0.1",2010
"Other means","Nebraska","11,954","±824","1.30%","±0.1",2010
"Worked at home","Nebraska","44,982","±1,298","4.90%","±0.1",2010
"Mean travel time to work (minutes)","Nebraska","17.9","±0.1","(X)","(X)",2010
"Workers 16 years and over","Nevada","1,235,259","±5,418","1,235,259","(X)",2010
"Car, truck, or van -- drove alone","Nevada","959,891","±5,802","77.70%","±0.3",2010
"Car, truck, or van -- carpooled","Nevada","143,604","±3,657","11.60%","±0.3",2010
"Public transportation (excluding taxicab)","Nevada","41,976","±1,682","3.40%","±0.1",2010
"Walked","Nevada","26,126","±1,450","2.10%","±0.1",2010
"Other means","Nevada","24,058","±1,337","1.90%","±0.1",2010
"Worked at home","Nevada","39,604","±1,659","3.20%","±0.1",2010
"Mean travel time to work (minutes)","Nevada","23.6","±0.2","(X)","(X)",2010
"Workers 16 years and over","New Hampshire","677,579","±2,857","677,579","(X)",2010
"Car, truck, or van -- drove alone","New Hampshire","552,528","±3,148","81.50%","±0.3",2010
"Car, truck, or van -- carpooled","New Hampshire","55,684","±1,717","8.20%","±0.3",2010
"Public transportation (excluding taxicab)","New Hampshire","5,050","±478","0.70%","±0.1",2010
"Walked","New Hampshire","21,568","±1,109","3.20%","±0.2",2010
"Other means","New Hampshire","7,904","±560","1.20%","±0.1",2010
"Worked at home","New Hampshire","34,845","±1,413","5.10%","±0.2",2010
"Mean travel time to work (minutes)","New Hampshire","25.5","±0.2","(X)","(X)",2010
"Workers 16 years and over","New Jersey","4,122,554","±9,183","4,122,554","(X)",2010
"Car, truck, or van -- drove alone","New Jersey","2,953,040","±8,547","71.60%","±0.2",2010
"Car, truck, or van -- carpooled","New Jersey","370,898","±5,299","9.00%","±0.1",2010
"Public transportation (excluding taxicab)","New Jersey","438,293","±5,091","10.60%","±0.1",2010
"Walked","New Jersey","134,922","±3,093","3.30%","±0.1",2010
"Other means","New Jersey","82,498","±2,955","2.00%","±0.1",2010
"Worked at home","New Jersey","142,903","±2,886","3.50%","±0.1",2010
"Mean travel time to work (minutes)","New Jersey","29.8","±0.1","(X)","(X)",2010
"Workers 16 years and over","New Mexico","874,958","±4,419","874,958","(X)",2010
"Car, truck, or van -- drove alone","New Mexico","679,799","±4,664","77.70%","±0.4",2010
"Car, truck, or van -- carpooled","New Mexico","105,055","±2,451","12.00%","±0.3",2010
"Public transportation (excluding taxicab)","New Mexico","9,167","±872","1.00%","±0.1",2010
"Walked","New Mexico","20,671","±1,377","2.40%","±0.2",2010
"Other means","New Mexico","16,186","±931","1.80%","±0.1",2010
"Worked at home","New Mexico","44,080","±1,498","5.00%","±0.2",2010
"Mean travel time to work (minutes)","New Mexico","21.7","±0.2","(X)","(X)",2010
"Workers 16 years and over","New York","8,815,965","±11,739","8,815,965","(X)",2010
"Car, truck, or van -- drove alone","New York","4,770,901","±12,626","54.10%","±0.1",2010
"Car, truck, or van -- carpooled","New York","651,743","±6,453","7.40%","±0.1",2010
"Public transportation (excluding taxicab)","New York","2,338,345","±9,609","26.50%","±0.1",2010
"Walked","New York","557,313","±5,887","6.30%","±0.1",2010
"Other means","New York","158,716","±2,869","1.80%","±0.1",2010
"Worked at home","New York","338,947","±4,121","3.80%","±0.1",2010
"Mean travel time to work (minutes)","New York","31.3","±0.1","(X)","(X)",2010
"Workers 16 years and over","North Carolina","4,205,946","±8,952","4,205,946","(X)",2010
"Car, truck, or van -- drove alone","North Carolina","3,385,870","±8,912","80.50%","±0.2",2010
"Car, truck, or van -- carpooled","North Carolina","481,125","±6,376","11.40%","±0.1",2010
"Public transportation (excluding taxicab)","North Carolina","42,731","±1,689","1.00%","±0.1",2010
"Walked","North Carolina","75,342","±2,743","1.80%","±0.1",2010
"Other means","North Carolina","55,090","±1,719","1.30%","±0.1",2010
"Worked at home","North Carolina","165,788","±3,162","3.90%","±0.1",2010
"Mean travel time to work (minutes)","North Carolina","23.4","±0.1","(X)","(X)",2010
"Workers 16 years and over","North Dakota","350,016","±1,953","350,016","(X)",2010
"Car, truck, or van -- drove alone","North Dakota","275,630","±2,136","78.70%","±0.5",2010
"Car, truck, or van -- carpooled","North Dakota","33,604","±1,239","9.60%","±0.4",2010
"Public transportation (excluding taxicab)","North Dakota","2,003","±344","0.60%","±0.1",2010
"Walked","North Dakota","13,605","±611","3.90%","±0.2",2010
"Other means","North Dakota","5,331","±497","1.50%","±0.1",2010
"Worked at home","North Dakota","19,843","±645","5.70%","±0.2",2010
"Mean travel time to work (minutes)","North Dakota","16","±0.2","(X)","(X)",2010
"Workers 16 years and over","Ohio","5,246,423","±11,632","5,246,423","(X)",2010
"Car, truck, or van -- drove alone","Ohio","4,358,221","±12,288","83.10%","±0.1",2010
"Car, truck, or van -- carpooled","Ohio","437,308","±4,824","8.30%","±0.1",2010
"Public transportation (excluding taxicab)","Ohio","96,351","±2,550","1.80%","±0.1",2010
"Walked","Ohio","121,486","±3,042","2.30%","±0.1",2010
"Other means","Ohio","54,256","±1,807","1.00%","±0.1",2010
"Worked at home","Ohio","178,801","±2,408","3.40%","±0.1",2010
"Mean travel time to work (minutes)","Ohio","22.7","±0.1","(X)","(X)",2010
"Workers 16 years and over","Oklahoma","1,655,524","±5,029","1,655,524","(X)",2010
"Car, truck, or van -- drove alone","Oklahoma","1,337,989","±4,673","80.80%","±0.2",2010
"Car, truck, or van -- carpooled","Oklahoma","191,615","±3,363","11.60%","±0.2",2010
"Public transportation (excluding taxicab)","Oklahoma","7,672","±748","0.50%","±0.1",2010
"Walked","Oklahoma","31,516","±1,465","1.90%","±0.1",2010
"Other means","Oklahoma","24,671","±1,063","1.50%","±0.1",2010
"Worked at home","Oklahoma","62,061","±1,853","3.70%","±0.1",2010
"Mean travel time to work (minutes)","Oklahoma","20.7","±0.1","(X)","(X)",2010
"Workers 16 years and over","Oregon","1,720,292","±5,842","1,720,292","(X)",2010
"Car, truck, or van -- drove alone","Oregon","1,237,884","±6,604","72.00%","±0.3",2010
"Car, truck, or van -- carpooled","Oregon","185,036","±3,270","10.80%","±0.2",2010
"Public transportation (excluding taxicab)","Oregon","72,614","±2,071","4.20%","±0.1",2010
"Walked","Oregon","67,366","±1,878","3.90%","±0.1",2010
"Other means","Oregon","52,588","±1,852","3.10%","±0.1",2010
"Worked at home","Oregon","104,804","±2,554","6.10%","±0.1",2010
"Mean travel time to work (minutes)","Oregon","22.1","±0.1","(X)","(X)",2010
"Workers 16 years and over","Pennsylvania","5,799,572","±9,898","5,799,572","(X)",2010
"Car, truck, or van -- drove alone","Pennsylvania","4,433,186","±10,613","76.40%","±0.1",2010
"Car, truck, or van -- carpooled","Pennsylvania","546,102","±5,902","9.40%","±0.1",2010
"Public transportation (excluding taxicab)","Pennsylvania","312,308","±4,530","5.40%","±0.1",2010
"Walked","Pennsylvania","231,576","±3,959","4.00%","±0.1",2010
"Other means","Pennsylvania","72,825","±1,949","1.30%","±0.1",2010
"Worked at home","Pennsylvania","203,575","±3,172","3.50%","±0.1",2010
"Mean travel time to work (minutes)","Pennsylvania","25.5","±0.1","(X)","(X)",2010
"Workers 16 years and over","Rhode Island","502,098","±2,810","502,098","(X)",2010
"Car, truck, or van -- drove alone","Rhode Island","403,760","±2,968","80.40%","±0.4",2010
"Car, truck, or van -- carpooled","Rhode Island","43,521","±1,830","8.70%","±0.4",2010
"Public transportation (excluding taxicab)","Rhode Island","13,602","±1,078","2.70%","±0.2",2010
"Walked","Rhode Island","17,352","±1,179","3.50%","±0.2",2010
"Other means","Rhode Island","7,250","±724","1.40%","±0.1",2010
"Worked at home","Rhode Island","16,613","±992","3.30%","±0.2",2010
"Mean travel time to work (minutes)","Rhode Island","22.9","±0.2","(X)","(X)",2010
"Workers 16 years and over","South Carolina","1,989,319","±6,697","1,989,319","(X)",2010
"Car, truck, or van -- drove alone","South Carolina","1,622,649","±7,213","81.60%","±0.2",2010
"Car, truck, or van -- carpooled","South Carolina","210,330","±4,143","10.60%","±0.2",2010
"Public transportation (excluding taxicab)","South Carolina","12,642","±885","0.60%","±0.1",2010
"Walked","South Carolina","37,033","±1,780","1.90%","±0.1",2010
"Other means","South Carolina","31,619","±1,348","1.60%","±0.1",2010
"Worked at home","South Carolina","75,046","±2,285","3.80%","±0.1",2010
"Mean travel time to work (minutes)","South Carolina","23.2","±0.1","(X)","(X)",2010
"Workers 16 years and over","South Dakota","405,497","±2,099","405,497","(X)",2010
"Car, truck, or van -- drove alone","South Dakota","314,393","±2,384","77.50%","±0.5",2010
"Car, truck, or van -- carpooled","South Dakota","40,242","±1,348","9.90%","±0.3",2010
"Public transportation (excluding taxicab)","South Dakota","1,954","±383","0.50%","±0.1",2010
"Walked","South Dakota","17,977","±973","4.40%","±0.2",2010
"Other means","South Dakota","6,571","±654","1.60%","±0.2",2010
"Worked at home","South Dakota","24,360","±1,000","6.00%","±0.2",2010
"Mean travel time to work (minutes)","South Dakota","16.5","±0.2","(X)","(X)",2010
"Workers 16 years and over","Tennessee","2,753,584","±8,713","2,753,584","(X)",2010
"Car, truck, or van -- drove alone","Tennessee","2,290,536","±8,885","83.20%","±0.2",2010
"Car, truck, or van -- carpooled","Tennessee","280,686","±4,548","10.20%","±0.2",2010
"Public transportation (excluding taxicab)","Tennessee","21,318","±1,079","0.80%","±0.1",2010
"Walked","Tennessee","38,626","±1,797","1.40%","±0.1",2010
"Other means","Tennessee","30,121","±1,344","1.10%","±0.1",2010
"Worked at home","Tennessee","92,297","±1,775","3.40%","±0.1",2010
"Mean travel time to work (minutes)","Tennessee","23.9","±0.1","(X)","(X)",2010
"Workers 16 years and over","Texas","10,961,232","±13,736","10,961,232","(X)",2010
"Car, truck, or van -- drove alone","Texas","8,667,704","±14,402","79.10%","±0.1",2010
"Car, truck, or van -- carpooled","Texas","1,305,936","±10,775","11.90%","±0.1",2010
"Public transportation (excluding taxicab)","Texas","179,792","±2,668","1.60%","±0.1",2010
"Walked","Texas","192,476","±4,210","1.80%","±0.1",2010
"Other means","Texas","202,628","±4,161","1.80%","±0.1",2010
"Worked at home","Texas","412,696","±4,372","3.80%","±0.1",2010
"Mean travel time to work (minutes)","Texas","24.8","±0.1","(X)","(X)",2010
"Workers 16 years and over","Utah","1,217,129","±3,882","1,217,129","(X)",2010
"Car, truck, or van -- drove alone","Utah","921,250","±4,576","75.70%","±0.3",2010
"Car, truck, or van -- carpooled","Utah","150,715","±3,077","12.40%","±0.3",2010
"Public transportation (excluding taxicab)","Utah","29,218","±1,198","2.40%","±0.1",2010
"Walked","Utah","34,590","±1,522","2.80%","±0.1",2010
"Other means","Utah","22,632","±1,091","1.90%","±0.1",2010
"Worked at home","Utah","58,724","±1,327","4.80%","±0.1",2010
"Mean travel time to work (minutes)","Utah","21.2","±0.1","(X)","(X)",2010
