Year,Data_Value,Income,StratificationCategoryId1,StratificationID1,Mean household income (dollars),Median household income (dollars),LocationDesc
2014,33.6,,AGEYR,AGEYR3544,"88,583","71,829",Alaska
2014,30.2,,GEN,FEMALE,"88,583","71,829",Alaska
2014,14.0,,AGEYR,AGEYR1824,"88,583","71,829",Alaska
2014,18.8,Data not reported,INC,INCNR,"88,583","71,829",Alaska
2014,29.6,"$15,000 - $24,999",INC,INC1525,"88,583","71,829",Alaska
2014,29.6,,RACE,RACEHIS,"88,583","71,829",Alaska
2014,17.8,,RACE,RACEASN,"88,583","71,829",Alaska
2014,36.0,"$35,000 - $49,999",INC,INC3550,"88,583","71,829",Alaska
2014,28.6,,RACE,RACEWHT,"88,583","71,829",Alaska
2014,34.5,,AGEYR,AGEYR5564,"88,583","71,829",Alaska
2015,30.5,,GEN,FEMALE,"89,746","72,515",Alaska
2015,39.1,,RACE,RACENAA,"89,746","72,515",Alaska
2015,30.8,"$75,000 or greater",INC,INC75PLUS,"89,746","72,515",Alaska
2015,21.9,Data not reported,INC,INCNR,"89,746","72,515",Alaska
2015,33.0,,EDU,EDUCOTEC,"89,746","72,515",Alaska
2015,31.0,"$15,000 - $24,999",INC,INC1525,"89,746","72,515",Alaska
2015,26.7,,EDU,EDUCOGRAD,"89,746","72,515",Alaska
2015,30.2,,EDU,EDUHS,"89,746","72,515",Alaska
2015,39.3,,RACE,RACEBLK,"89,746","72,515",Alaska
2015,30.8,,AGEYR,AGEYR4554,"89,746","72,515",Alaska
2015,26.0,"$25,000 - $34,999",INC,INC2535,"89,746","72,515",Alaska
2015,29.0,"$50,000 - $74,999",INC,INC5075,"89,746","72,515",Alaska
2015,31.7,"$35,000 - $49,999",INC,INC3550,"89,746","72,515",Alaska
2015,24.1,,RACE,RACEHIS,"89,746","72,515",Alaska
2015,18.5,,RACE,RACEASN,"89,746","72,515",Alaska
2015,29.1,,RACE,RACE2PLUS,"89,746","72,515",Alaska
2015,33.1,,AGEYR,AGEYR3544,"89,746","72,515",Alaska
2015,29.8,,OVR,OVERALL,"89,746","72,515",Alaska
2015,28.4,,EDU,EDUHSGRAD,"89,746","72,515",Alaska
2015,19.2,,AGEYR,AGEYR1824,"89,746","72,515",Alaska
2015,28.1,,RACE,RACEWHT,"89,746","72,515",Alaska
2015,29.8,,AGEYR,AGEYR2534,"89,746","72,515",Alaska
2015,30.6,,AGEYR,AGEYR5564,"89,746","72,515",Alaska
2015,34.7,,AGEYR,AGEYR65PLUS,"89,746","72,515",Alaska
2015,40.1,"Less than $15,000",INC,INCLESS15,"89,746","72,515",Alaska
2015,29.3,,GEN,MALE,"89,746","72,515",Alaska
2016,39.9,,EDU,EDUCOTEC,"92,191","74,444",Alaska
2016,27.9,,EDU,EDUHSGRAD,"92,191","74,444",Alaska
2016,31.2,"$50,000 - $74,999",INC,INC5075,"92,191","74,444",Alaska
2016,40.3,,AGEYR,AGEYR3544,"92,191","74,444",Alaska
2016,30.3,,GEN,FEMALE,"92,191","74,444",Alaska
2016,29.2,,RACE,RACE2PLUS,"92,191","74,444",Alaska
2016,35.3,,AGEYR,AGEYR65PLUS,"92,191","74,444",Alaska
2016,31.4,,OVR,OVERALL,"92,191","74,444",Alaska
2016,30.1,"$35,000 - $49,999",INC,INC3550,"92,191","74,444",Alaska
2016,21.7,,EDU,EDUCOGRAD,"92,191","74,444",Alaska
2016,32.8,,EDU,EDUHS,"92,191","74,444",Alaska
2016,29.9,,RACE,RACEHIS,"92,191","74,444",Alaska
2016,30.3,"$75,000 or greater",INC,INC75PLUS,"92,191","74,444",Alaska
2016,36.3,"$15,000 - $24,999",INC,INC1525,"92,191","74,444",Alaska
2016,35.0,,AGEYR,AGEYR4554,"92,191","74,444",Alaska
2016,30.0,,AGEYR,AGEYR5564,"92,191","74,444",Alaska
2016,41.5,"$25,000 - $34,999",INC,INC2535,"92,191","74,444",Alaska
2016,27.0,Data not reported,INC,INCNR,"92,191","74,444",Alaska
2016,43.1,,RACE,RACENAA,"92,191","74,444",Alaska
2016,27.6,"Less than $15,000",INC,INCLESS15,"92,191","74,444",Alaska
2016,15.1,,AGEYR,AGEYR1824,"92,191","74,444",Alaska
2016,31.2,,AGEYR,AGEYR2534,"92,191","74,444",Alaska
2016,32.3,,GEN,MALE,"92,191","74,444",Alaska
2016,29.3,,RACE,RACEWHT,"92,191","74,444",Alaska
2017,34.8,,AGEYR,AGEYR65PLUS,"94,469","76,114",Alaska
2017,30.7,,EDU,EDUCOGRAD,"94,469","76,114",Alaska
2017,31.8,"$75,000 or greater",INC,INC75PLUS,"94,469","76,114",Alaska
2017,30.0,,EDU,EDUHSGRAD,"94,469","76,114",Alaska
2017,28.6,,RACE,RACE2PLUS,"94,469","76,114",Alaska
2017,37.7,,AGEYR,AGEYR4554,"94,469","76,114",Alaska
2017,31.8,"$15,000 - $24,999",INC,INC1525,"94,469","76,114",Alaska
2017,38.9,,EDU,EDUCOTEC,"94,469","76,114",Alaska
2017,36.1,,GEN,FEMALE,"94,469","76,114",Alaska
2017,23.0,,AGEYR,AGEYR1824,"94,469","76,114",Alaska
2017,35.9,"$50,000 - $74,999",INC,INC5075,"94,469","76,114",Alaska
2017,37.3,,EDU,EDUHS,"94,469","76,114",Alaska
2017,34.5,"$25,000 - $34,999",INC,INC2535,"94,469","76,114",Alaska
2017,32.3,,RACE,RACEHIS,"94,469","76,114",Alaska
2017,32.6,,GEN,MALE,"94,469","76,114",Alaska
2017,44.0,,RACE,RACENAA,"94,469","76,114",Alaska
2017,32.6,,RACE,RACEWHT,"94,469","76,114",Alaska
2017,31.4,,AGEYR,AGEYR2534,"94,469","76,114",Alaska
2017,41.4,"$35,000 - $49,999",INC,INC3550,"94,469","76,114",Alaska
2017,41.5,,AGEYR,AGEYR3544,"94,469","76,114",Alaska
2017,34.2,,OVR,OVERALL,"94,469","76,114",Alaska
2017,31.6,Data not reported,INC,INCNR,"94,469","76,114",Alaska
2017,36.2,,AGEYR,AGEYR5564,"94,469","76,114",Alaska
2017,37.8,"Less than $15,000",INC,INCLESS15,"94,469","76,114",Alaska
2018,32.7,,RACE,RACE2PLUS,"96,499","76,715",Alaska
2018,25.2,"$15,000 - $24,999",INC,INC1525,"96,499","76,715",Alaska
2018,28.1,,RACE,RACEASN,"96,499","76,715",Alaska
2018,30.7,,EDU,EDUHS,"96,499","76,715",Alaska
2018,24.0,,EDU,EDUCOGRAD,"96,499","76,715",Alaska
2018,29.2,,RACE,RACEWHT,"96,499","76,715",Alaska
2018,29.9,,GEN,MALE,"96,499","76,715",Alaska
2018,26.9,,RACE,RACEHIS,"96,499","76,715",Alaska
2018,29.5,,OVR,OVERALL,"96,499","76,715",Alaska
2018,25.1,"$50,000 - $74,999",INC,INC5075,"96,499","76,715",Alaska
2018,30.7,,EDU,EDUHSGRAD,"96,499","76,715",Alaska
2018,29.8,,AGEYR,AGEYR3544,"96,499","76,715",Alaska
2018,28.5,,GEN,FEMALE,"96,499","76,715",Alaska
2018,29.3,,AGEYR,AGEYR2534,"96,499","76,715",Alaska
2018,33.4,,AGEYR,AGEYR5564,"96,499","76,715",Alaska
2018,29.3,Data not reported,INC,INCNR,"96,499","76,715",Alaska
2018,21.2,,AGEYR,AGEYR1824,"96,499","76,715",Alaska
2018,29.1,,RACE,RACENAA,"96,499","76,715",Alaska
2018,35.4,"$25,000 - $34,999",INC,INC2535,"96,499","76,715",Alaska
2018,31.2,"$75,000 or greater",INC,INC75PLUS,"96,499","76,715",Alaska
2018,34.2,,AGEYR,AGEYR4554,"96,499","76,715",Alaska
2018,27.2,,AGEYR,AGEYR65PLUS,"96,499","76,715",Alaska
2018,34.7,"Less than $15,000",INC,INCLESS15,"96,499","76,715",Alaska
2018,26.7,"$35,000 - $49,999",INC,INC3550,"96,499","76,715",Alaska
2018,31.8,,EDU,EDUCOTEC,"96,499","76,715",Alaska
2019,42.3,,AGEYR,AGEYR4554,"98,606","77,640",Alaska
2019,32.4,,EDU,EDUHS,"98,606","77,640",Alaska
2019,28.6,,RACE,RACEWHT,"98,606","77,640",Alaska
2019,15.4,,AGEYR,AGEYR1824,"98,606","77,640",Alaska
2019,30.2,,AGEYR,AGEYR65PLUS,"98,606","77,640",Alaska
2019,41.6,"$35,000 - $49,999",INC,INC3550,"98,606","77,640",Alaska
2019,35.9,,AGEYR,AGEYR3544,"98,606","77,640",Alaska
2019,31.2,,RACE,RACE2PLUS,"98,606","77,640",Alaska
2019,27.3,,EDU,EDUHSGRAD,"98,606","77,640",Alaska
2019,26.8,,AGEYR,AGEYR2534,"98,606","77,640",Alaska
2019,30.8,"$50,000 - $74,999",INC,INC5075,"98,606","77,640",Alaska
2019,30.5,,OVR,OVERALL,"98,606","77,640",Alaska
2019,37.3,,RACE,RACENAA,"98,606","77,640",Alaska
2019,38.6,,EDU,EDUCOTEC,"98,606","77,640",Alaska
2019,29.3,"$15,000 - $24,999",INC,INC1525,"98,606","77,640",Alaska
2019,30.5,,GEN,MALE,"98,606","77,640",Alaska
2019,40.6,,RACE,RACEHIS,"98,606","77,640",Alaska
2019,29.3,"$75,000 or greater",INC,INC75PLUS,"98,606","77,640",Alaska
2019,36.1,"$25,000 - $34,999",INC,INC2535,"98,606","77,640",Alaska
2019,30.8,,AGEYR,AGEYR5564,"98,606","77,640",Alaska
2019,26.0,Data not reported,INC,INCNR,"98,606","77,640",Alaska
2019,24.3,"Less than $15,000",INC,INCLESS15,"98,606","77,640",Alaska
2019,22.6,,EDU,EDUCOGRAD,"98,606","77,640",Alaska
2019,30.6,,GEN,FEMALE,"98,606","77,640",Alaska
2020,34.4,"Less than $15,000",INC,INCLESS15,"98,811","77,790",Alaska
2020,24.1,,EDU,EDUCOGRAD,"98,811","77,790",Alaska
2020,29.1,,RACE,RACEWHT,"98,811","77,790",Alaska
2020,29.6,,EDU,EDUHS,"98,811","77,790",Alaska
2020,35.3,"$35,000 - $49,999",INC,INC3550,"98,811","77,790",Alaska
2020,38.2,,AGEYR,AGEYR4554,"98,811","77,790",Alaska
2020,32.7,,AGEYR,AGEYR65PLUS,"98,811","77,790",Alaska
2020,34.9,,EDU,EDUHSGRAD,"98,811","77,790",Alaska
2020,32.4,,AGEYR,AGEYR3544,"98,811","77,790",Alaska
2020,31.9,,OVR,OVERALL,"98,811","77,790",Alaska
2020,33.4,,RACE,RACEHIS,"98,811","77,790",Alaska
2020,29.7,,RACE,RACE2PLUS,"98,811","77,790",Alaska
2020,30.4,"$50,000 - $74,999",INC,INC5075,"98,811","77,790",Alaska
2020,29.6,,RACE,RACEASN,"98,811","77,790",Alaska
2020,35.6,,EDU,EDUCOTEC,"98,811","77,790",Alaska
2020,29.6,"$75,000 or greater",INC,INC75PLUS,"98,811","77,790",Alaska
2020,36.0,,RACE,RACENAA,"98,811","77,790",Alaska
2020,31.4,,AGEYR,AGEYR2534,"98,811","77,790",Alaska
2020,33.8,,GEN,MALE,"98,811","77,790",Alaska
2020,34.7,"$15,000 - $24,999",INC,INC1525,"98,811","77,790",Alaska
2020,21.0,,AGEYR,AGEYR1824,"98,811","77,790",Alaska
2020,28.8,Data not reported,INC,INCNR,"98,811","77,790",Alaska
2020,29.6,,GEN,FEMALE,"98,811","77,790",Alaska
2020,33.7,,AGEYR,AGEYR5564,"98,811","77,790",Alaska
2020,46.4,"$25,000 - $34,999",INC,INC2535,"98,811","77,790",Alaska
2021,32.2,,AGEYR,AGEYR2534,"103,258","80,287",Alaska
2021,33.5,,OVR,OVERALL,"103,258","80,287",Alaska
2021,33.9,"$15,000 - $24,999",INC,INC1525,"103,258","80,287",Alaska
2021,32.3,,GEN,MALE,"103,258","80,287",Alaska
2021,28.8,"Less than $15,000",INC,INCLESS15,"103,258","80,287",Alaska
2021,32.3,"$75,000 or greater",INC,INC75PLUS,"103,258","80,287",Alaska
2021,20.7,,RACE,RACEASN,"103,258","80,287",Alaska
2021,44.4,,RACE,RACE2PLUS,"103,258","80,287",Alaska
2021,32.7,Data not reported,INC,INCNR,"103,258","80,287",Alaska
2021,33.0,"$25,000 - $34,999",INC,INC2535,"103,258","80,287",Alaska
2021,34.4,,AGEYR,AGEYR5564,"103,258","80,287",Alaska
2021,26.1,,AGEYR,AGEYR1824,"103,258","80,287",Alaska
2021,31.2,,RACE,RACEOTH,"103,258","80,287",Alaska
2021,31.8,,AGEYR,AGEYR65PLUS,"103,258","80,287",Alaska
2021,34.9,,GEN,FEMALE,"103,258","80,287",Alaska
2021,37.1,,EDU,EDUCOTEC,"103,258","80,287",Alaska
2021,39.1,,RACE,RACEHIS,"103,258","80,287",Alaska
2021,31.4,,RACE,RACEWHT,"103,258","80,287",Alaska
2021,39.1,,RACE,RACENAA,"103,258","80,287",Alaska
2021,42.9,,AGEYR,AGEYR4554,"103,258","80,287",Alaska
2021,36.7,"$35,000 - $49,999",INC,INC3550,"103,258","80,287",Alaska
2021,37.0,,RACE,RACEBLK,"103,258","80,287",Alaska
2021,26.4,,EDU,EDUHS,"103,258","80,287",Alaska
2021,28.5,,EDU,EDUCOGRAD,"103,258","80,287",Alaska
2021,35.5,,EDU,EDUHSGRAD,"103,258","80,287",Alaska
2021,33.3,,AGEYR,AGEYR3544,"103,258","80,287",Alaska
2021,36.2,"$50,000 - $74,999",INC,INC5075,"103,258","80,287",Alaska
2022,33.4,,RACE,RACEBLK,"110,602","86,370",Alaska
2022,24.1,,EDU,EDUCOGRAD,"110,602","86,370",Alaska
2022,34.0,"$75,000 or greater",INC,INC75PLUS,"110,602","86,370",Alaska
2022,33.3,,GEN,FEMALE,"110,602","86,370",Alaska
2022,33.4,,EDU,EDUHS,"110,602","86,370",Alaska
2022,33.1,,AGEYR,AGEYR5564,"110,602","86,370",Alaska
2022,27.1,,RACE,RACEHIS,"110,602","86,370",Alaska
2022,36.6,,RACE,RACE2PLUS,"110,602","86,370",Alaska
2022,45.0,"$15,000 - $24,999",INC,INC1525,"110,602","86,370",Alaska
2022,31.2,,GEN,MALE,"110,602","86,370",Alaska
2022,24.5,,AGEYR,AGEYR1824,"110,602","86,370",Alaska
2022,36.0,,AGEYR,AGEYR3544,"110,602","86,370",Alaska
2022,28.9,Data not reported,INC,INCNR,"110,602","86,370",Alaska
2022,28.0,,AGEYR,AGEYR65PLUS,"110,602","86,370",Alaska
2022,36.0,,EDU,EDUCOTEC,"110,602","86,370",Alaska
2022,34.6,,EDU,EDUHSGRAD,"110,602","86,370",Alaska
2022,24.2,,RACE,RACEASN,"110,602","86,370",Alaska
2022,29.5,,AGEYR,AGEYR2534,"110,602","86,370",Alaska
2022,36.2,,RACE,RACENAA,"110,602","86,370",Alaska
2022,32.1,,OVR,OVERALL,"110,602","86,370",Alaska
2022,33.3,"$25,000 - $34,999",INC,INC2535,"110,602","86,370",Alaska
2022,37.9,"Less than $15,000",INC,INCLESS15,"110,602","86,370",Alaska
2022,34.8,"$50,000 - $74,999",INC,INC5075,"110,602","86,370",Alaska
2022,28.5,"$35,000 - $49,999",INC,INC3550,"110,602","86,370",Alaska
2022,31.3,,RACE,RACEWHT,"110,602","86,370",Alaska
2022,41.8,,AGEYR,AGEYR4554,"110,602","86,370",Alaska
2011,29.3,,AGEYR,AGEYR4554,"76,504","58,890",Washington
2011,29.1,"$50,000 - $74,999",INC,INC5075,"76,504","58,890",Washington
2011,25.6,,AGEYR,AGEYR65PLUS,"76,504","58,890",Washington
2011,28.7,"Less than $15,000",INC,INCLESS15,"76,504","58,890",Washington
2011,22.4,"$75,000 or greater",INC,INC75PLUS,"76,504","58,890",Washington
2011,22.1,Data not reported,INC,INCNR,"76,504","58,890",Washington
2011,39.4,,RACE,RACEBLK,"76,504","58,890",Washington
2011,42.1,,RACE,RACENAA,"76,504","58,890",Washington
2011,8.1,,RACE,RACEASN,"76,504","58,890",Washington
2011,30.2,,EDU,EDUCOTEC,"76,504","58,890",Washington
2011,18.8,,EDU,EDUCOGRAD,"76,504","58,890",Washington
2011,28.6,"$15,000 - $24,999",INC,INC1525,"76,504","58,890",Washington
2011,27.0,,RACE,RACEWHT,"76,504","58,890",Washington
2011,29.3,,EDU,EDUHSGRAD,"76,504","58,890",Washington
2011,26.5,,OVR,OVERALL,"76,504","58,890",Washington
2011,28.9,"$25,000 - $34,999",INC,INC2535,"76,504","58,890",Washington
2011,28.4,,RACE,RACE2PLUS,"76,504","58,890",Washington
2011,27.9,,RACE,RACEHIS,"76,504","58,890",Washington
2011,30.0,"$35,000 - $49,999",INC,INC3550,"76,504","58,890",Washington
2011,28.2,,EDU,EDUHS,"76,504","58,890",Washington
2011,31.4,,AGEYR,AGEYR5564,"76,504","58,890",Washington
2011,27.9,,GEN,MALE,"76,504","58,890",Washington
2011,24.9,,GEN,FEMALE,"76,504","58,890",Washington
2011,23.1,,AGEYR,AGEYR2534,"76,504","58,890",Washington
2011,12.4,,AGEYR,AGEYR1824,"76,504","58,890",Washington
2011,32.9,,AGEYR,AGEYR3544,"76,504","58,890",Washington
2011,30.8,,RACE,RACEOTH,"76,504","58,890",Washington
2012,34.2,"Less than $15,000",INC,INCLESS15,"77,232","59,374",Washington
2012,26.3,,GEN,FEMALE,"77,232","59,374",Washington
2012,27.3,,GEN,MALE,"77,232","59,374",Washington
2012,29.9,,EDU,EDUHSGRAD,"77,232","59,374",Washington
2012,32.5,,RACE,RACE2PLUS,"77,232","59,374",Washington
2012,26.8,,OVR,OVERALL,"77,232","59,374",Washington
2012,31.0,,AGEYR,AGEYR4554,"77,232","59,374",Washington
2012,33.5,,RACE,RACEBLK,"77,232","59,374",Washington
2012,28.9,"$35,000 - $49,999",INC,INC3550,"77,232","59,374",Washington
2012,14.3,,AGEYR,AGEYR1824,"77,232","59,374",Washington
2012,23.2,"$75,000 or greater",INC,INC75PLUS,"77,232","59,374",Washington
2012,29.7,"$50,000 - $74,999",INC,INC5075,"77,232","59,374",Washington
2012,25.0,"$25,000 - $34,999",INC,INC2535,"77,232","59,374",Washington
2012,31.4,,RACE,RACEHIS,"77,232","59,374",Washington
2012,28.6,,EDU,EDUCOTEC,"77,232","59,374",Washington
2012,20.2,,EDU,EDUCOGRAD,"77,232","59,374",Washington
2012,34.8,,RACE,RACENAA,"77,232","59,374",Washington
2012,25.3,,AGEYR,AGEYR2534,"77,232","59,374",Washington
2012,9.1,,RACE,RACEASN,"77,232","59,374",Washington
2012,25.6,,AGEYR,AGEYR65PLUS,"77,232","59,374",Washington
2012,22.5,Data not reported,INC,INCNR,"77,232","59,374",Washington
2012,27.5,,RACE,RACEWHT,"77,232","59,374",Washington
2012,31.6,,AGEYR,AGEYR5564,"77,232","59,374",Washington
2012,30.1,"$15,000 - $24,999",INC,INC1525,"77,232","59,374",Washington
2012,30.2,,AGEYR,AGEYR3544,"77,232","59,374",Washington
2012,31.6,,RACE,RACEOTH,"77,232","59,374",Washington
2012,23.8,,RACE,RACEHPI,"77,232","59,374",Washington
2012,32.5,,EDU,EDUHS,"77,232","59,374",Washington
2013,31.3,,EDU,EDUHSGRAD,"77,827","59,478",Washington
2013,32.4,,AGEYR,AGEYR5564,"77,827","59,478",Washington
2013,12.7,,AGEYR,AGEYR1824,"77,827","59,478",Washington
2013,25.8,"$25,000 - $34,999",INC,INC2535,"77,827","59,478",Washington
2013,27.0,,AGEYR,AGEYR65PLUS,"77,827","59,478",Washington
2013,24.6,,AGEYR,AGEYR2534,"77,827","59,478",Washington
2013,27.7,,GEN,FEMALE,"77,827","59,478",Washington
2013,36.3,,RACE,RACENAA,"77,827","59,478",Washington
2013,33.3,"Less than $15,000",INC,INCLESS15,"77,827","59,478",Washington
2013,26.9,Data not reported,INC,INCNR,"77,827","59,478",Washington
2013,7.6,,RACE,RACEASN,"77,827","59,478",Washington
2013,30.5,,EDU,EDUHS,"77,827","59,478",Washington
2013,33.3,,AGEYR,AGEYR4554,"77,827","59,478",Washington
2013,28.9,,AGEYR,AGEYR3544,"77,827","59,478",Washington
2013,26.6,,GEN,MALE,"77,827","59,478",Washington
2013,32.5,"$15,000 - $24,999",INC,INC1525,"77,827","59,478",Washington
2013,24.5,"$75,000 or greater",INC,INC75PLUS,"77,827","59,478",Washington
2013,39.8,,RACE,RACEBLK,"77,827","59,478",Washington
2013,31.4,,RACE,RACEOTH,"77,827","59,478",Washington
2013,27.9,,RACE,RACEWHT,"77,827","59,478",Washington
2013,29.6,,RACE,RACEHIS,"77,827","59,478",Washington
2013,26.2,"$35,000 - $49,999",INC,INC3550,"77,827","59,478",Washington
2013,32.9,,RACE,RACE2PLUS,"77,827","59,478",Washington
2013,25.9,"$50,000 - $74,999",INC,INC5075,"77,827","59,478",Washington
2013,27.2,,OVR,OVERALL,"77,827","59,478",Washington
2013,29.1,,EDU,EDUCOTEC,"77,827","59,478",Washington
2013,20.1,,EDU,EDUCOGRAD,"77,827","59,478",Washington
2014,23.7,,RACE,RACEOTH,"79,195","60,294",Washington
2014,31.9,"Less than $15,000",INC,INCLESS15,"79,195","60,294",Washington
