Date,Year,Month,Unit,Animal,Count,Commercial_Or_Federally_Inspected,Type_Of_Meat
Jan-2020,2020,1,"1,000 Head",Cattle,2900.7,Commercial,Red Meat
Dec-2019,2019,12,"1,000 Head",Cattle,2751.1,Commercial,Red Meat
Nov-2019,2019,11,"1,000 Head",Cattle,2774.2,Commercial,Red Meat
Oct-2019,2019,10,"1,000 Head",Cattle,2977.6,Commercial,Red Meat
Sep-2019,2019,9,"1,000 Head",Cattle,2676.0,Commercial,Red Meat
Aug-2019,2019,8,"1,000 Head",Cattle,2926.0,Commercial,Red Meat
Jul-2019,2019,7,"1,000 Head",Cattle,2939.6,Commercial,Red Meat
Jun-2019,2019,6,"1,000 Head",Cattle,2808.0,Commercial,Red Meat
May-2019,2019,5,"1,000 Head",Cattle,2938.9,Commercial,Red Meat
Apr-2019,2019,4,"1,000 Head",Cattle,2829.4,Commercial,Red Meat
Mar-2019,2019,3,"1,000 Head",Cattle,2648.7,Commercial,Red Meat
Feb-2019,2019,2,"1,000 Head",Cattle,2454.4,Commercial,Red Meat
Jan-2019,2019,1,"1,000 Head",Cattle,2831.4,Commercial,Red Meat
Dec-2018,2018,12,"1,000 Head",Cattle,2580.2,Commercial,Red Meat
Nov-2018,2018,11,"1,000 Head",Cattle,2800.8,Commercial,Red Meat
Oct-2018,2018,10,"1,000 Head",Cattle,2959.5,Commercial,Red Meat
Sep-2018,2018,9,"1,000 Head",Cattle,2617.3,Commercial,Red Meat
Aug-2018,2018,8,"1,000 Head",Cattle,2977.8,Commercial,Red Meat
Jul-2018,2018,7,"1,000 Head",Cattle,2765.8,Commercial,Red Meat
Jun-2018,2018,6,"1,000 Head",Cattle,2878.8,Commercial,Red Meat
May-2018,2018,5,"1,000 Head",Cattle,2907.4,Commercial,Red Meat
Apr-2018,2018,4,"1,000 Head",Cattle,2639.5,Commercial,Red Meat
Mar-2018,2018,3,"1,000 Head",Cattle,2701.6,Commercial,Red Meat
Feb-2018,2018,2,"1,000 Head",Cattle,2417.9,Commercial,Red Meat
Jan-2018,2018,1,"1,000 Head",Cattle,2758.1,Commercial,Red Meat
Dec-2017,2017,12,"1,000 Head",Cattle,2580.4,Commercial,Red Meat
Nov-2017,2017,11,"1,000 Head",Cattle,2762.8,Commercial,Red Meat
Oct-2017,2017,10,"1,000 Head",Cattle,2801.3,Commercial,Red Meat
Sep-2017,2017,9,"1,000 Head",Cattle,2698.9,Commercial,Red Meat
Aug-2017,2017,8,"1,000 Head",Cattle,2943.5,Commercial,Red Meat
Jul-2017,2017,7,"1,000 Head",Cattle,2612.0,Commercial,Red Meat
Jun-2017,2017,6,"1,000 Head",Cattle,2859.0,Commercial,Red Meat
May-2017,2017,5,"1,000 Head",Cattle,2753.8,Commercial,Red Meat
Apr-2017,2017,4,"1,000 Head",Cattle,2463.3,Commercial,Red Meat
Mar-2017,2017,3,"1,000 Head",Cattle,2768.3,Commercial,Red Meat
Feb-2017,2017,2,"1,000 Head",Cattle,2369.2,Commercial,Red Meat
Jan-2017,2017,1,"1,000 Head",Cattle,2576.9,Commercial,Red Meat
Dec-2016,2016,12,"1,000 Head",Cattle,2612.0,Commercial,Red Meat
Nov-2016,2016,11,"1,000 Head",Cattle,2669.0,Commercial,Red Meat
Oct-2016,2016,10,"1,000 Head",Cattle,2637.7,Commercial,Red Meat
Sep-2016,2016,9,"1,000 Head",Cattle,2619.3,Commercial,Red Meat
Aug-2016,2016,8,"1,000 Head",Cattle,2750.6,Commercial,Red Meat
Jul-2016,2016,7,"1,000 Head",Cattle,2474.9,Commercial,Red Meat
Jun-2016,2016,6,"1,000 Head",Cattle,2706.0,Commercial,Red Meat
May-2016,2016,5,"1,000 Head",Cattle,2515.4,Commercial,Red Meat
Apr-2016,2016,4,"1,000 Head",Cattle,2409.1,Commercial,Red Meat
Mar-2016,2016,3,"1,000 Head",Cattle,2534.1,Commercial,Red Meat
Feb-2016,2016,2,"1,000 Head",Cattle,2290.9,Commercial,Red Meat
Jan-2016,2016,1,"1,000 Head",Cattle,2359.2,Commercial,Red Meat
Dec-2015,2015,12,"1,000 Head",Cattle,2452.4,Commercial,Red Meat
Nov-2015,2015,11,"1,000 Head",Cattle,2296.2,Commercial,Red Meat
Oct-2015,2015,10,"1,000 Head",Cattle,2514.3,Commercial,Red Meat
Sep-2015,2015,9,"1,000 Head",Cattle,2474.6,Commercial,Red Meat
Aug-2015,2015,8,"1,000 Head",Cattle,2323.3,Commercial,Red Meat
Jul-2015,2015,7,"1,000 Head",Cattle,2493.3,Commercial,Red Meat
Jun-2015,2015,6,"1,000 Head",Cattle,2466.0,Commercial,Red Meat
May-2015,2015,5,"1,000 Head",Cattle,2379.4,Commercial,Red Meat
Apr-2015,2015,4,"1,000 Head",Cattle,2383.3,Commercial,Red Meat
Mar-2015,2015,3,"1,000 Head",Cattle,2381.0,Commercial,Red Meat
Feb-2015,2015,2,"1,000 Head",Cattle,2170.2,Commercial,Red Meat
Jan-2015,2015,1,"1,000 Head",Cattle,2417.6,Commercial,Red Meat
Dec-2014,2014,12,"1,000 Head",Cattle,2439.3,Commercial,Red Meat
Nov-2014,2014,11,"1,000 Head",Cattle,2246.8,Commercial,Red Meat
Oct-2014,2014,10,"1,000 Head",Cattle,2639.9,Commercial,Red Meat
Sep-2014,2014,9,"1,000 Head",Cattle,2531.1,Commercial,Red Meat
Aug-2014,2014,8,"1,000 Head",Cattle,2499.6,Commercial,Red Meat
Jul-2014,2014,7,"1,000 Head",Cattle,2601.7,Commercial,Red Meat
Jun-2014,2014,6,"1,000 Head",Cattle,2606.4,Commercial,Red Meat
May-2014,2014,5,"1,000 Head",Cattle,2635.6,Commercial,Red Meat
Apr-2014,2014,4,"1,000 Head",Cattle,2595.3,Commercial,Red Meat
Mar-2014,2014,3,"1,000 Head",Cattle,2449.1,Commercial,Red Meat
Feb-2014,2014,2,"1,000 Head",Cattle,2244.1,Commercial,Red Meat
Jan-2014,2014,1,"1,000 Head",Cattle,2679.0,Commercial,Red Meat
Dec-2013,2013,12,"1,000 Head",Cattle,2561.9,Commercial,Red Meat
Nov-2013,2013,11,"1,000 Head",Cattle,2569.1,Commercial,Red Meat
Oct-2013,2013,10,"1,000 Head",Cattle,2904.3,Commercial,Red Meat
Sep-2013,2013,9,"1,000 Head",Cattle,2608.9,Commercial,Red Meat
Aug-2013,2013,8,"1,000 Head",Cattle,2817.3,Commercial,Red Meat
Jul-2013,2013,7,"1,000 Head",Cattle,2894.9,Commercial,Red Meat
Jun-2013,2013,6,"1,000 Head",Cattle,2730.9,Commercial,Red Meat
May-2013,2013,5,"1,000 Head",Cattle,2863.0,Commercial,Red Meat
Apr-2013,2013,4,"1,000 Head",Cattle,2731.1,Commercial,Red Meat
Mar-2013,2013,3,"1,000 Head",Cattle,2586.9,Commercial,Red Meat
Feb-2013,2013,2,"1,000 Head",Cattle,2358.1,Commercial,Red Meat
Jan-2013,2013,1,"1,000 Head",Cattle,2835.9,Commercial,Red Meat
Dec-2012,2012,12,"1,000 Head",Cattle,2543.0,Commercial,Red Meat
Nov-2012,2012,11,"1,000 Head",Cattle,2785.0,Commercial,Red Meat
Oct-2012,2012,10,"1,000 Head",Cattle,2954.7,Commercial,Red Meat
Sep-2012,2012,9,"1,000 Head",Cattle,2542.7,Commercial,Red Meat
Aug-2012,2012,8,"1,000 Head",Cattle,2997.7,Commercial,Red Meat
Jul-2012,2012,7,"1,000 Head",Cattle,2792.8,Commercial,Red Meat
Jun-2012,2012,6,"1,000 Head",Cattle,2864.1,Commercial,Red Meat
May-2012,2012,5,"1,000 Head",Cattle,2875.6,Commercial,Red Meat
Apr-2012,2012,4,"1,000 Head",Cattle,2569.5,Commercial,Red Meat
Mar-2012,2012,3,"1,000 Head",Cattle,2753.4,Commercial,Red Meat
Feb-2012,2012,2,"1,000 Head",Cattle,2557.6,Commercial,Red Meat
Jan-2012,2012,1,"1,000 Head",Cattle,2714.7,Commercial,Red Meat
Dec-2011,2011,12,"1,000 Head",Cattle,2753.4,Commercial,Red Meat
Nov-2011,2011,11,"1,000 Head",Cattle,2784.7,Commercial,Red Meat
Oct-2011,2011,10,"1,000 Head",Cattle,2856.9,Commercial,Red Meat
Sep-2011,2011,9,"1,000 Head",Cattle,2876.0,Commercial,Red Meat
Aug-2011,2011,8,"1,000 Head",Cattle,3097.1,Commercial,Red Meat
Jul-2011,2011,7,"1,000 Head",Cattle,2764.5,Commercial,Red Meat
Jun-2011,2011,6,"1,000 Head",Cattle,3101.7,Commercial,Red Meat
May-2011,2011,5,"1,000 Head",Cattle,2818.7,Commercial,Red Meat
Apr-2011,2011,4,"1,000 Head",Cattle,2719.1,Commercial,Red Meat
Mar-2011,2011,3,"1,000 Head",Cattle,2959.1,Commercial,Red Meat
Feb-2011,2011,2,"1,000 Head",Cattle,2621.3,Commercial,Red Meat
Jan-2011,2011,1,"1,000 Head",Cattle,2734.0,Commercial,Red Meat
Dec-2010,2010,12,"1,000 Head",Cattle,2915.9,Commercial,Red Meat
Nov-2010,2010,11,"1,000 Head",Cattle,2876.3,Commercial,Red Meat
Oct-2010,2010,10,"1,000 Head",Cattle,2862.1,Commercial,Red Meat
Sep-2010,2010,9,"1,000 Head",Cattle,2897.4,Commercial,Red Meat
Aug-2010,2010,8,"1,000 Head",Cattle,2954.9,Commercial,Red Meat
Jul-2010,2010,7,"1,000 Head",Cattle,2899.2,Commercial,Red Meat
Jun-2010,2010,6,"1,000 Head",Cattle,3049.5,Commercial,Red Meat
May-2010,2010,5,"1,000 Head",Cattle,2784.1,Commercial,Red Meat
Apr-2010,2010,4,"1,000 Head",Cattle,2846.0,Commercial,Red Meat
Mar-2010,2010,3,"1,000 Head",Cattle,2911.5,Commercial,Red Meat
Feb-2010,2010,2,"1,000 Head",Cattle,2546.8,Commercial,Red Meat
Jan-2010,2010,1,"1,000 Head",Cattle,2705.4,Commercial,Red Meat
Dec-2009,2009,12,"1,000 Head",Cattle,2754.2,Commercial,Red Meat
Nov-2009,2009,11,"1,000 Head",Cattle,2600.7,Commercial,Red Meat
Oct-2009,2009,10,"1,000 Head",Cattle,2886.1,Commercial,Red Meat
Sep-2009,2009,9,"1,000 Head",Cattle,2814.7,Commercial,Red Meat
Aug-2009,2009,8,"1,000 Head",Cattle,2781.9,Commercial,Red Meat
Jul-2009,2009,7,"1,000 Head",Cattle,2921.6,Commercial,Red Meat
Jun-2009,2009,6,"1,000 Head",Cattle,2981.5,Commercial,Red Meat
May-2009,2009,5,"1,000 Head",Cattle,2849.3,Commercial,Red Meat
Apr-2009,2009,4,"1,000 Head",Cattle,2772.6,Commercial,Red Meat
Mar-2009,2009,3,"1,000 Head",Cattle,2729.5,Commercial,Red Meat
Feb-2009,2009,2,"1,000 Head",Cattle,2528.5,Commercial,Red Meat
Jan-2009,2009,1,"1,000 Head",Cattle,2717.7,Commercial,Red Meat
Dec-2008,2008,12,"1,000 Head",Cattle,2671.5,Commercial,Red Meat
Nov-2008,2008,11,"1,000 Head",Cattle,2516.3,Commercial,Red Meat
Oct-2008,2008,10,"1,000 Head",Cattle,2989.1,Commercial,Red Meat
Sep-2008,2008,9,"1,000 Head",Cattle,2889.4,Commercial,Red Meat
Aug-2008,2008,8,"1,000 Head",Cattle,2908.3,Commercial,Red Meat
Jul-2008,2008,7,"1,000 Head",Cattle,3062.5,Commercial,Red Meat
Jun-2008,2008,6,"1,000 Head",Cattle,2956.6,Commercial,Red Meat
May-2008,2008,5,"1,000 Head",Cattle,3139.6,Commercial,Red Meat
Apr-2008,2008,4,"1,000 Head",Cattle,2961.1,Commercial,Red Meat
Mar-2008,2008,3,"1,000 Head",Cattle,2728.3,Commercial,Red Meat
Feb-2008,2008,2,"1,000 Head",Cattle,2642.7,Commercial,Red Meat
Jan-2008,2008,1,"1,000 Head",Cattle,2899.4,Commercial,Red Meat
Dec-2007,2007,12,"1,000 Head",Cattle,2647.9,Commercial,Red Meat
Nov-2007,2007,11,"1,000 Head",Cattle,2830.7,Commercial,Red Meat
Oct-2007,2007,10,"1,000 Head",Cattle,3102.0,Commercial,Red Meat
Sep-2007,2007,9,"1,000 Head",Cattle,2664.6,Commercial,Red Meat
Aug-2007,2007,8,"1,000 Head",Cattle,3132.1,Commercial,Red Meat
Jul-2007,2007,7,"1,000 Head",Cattle,2903.1,Commercial,Red Meat
Jun-2007,2007,6,"1,000 Head",Cattle,3076.5,Commercial,Red Meat
May-2007,2007,5,"1,000 Head",Cattle,3051.4,Commercial,Red Meat
Apr-2007,2007,4,"1,000 Head",Cattle,2701.4,Commercial,Red Meat
Mar-2007,2007,3,"1,000 Head",Cattle,2793.0,Commercial,Red Meat
Feb-2007,2007,2,"1,000 Head",Cattle,2561.2,Commercial,Red Meat
Jan-2007,2007,1,"1,000 Head",Cattle,2800.3,Commercial,Red Meat
Dec-2006,2006,12,"1,000 Head",Cattle,2612.5,Commercial,Red Meat
Nov-2006,2006,11,"1,000 Head",Cattle,2842.4,Commercial,Red Meat
Oct-2006,2006,10,"1,000 Head",Cattle,2858.1,Commercial,Red Meat
Sep-2006,2006,9,"1,000 Head",Cattle,2766.6,Commercial,Red Meat
Aug-2006,2006,8,"1,000 Head",Cattle,3134.4,Commercial,Red Meat
Jul-2006,2006,7,"1,000 Head",Cattle,2834.0,Commercial,Red Meat
Jun-2006,2006,6,"1,000 Head",Cattle,3159.4,Commercial,Red Meat
May-2006,2006,5,"1,000 Head",Cattle,3039.1,Commercial,Red Meat
Apr-2006,2006,4,"1,000 Head",Cattle,2608.6,Commercial,Red Meat
Mar-2006,2006,3,"1,000 Head",Cattle,2854.0,Commercial,Red Meat
Feb-2006,2006,2,"1,000 Head",Cattle,2346.6,Commercial,Red Meat
Jan-2006,2006,1,"1,000 Head",Cattle,2642.6,Commercial,Red Meat
Dec-2005,2005,12,"1,000 Head",Cattle,2667.1,Commercial,Red Meat
Nov-2005,2005,11,"1,000 Head",Cattle,2668.1,Commercial,Red Meat
Oct-2005,2005,10,"1,000 Head",Cattle,2679.2,Commercial,Red Meat
Sep-2005,2005,9,"1,000 Head",Cattle,2775.9,Commercial,Red Meat
Aug-2005,2005,8,"1,000 Head",Cattle,2992.5,Commercial,Red Meat
Jul-2005,2005,7,"1,000 Head",Cattle,2717.5,Commercial,Red Meat
Jun-2005,2005,6,"1,000 Head",Cattle,2937.6,Commercial,Red Meat
May-2005,2005,5,"1,000 Head",Cattle,2793.3,Commercial,Red Meat
Apr-2005,2005,4,"1,000 Head",Cattle,2560.3,Commercial,Red Meat
Mar-2005,2005,3,"1,000 Head",Cattle,2725.1,Commercial,Red Meat
Feb-2005,2005,2,"1,000 Head",Cattle,2342.9,Commercial,Red Meat
Jan-2005,2005,1,"1,000 Head",Cattle,2528.1,Commercial,Red Meat
Dec-2004,2004,12,"1,000 Head",Cattle,2690.3,Commercial,Red Meat
Nov-2004,2004,11,"1,000 Head",Cattle,2542.3,Commercial,Red Meat
Oct-2004,2004,10,"1,000 Head",Cattle,2745.9,Commercial,Red Meat
Sep-2004,2004,9,"1,000 Head",Cattle,2737.1,Commercial,Red Meat
Aug-2004,2004,8,"1,000 Head",Cattle,2820.5,Commercial,Red Meat
Jul-2004,2004,7,"1,000 Head",Cattle,2787.2,Commercial,Red Meat
Jun-2004,2004,6,"1,000 Head",Cattle,2994.1,Commercial,Red Meat
May-2004,2004,5,"1,000 Head",Cattle,2836.1,Commercial,Red Meat
Apr-2004,2004,4,"1,000 Head",Cattle,2697.7,Commercial,Red Meat
Mar-2004,2004,3,"1,000 Head",Cattle,2869.3,Commercial,Red Meat
Feb-2004,2004,2,"1,000 Head",Cattle,2429.2,Commercial,Red Meat
Jan-2004,2004,1,"1,000 Head",Cattle,2578.6,Commercial,Red Meat
Dec-2003,2003,12,"1,000 Head",Cattle,2675.3,Commercial,Red Meat
Nov-2003,2003,11,"1,000 Head",Cattle,2433.5,Commercial,Red Meat
Oct-2003,2003,10,"1,000 Head",Cattle,3009.5,Commercial,Red Meat
Sep-2003,2003,9,"1,000 Head",Cattle,3128.9,Commercial,Red Meat
Aug-2003,2003,8,"1,000 Head",Cattle,3138.8,Commercial,Red Meat
Jul-2003,2003,7,"1,000 Head",Cattle,3290.2,Commercial,Red Meat
Jun-2003,2003,6,"1,000 Head",Cattle,3252.6,Commercial,Red Meat
May-2003,2003,5,"1,000 Head",Cattle,3247.6,Commercial,Red Meat
Apr-2003,2003,4,"1,000 Head",Cattle,2966.1,Commercial,Red Meat
Mar-2003,2003,3,"1,000 Head",Cattle,2773.9,Commercial,Red Meat
Feb-2003,2003,2,"1,000 Head",Cattle,2569.2,Commercial,Red Meat
Jan-2003,2003,1,"1,000 Head",Cattle,3007.9,Commercial,Red Meat
Dec-2002,2002,12,"1,000 Head",Cattle,2771.8,Commercial,Red Meat
Nov-2002,2002,11,"1,000 Head",Cattle,2861.1,Commercial,Red Meat
Oct-2002,2002,10,"1,000 Head",Cattle,3266.6,Commercial,Red Meat
Sep-2002,2002,9,"1,000 Head",Cattle,2866.7,Commercial,Red Meat
Aug-2002,2002,8,"1,000 Head",Cattle,3212.8,Commercial,Red Meat
Jul-2002,2002,7,"1,000 Head",Cattle,3187.7,Commercial,Red Meat
Jun-2002,2002,6,"1,000 Head",Cattle,3062.2,Commercial,Red Meat
May-2002,2002,5,"1,000 Head",Cattle,3146.6,Commercial,Red Meat
Apr-2002,2002,4,"1,000 Head",Cattle,2948.7,Commercial,Red Meat
Mar-2002,2002,3,"1,000 Head",Cattle,2737.7,Commercial,Red Meat
Feb-2002,2002,2,"1,000 Head",Cattle,2615.6,Commercial,Red Meat
Jan-2002,2002,1,"1,000 Head",Cattle,3057.0,Commercial,Red Meat
Dec-2001,2001,12,"1,000 Head",Cattle,2779.3,Commercial,Red Meat
Nov-2001,2001,11,"1,000 Head",Cattle,2903.4,Commercial,Red Meat
Oct-2001,2001,10,"1,000 Head",Cattle,3162.0,Commercial,Red Meat
Sep-2001,2001,9,"1,000 Head",Cattle,2808.1,Commercial,Red Meat
Aug-2001,2001,8,"1,000 Head",Cattle,3239.4,Commercial,Red Meat
Jul-2001,2001,7,"1,000 Head",Cattle,2942.5,Commercial,Red Meat
Jun-2001,2001,6,"1,000 Head",Cattle,3120.2,Commercial,Red Meat
May-2001,2001,5,"1,000 Head",Cattle,3199.8,Commercial,Red Meat
Apr-2001,2001,4,"1,000 Head",Cattle,2714.0,Commercial,Red Meat
Mar-2001,2001,3,"1,000 Head",Cattle,2918.4,Commercial,Red Meat
Feb-2001,2001,2,"1,000 Head",Cattle,2580.4,Commercial,Red Meat
Jan-2001,2001,1,"1,000 Head",Cattle,3002.3,Commercial,Red Meat
Dec-2000,2000,12,"1,000 Head",Cattle,2716.9,Commercial,Red Meat
Nov-2000,2000,11,"1,000 Head",Cattle,2929.3,Commercial,Red Meat
Oct-2000,2000,10,"1,000 Head",Cattle,3141.4,Commercial,Red Meat
Sep-2000,2000,9,"1,000 Head",Cattle,3034.5,Commercial,Red Meat
Aug-2000,2000,8,"1,000 Head",Cattle,3259.4,Commercial,Red Meat
Jul-2000,2000,7,"1,000 Head",Cattle,2962.2,Commercial,Red Meat
Jun-2000,2000,6,"1,000 Head",Cattle,3236.7,Commercial,Red Meat
May-2000,2000,5,"1,000 Head",Cattle,3177.9,Commercial,Red Meat
Apr-2000,2000,4,"1,000 Head",Cattle,2783.4,Commercial,Red Meat
Mar-2000,2000,3,"1,000 Head",Cattle,3131.6,Commercial,Red Meat
Feb-2000,2000,2,"1,000 Head",Cattle,2936.9,Commercial,Red Meat
Jan-2000,2000,1,"1,000 Head",Cattle,2935.8,Commercial,Red Meat
Dec-1999,1999,12,"1,000 Head",Cattle,2874.8,Commercial,Red Meat
Nov-1999,1999,11,"1,000 Head",Cattle,2939.9,Commercial,Red Meat
Oct-1999,1999,10,"1,000 Head",Cattle,3094.2,Commercial,Red Meat
Sep-1999,1999,9,"1,000 Head",Cattle,3099.0,Commercial,Red Meat
Aug-1999,1999,8,"1,000 Head",Cattle,3150.3,Commercial,Red Meat
Jul-1999,1999,7,"1,000 Head",Cattle,3082.9,Commercial,Red Meat
Jun-1999,1999,6,"1,000 Head",Cattle,3206.8,Commercial,Red Meat
May-1999,1999,5,"1,000 Head",Cattle,2996.8,Commercial,Red Meat
Apr-1999,1999,4,"1,000 Head",Cattle,2971.0,Commercial,Red Meat
Mar-1999,1999,3,"1,000 Head",Cattle,3050.4,Commercial,Red Meat
Feb-1999,1999,2,"1,000 Head",Cattle,2722.5,Commercial,Red Meat
Jan-1999,1999,1,"1,000 Head",Cattle,2961.3,Commercial,Red Meat
Dec-1998,1998,12,"1,000 Head",Cattle,2894.5,Commercial,Red Meat
Nov-1998,1998,11,"1,000 Head",Cattle,2772.6,Commercial,Red Meat
Oct-1998,1998,10,"1,000 Head",Cattle,3054.5,Commercial,Red Meat
Sep-1998,1998,9,"1,000 Head",Cattle,2991.4,Commercial,Red Meat
Aug-1998,1998,8,"1,000 Head",Cattle,3039.5,Commercial,Red Meat
Jul-1998,1998,7,"1,000 Head",Cattle,3039.3,Commercial,Red Meat
Jun-1998,1998,6,"1,000 Head",Cattle,3108.1,Commercial,Red Meat
May-1998,1998,5,"1,000 Head",Cattle,2957.2,Commercial,Red Meat
Apr-1998,1998,4,"1,000 Head",Cattle,2927.1,Commercial,Red Meat
Mar-1998,1998,3,"1,000 Head",Cattle,2894.5,Commercial,Red Meat
Feb-1998,1998,2,"1,000 Head",Cattle,2746.8,Commercial,Red Meat
Jan-1998,1998,1,"1,000 Head",Cattle,3039.4,Commercial,Red Meat
Dec-1997,1997,12,"1,000 Head",Cattle,2877.0,Commercial,Red Meat
Nov-1997,1997,11,"1,000 Head",Cattle,2760.3,Commercial,Red Meat
Oct-1997,1997,10,"1,000 Head",Cattle,3224.4,Commercial,Red Meat
Sep-1997,1997,9,"1,000 Head",Cattle,2967.7,Commercial,Red Meat
Aug-1997,1997,8,"1,000 Head",Cattle,3107.3,Commercial,Red Meat
Jul-1997,1997,7,"1,000 Head",Cattle,3181.3,Commercial,Red Meat
Jun-1997,1997,6,"1,000 Head",Cattle,3060.7,Commercial,Red Meat
May-1997,1997,5,"1,000 Head",Cattle,3181.5,Commercial,Red Meat
Apr-1997,1997,4,"1,000 Head",Cattle,3058.4,Commercial,Red Meat
Mar-1997,1997,3,"1,000 Head",Cattle,2858.8,Commercial,Red Meat
Feb-1997,1997,2,"1,000 Head",Cattle,2795.2,Commercial,Red Meat
Jan-1997,1997,1,"1,000 Head",Cattle,3245.2,Commercial,Red Meat
Dec-1996,1996,12,"1,000 Head",Cattle,2876.2,Commercial,Red Meat
Nov-1996,1996,11,"1,000 Head",Cattle,2872.4,Commercial,Red Meat
Oct-1996,1996,10,"1,000 Head",Cattle,3151.7,Commercial,Red Meat
Sep-1996,1996,9,"1,000 Head",Cattle,2759.6,Commercial,Red Meat
Aug-1996,1996,8,"1,000 Head",Cattle,3214.3,Commercial,Red Meat
Jul-1996,1996,7,"1,000 Head",Cattle,3149.0,Commercial,Red Meat
Jun-1996,1996,6,"1,000 Head",Cattle,3146.7,Commercial,Red Meat
May-1996,1996,5,"1,000 Head",Cattle,3329.0,Commercial,Red Meat
Apr-1996,1996,4,"1,000 Head",Cattle,3112.9,Commercial,Red Meat
Mar-1996,1996,3,"1,000 Head",Cattle,2903.4,Commercial,Red Meat
Feb-1996,1996,2,"1,000 Head",Cattle,2927.2,Commercial,Red Meat
Jan-1996,1996,1,"1,000 Head",Cattle,3141.1,Commercial,Red Meat
Dec-1995,1995,12,"1,000 Head",Cattle,2827.0,Commercial,Red Meat
Nov-1995,1995,11,"1,000 Head",Cattle,2986.6,Commercial,Red Meat
Oct-1995,1995,10,"1,000 Head",Cattle,3076.2,Commercial,Red Meat
Sep-1995,1995,9,"1,000 Head",Cattle,3098.0,Commercial,Red Meat
