Date,Year,Month,Unit,Animal,Weight,Commercial_Or_Federally_Inspected,Live_Or_Dressed,Type_Of_Meat
Dec-2019,2019,12,Average Weight in Pounds,Cattle,1373.0,Commercial,Live,Red Meat
Nov-2019,2019,11,Average Weight in Pounds,Cattle,1375.0,Commercial,Live,Red Meat
Oct-2019,2019,10,Average Weight in Pounds,Cattle,1360.0,Commercial,Live,Red Meat
Sep-2019,2019,9,Average Weight in Pounds,Cattle,1352.0,Commercial,Live,Red Meat
Aug-2019,2019,8,Average Weight in Pounds,Cattle,1338.0,Commercial,Live,Red Meat
Jul-2019,2019,7,Average Weight in Pounds,Cattle,1326.0,Commercial,Live,Red Meat
Jun-2019,2019,6,Average Weight in Pounds,Cattle,1313.0,Commercial,Live,Red Meat
May-2019,2019,5,Average Weight in Pounds,Cattle,1316.0,Commercial,Live,Red Meat
Apr-2019,2019,4,Average Weight in Pounds,Cattle,1329.0,Commercial,Live,Red Meat
Mar-2019,2019,3,Average Weight in Pounds,Cattle,1339.0,Commercial,Live,Red Meat
Feb-2019,2019,2,Average Weight in Pounds,Cattle,1351.0,Commercial,Live,Red Meat
Jan-2019,2019,1,Average Weight in Pounds,Cattle,1363.0,Commercial,Live,Red Meat
Dec-2018,2018,12,Average Weight in Pounds,Cattle,1368.0,Commercial,Live,Red Meat
Nov-2018,2018,11,Average Weight in Pounds,Cattle,1370.0,Commercial,Live,Red Meat
Oct-2018,2018,10,Average Weight in Pounds,Cattle,1363.0,Commercial,Live,Red Meat
Sep-2018,2018,9,Average Weight in Pounds,Cattle,1359.0,Commercial,Live,Red Meat
Aug-2018,2018,8,Average Weight in Pounds,Cattle,1344.0,Commercial,Live,Red Meat
Jul-2018,2018,7,Average Weight in Pounds,Cattle,1330.0,Commercial,Live,Red Meat
Jun-2018,2018,6,Average Weight in Pounds,Cattle,1321.0,Commercial,Live,Red Meat
May-2018,2018,5,Average Weight in Pounds,Cattle,1316.0,Commercial,Live,Red Meat
Apr-2018,2018,4,Average Weight in Pounds,Cattle,1334.0,Commercial,Live,Red Meat
Mar-2018,2018,3,Average Weight in Pounds,Cattle,1358.0,Commercial,Live,Red Meat
Feb-2018,2018,2,Average Weight in Pounds,Cattle,1368.0,Commercial,Live,Red Meat
Jan-2018,2018,1,Average Weight in Pounds,Cattle,1377.0,Commercial,Live,Red Meat
Dec-2017,2017,12,Average Weight in Pounds,Cattle,1380.0,Commercial,Live,Red Meat
Nov-2017,2017,11,Average Weight in Pounds,Cattle,1374.0,Commercial,Live,Red Meat
Oct-2017,2017,10,Average Weight in Pounds,Cattle,1361.0,Commercial,Live,Red Meat
Sep-2017,2017,9,Average Weight in Pounds,Cattle,1359.0,Commercial,Live,Red Meat
Aug-2017,2017,8,Average Weight in Pounds,Cattle,1345.0,Commercial,Live,Red Meat
Jul-2017,2017,7,Average Weight in Pounds,Cattle,1333.0,Commercial,Live,Red Meat
Jun-2017,2017,6,Average Weight in Pounds,Cattle,1321.0,Commercial,Live,Red Meat
May-2017,2017,5,Average Weight in Pounds,Cattle,1307.0,Commercial,Live,Red Meat
Apr-2017,2017,4,Average Weight in Pounds,Cattle,1325.0,Commercial,Live,Red Meat
Mar-2017,2017,3,Average Weight in Pounds,Cattle,1350.0,Commercial,Live,Red Meat
Feb-2017,2017,2,Average Weight in Pounds,Cattle,1361.0,Commercial,Live,Red Meat
Jan-2017,2017,1,Average Weight in Pounds,Cattle,1370.0,Commercial,Live,Red Meat
Dec-2016,2016,12,Average Weight in Pounds,Cattle,1381.0,Commercial,Live,Red Meat
Nov-2016,2016,11,Average Weight in Pounds,Cattle,1384.0,Commercial,Live,Red Meat
Oct-2016,2016,10,Average Weight in Pounds,Cattle,1381.0,Commercial,Live,Red Meat
Sep-2016,2016,9,Average Weight in Pounds,Cattle,1370.0,Commercial,Live,Red Meat
Aug-2016,2016,8,Average Weight in Pounds,Cattle,1352.0,Commercial,Live,Red Meat
Jul-2016,2016,7,Average Weight in Pounds,Cattle,1345.0,Commercial,Live,Red Meat
Jun-2016,2016,6,Average Weight in Pounds,Cattle,1334.0,Commercial,Live,Red Meat
May-2016,2016,5,Average Weight in Pounds,Cattle,1333.0,Commercial,Live,Red Meat
Apr-2016,2016,4,Average Weight in Pounds,Cattle,1348.0,Commercial,Live,Red Meat
Mar-2016,2016,3,Average Weight in Pounds,Cattle,1370.0,Commercial,Live,Red Meat
Feb-2016,2016,2,Average Weight in Pounds,Cattle,1372.0,Commercial,Live,Red Meat
Jan-2016,2016,1,Average Weight in Pounds,Cattle,1381.0,Commercial,Live,Red Meat
Dec-2015,2015,12,Average Weight in Pounds,Cattle,1388.0,Commercial,Live,Red Meat
Nov-2015,2015,11,Average Weight in Pounds,Cattle,1392.0,Commercial,Live,Red Meat
Oct-2015,2015,10,Average Weight in Pounds,Cattle,1390.0,Commercial,Live,Red Meat
Sep-2015,2015,9,Average Weight in Pounds,Cattle,1382.0,Commercial,Live,Red Meat
Aug-2015,2015,8,Average Weight in Pounds,Cattle,1363.0,Commercial,Live,Red Meat
Jul-2015,2015,7,Average Weight in Pounds,Cattle,1346.0,Commercial,Live,Red Meat
Jun-2015,2015,6,Average Weight in Pounds,Cattle,1332.0,Commercial,Live,Red Meat
May-2015,2015,5,Average Weight in Pounds,Cattle,1332.0,Commercial,Live,Red Meat
Apr-2015,2015,4,Average Weight in Pounds,Cattle,1338.0,Commercial,Live,Red Meat
Mar-2015,2015,3,Average Weight in Pounds,Cattle,1347.0,Commercial,Live,Red Meat
Feb-2015,2015,2,Average Weight in Pounds,Cattle,1355.0,Commercial,Live,Red Meat
Jan-2015,2015,1,Average Weight in Pounds,Cattle,1358.0,Commercial,Live,Red Meat
Dec-2014,2014,12,Average Weight in Pounds,Cattle,1363.0,Commercial,Live,Red Meat
Nov-2014,2014,11,Average Weight in Pounds,Cattle,1363.0,Commercial,Live,Red Meat
Oct-2014,2014,10,Average Weight in Pounds,Cattle,1355.0,Commercial,Live,Red Meat
Sep-2014,2014,9,Average Weight in Pounds,Cattle,1344.0,Commercial,Live,Red Meat
Aug-2014,2014,8,Average Weight in Pounds,Cattle,1329.0,Commercial,Live,Red Meat
Jul-2014,2014,7,Average Weight in Pounds,Cattle,1320.0,Commercial,Live,Red Meat
Jun-2014,2014,6,Average Weight in Pounds,Cattle,1307.0,Commercial,Live,Red Meat
May-2014,2014,5,Average Weight in Pounds,Cattle,1299.0,Commercial,Live,Red Meat
Apr-2014,2014,4,Average Weight in Pounds,Cattle,1306.0,Commercial,Live,Red Meat
Mar-2014,2014,3,Average Weight in Pounds,Cattle,1318.0,Commercial,Live,Red Meat
Feb-2014,2014,2,Average Weight in Pounds,Cattle,1330.0,Commercial,Live,Red Meat
Jan-2014,2014,1,Average Weight in Pounds,Cattle,1334.0,Commercial,Live,Red Meat
Dec-2013,2013,12,Average Weight in Pounds,Cattle,1334.0,Commercial,Live,Red Meat
Nov-2013,2013,11,Average Weight in Pounds,Cattle,1339.0,Commercial,Live,Red Meat
Oct-2013,2013,10,Average Weight in Pounds,Cattle,1327.0,Commercial,Live,Red Meat
Sep-2013,2013,9,Average Weight in Pounds,Cattle,1313.0,Commercial,Live,Red Meat
Aug-2013,2013,8,Average Weight in Pounds,Cattle,1310.0,Commercial,Live,Red Meat
Jul-2013,2013,7,Average Weight in Pounds,Cattle,1302.0,Commercial,Live,Red Meat
Jun-2013,2013,6,Average Weight in Pounds,Cattle,1300.0,Commercial,Live,Red Meat
May-2013,2013,5,Average Weight in Pounds,Cattle,1289.0,Commercial,Live,Red Meat
Apr-2013,2013,4,Average Weight in Pounds,Cattle,1296.0,Commercial,Live,Red Meat
Mar-2013,2013,3,Average Weight in Pounds,Cattle,1313.0,Commercial,Live,Red Meat
Feb-2013,2013,2,Average Weight in Pounds,Cattle,1320.0,Commercial,Live,Red Meat
Jan-2013,2013,1,Average Weight in Pounds,Cattle,1328.0,Commercial,Live,Red Meat
Dec-2012,2012,12,Average Weight in Pounds,Cattle,1324.0,Commercial,Live,Red Meat
Nov-2012,2012,11,Average Weight in Pounds,Cattle,1321.0,Commercial,Live,Red Meat
Oct-2012,2012,10,Average Weight in Pounds,Cattle,1318.0,Commercial,Live,Red Meat
Sep-2012,2012,9,Average Weight in Pounds,Cattle,1311.0,Commercial,Live,Red Meat
Aug-2012,2012,8,Average Weight in Pounds,Cattle,1300.0,Commercial,Live,Red Meat
Jul-2012,2012,7,Average Weight in Pounds,Cattle,1295.0,Commercial,Live,Red Meat
Jun-2012,2012,6,Average Weight in Pounds,Cattle,1290.0,Commercial,Live,Red Meat
May-2012,2012,5,Average Weight in Pounds,Cattle,1280.0,Commercial,Live,Red Meat
Apr-2012,2012,4,Average Weight in Pounds,Cattle,1281.0,Commercial,Live,Red Meat
Mar-2012,2012,3,Average Weight in Pounds,Cattle,1299.0,Commercial,Live,Red Meat
Feb-2012,2012,2,Average Weight in Pounds,Cattle,1307.0,Commercial,Live,Red Meat
Jan-2012,2012,1,Average Weight in Pounds,Cattle,1300.0,Commercial,Live,Red Meat
Dec-2011,2011,12,Average Weight in Pounds,Cattle,1297.0,Commercial,Live,Red Meat
Nov-2011,2011,11,Average Weight in Pounds,Cattle,1293.0,Commercial,Live,Red Meat
Oct-2011,2011,10,Average Weight in Pounds,Cattle,1289.0,Commercial,Live,Red Meat
Sep-2011,2011,9,Average Weight in Pounds,Cattle,1278.0,Commercial,Live,Red Meat
Aug-2011,2011,8,Average Weight in Pounds,Cattle,1270.0,Commercial,Live,Red Meat
Jul-2011,2011,7,Average Weight in Pounds,Cattle,1272.0,Commercial,Live,Red Meat
Jun-2011,2011,6,Average Weight in Pounds,Cattle,1262.0,Commercial,Live,Red Meat
May-2011,2011,5,Average Weight in Pounds,Cattle,1253.0,Commercial,Live,Red Meat
Apr-2011,2011,4,Average Weight in Pounds,Cattle,1257.0,Commercial,Live,Red Meat
Mar-2011,2011,3,Average Weight in Pounds,Cattle,1276.0,Commercial,Live,Red Meat
Feb-2011,2011,2,Average Weight in Pounds,Cattle,1286.0,Commercial,Live,Red Meat
Jan-2011,2011,1,Average Weight in Pounds,Cattle,1301.0,Commercial,Live,Red Meat
Dec-2010,2010,12,Average Weight in Pounds,Cattle,1305.0,Commercial,Live,Red Meat
Nov-2010,2010,11,Average Weight in Pounds,Cattle,1299.0,Commercial,Live,Red Meat
Oct-2010,2010,10,Average Weight in Pounds,Cattle,1298.0,Commercial,Live,Red Meat
Sep-2010,2010,9,Average Weight in Pounds,Cattle,1289.0,Commercial,Live,Red Meat
Aug-2010,2010,8,Average Weight in Pounds,Cattle,1277.0,Commercial,Live,Red Meat
Jul-2010,2010,7,Average Weight in Pounds,Cattle,1273.0,Commercial,Live,Red Meat
Jun-2010,2010,6,Average Weight in Pounds,Cattle,1261.0,Commercial,Live,Red Meat
May-2010,2010,5,Average Weight in Pounds,Cattle,1250.0,Commercial,Live,Red Meat
Apr-2010,2010,4,Average Weight in Pounds,Cattle,1253.0,Commercial,Live,Red Meat
Mar-2010,2010,3,Average Weight in Pounds,Cattle,1273.0,Commercial,Live,Red Meat
Feb-2010,2010,2,Average Weight in Pounds,Cattle,1285.0,Commercial,Live,Red Meat
Jan-2010,2010,1,Average Weight in Pounds,Cattle,1290.0,Commercial,Live,Red Meat
Dec-2009,2009,12,Average Weight in Pounds,Cattle,1296.0,Commercial,Live,Red Meat
Nov-2009,2009,11,Average Weight in Pounds,Cattle,1298.0,Commercial,Live,Red Meat
Oct-2009,2009,10,Average Weight in Pounds,Cattle,1312.0,Commercial,Live,Red Meat
Sep-2009,2009,9,Average Weight in Pounds,Cattle,1310.0,Commercial,Live,Red Meat
Aug-2009,2009,8,Average Weight in Pounds,Cattle,1293.0,Commercial,Live,Red Meat
Jul-2009,2009,7,Average Weight in Pounds,Cattle,1282.0,Commercial,Live,Red Meat
Jun-2009,2009,6,Average Weight in Pounds,Cattle,1269.0,Commercial,Live,Red Meat
May-2009,2009,5,Average Weight in Pounds,Cattle,1264.0,Commercial,Live,Red Meat
Apr-2009,2009,4,Average Weight in Pounds,Cattle,1276.0,Commercial,Live,Red Meat
Mar-2009,2009,3,Average Weight in Pounds,Cattle,1305.0,Commercial,Live,Red Meat
Feb-2009,2009,2,Average Weight in Pounds,Cattle,1310.0,Commercial,Live,Red Meat
Jan-2009,2009,1,Average Weight in Pounds,Cattle,1306.0,Commercial,Live,Red Meat
Dec-2008,2008,12,Average Weight in Pounds,Cattle,1303.0,Commercial,Live,Red Meat
Nov-2008,2008,11,Average Weight in Pounds,Cattle,1302.0,Commercial,Live,Red Meat
Oct-2008,2008,10,Average Weight in Pounds,Cattle,1303.0,Commercial,Live,Red Meat
Sep-2008,2008,9,Average Weight in Pounds,Cattle,1297.0,Commercial,Live,Red Meat
Aug-2008,2008,8,Average Weight in Pounds,Cattle,1284.0,Commercial,Live,Red Meat
Jul-2008,2008,7,Average Weight in Pounds,Cattle,1273.0,Commercial,Live,Red Meat
Jun-2008,2008,6,Average Weight in Pounds,Cattle,1261.0,Commercial,Live,Red Meat
May-2008,2008,5,Average Weight in Pounds,Cattle,1251.0,Commercial,Live,Red Meat
Apr-2008,2008,4,Average Weight in Pounds,Cattle,1259.0,Commercial,Live,Red Meat
Mar-2008,2008,3,Average Weight in Pounds,Cattle,1276.0,Commercial,Live,Red Meat
Feb-2008,2008,2,Average Weight in Pounds,Cattle,1285.0,Commercial,Live,Red Meat
Jan-2008,2008,1,Average Weight in Pounds,Cattle,1291.0,Commercial,Live,Red Meat
Dec-2007,2007,12,Average Weight in Pounds,Cattle,1302.0,Commercial,Live,Red Meat
Nov-2007,2007,11,Average Weight in Pounds,Cattle,1304.0,Commercial,Live,Red Meat
Oct-2007,2007,10,Average Weight in Pounds,Cattle,1300.0,Commercial,Live,Red Meat
Sep-2007,2007,9,Average Weight in Pounds,Cattle,1290.0,Commercial,Live,Red Meat
Aug-2007,2007,8,Average Weight in Pounds,Cattle,1279.0,Commercial,Live,Red Meat
Jul-2007,2007,7,Average Weight in Pounds,Cattle,1269.0,Commercial,Live,Red Meat
Jun-2007,2007,6,Average Weight in Pounds,Cattle,1250.0,Commercial,Live,Red Meat
May-2007,2007,5,Average Weight in Pounds,Cattle,1232.0,Commercial,Live,Red Meat
Apr-2007,2007,4,Average Weight in Pounds,Cattle,1235.0,Commercial,Live,Red Meat
Mar-2007,2007,3,Average Weight in Pounds,Cattle,1260.0,Commercial,Live,Red Meat
Feb-2007,2007,2,Average Weight in Pounds,Cattle,1274.0,Commercial,Live,Red Meat
Jan-2007,2007,1,Average Weight in Pounds,Cattle,1290.0,Commercial,Live,Red Meat
Dec-2006,2006,12,Average Weight in Pounds,Cattle,1300.0,Commercial,Live,Red Meat
Nov-2006,2006,11,Average Weight in Pounds,Cattle,1295.0,Commercial,Live,Red Meat
Oct-2006,2006,10,Average Weight in Pounds,Cattle,1291.0,Commercial,Live,Red Meat
Sep-2006,2006,9,Average Weight in Pounds,Cattle,1285.0,Commercial,Live,Red Meat
Aug-2006,2006,8,Average Weight in Pounds,Cattle,1276.0,Commercial,Live,Red Meat
Jul-2006,2006,7,Average Weight in Pounds,Cattle,1273.0,Commercial,Live,Red Meat
Jun-2006,2006,6,Average Weight in Pounds,Cattle,1264.0,Commercial,Live,Red Meat
May-2006,2006,5,Average Weight in Pounds,Cattle,1244.0,Commercial,Live,Red Meat
Apr-2006,2006,4,Average Weight in Pounds,Cattle,1240.0,Commercial,Live,Red Meat
Mar-2006,2006,3,Average Weight in Pounds,Cattle,1269.0,Commercial,Live,Red Meat
Feb-2006,2006,2,Average Weight in Pounds,Cattle,1284.0,Commercial,Live,Red Meat
Jan-2006,2006,1,Average Weight in Pounds,Cattle,1285.0,Commercial,Live,Red Meat
Dec-2005,2005,12,Average Weight in Pounds,Cattle,1280.0,Commercial,Live,Red Meat
Nov-2005,2005,11,Average Weight in Pounds,Cattle,1284.0,Commercial,Live,Red Meat
Oct-2005,2005,10,Average Weight in Pounds,Cattle,1280.0,Commercial,Live,Red Meat
Sep-2005,2005,9,Average Weight in Pounds,Cattle,1275.0,Commercial,Live,Red Meat
Aug-2005,2005,8,Average Weight in Pounds,Cattle,1266.0,Commercial,Live,Red Meat
Jul-2005,2005,7,Average Weight in Pounds,Cattle,1254.0,Commercial,Live,Red Meat
Jun-2005,2005,6,Average Weight in Pounds,Cattle,1245.0,Commercial,Live,Red Meat
May-2005,2005,5,Average Weight in Pounds,Cattle,1222.0,Commercial,Live,Red Meat
Apr-2005,2005,4,Average Weight in Pounds,Cattle,1218.0,Commercial,Live,Red Meat
Mar-2005,2005,3,Average Weight in Pounds,Cattle,1237.0,Commercial,Live,Red Meat
Feb-2005,2005,2,Average Weight in Pounds,Cattle,1253.0,Commercial,Live,Red Meat
Jan-2005,2005,1,Average Weight in Pounds,Cattle,1262.0,Commercial,Live,Red Meat
Dec-2004,2004,12,Average Weight in Pounds,Cattle,1268.0,Commercial,Live,Red Meat
Nov-2004,2004,11,Average Weight in Pounds,Cattle,1268.0,Commercial,Live,Red Meat
Oct-2004,2004,10,Average Weight in Pounds,Cattle,1267.0,Commercial,Live,Red Meat
Sep-2004,2004,9,Average Weight in Pounds,Cattle,1265.0,Commercial,Live,Red Meat
Aug-2004,2004,8,Average Weight in Pounds,Cattle,1252.0,Commercial,Live,Red Meat
Jul-2004,2004,7,Average Weight in Pounds,Cattle,1239.0,Commercial,Live,Red Meat
Jun-2004,2004,6,Average Weight in Pounds,Cattle,1225.0,Commercial,Live,Red Meat
May-2004,2004,5,Average Weight in Pounds,Cattle,1204.0,Commercial,Live,Red Meat
Apr-2004,2004,4,Average Weight in Pounds,Cattle,1200.0,Commercial,Live,Red Meat
Mar-2004,2004,3,Average Weight in Pounds,Cattle,1217.0,Commercial,Live,Red Meat
Feb-2004,2004,2,Average Weight in Pounds,Cattle,1233.0,Commercial,Live,Red Meat
Jan-2004,2004,1,Average Weight in Pounds,Cattle,1249.0,Commercial,Live,Red Meat
Dec-2003,2003,12,Average Weight in Pounds,Cattle,1244.0,Commercial,Live,Red Meat
Nov-2003,2003,11,Average Weight in Pounds,Cattle,1236.0,Commercial,Live,Red Meat
Oct-2003,2003,10,Average Weight in Pounds,Cattle,1231.0,Commercial,Live,Red Meat
Sep-2003,2003,9,Average Weight in Pounds,Cattle,1228.0,Commercial,Live,Red Meat
Aug-2003,2003,8,Average Weight in Pounds,Cattle,1225.0,Commercial,Live,Red Meat
Jul-2003,2003,7,Average Weight in Pounds,Cattle,1225.0,Commercial,Live,Red Meat
Jun-2003,2003,6,Average Weight in Pounds,Cattle,1217.0,Commercial,Live,Red Meat
May-2003,2003,5,Average Weight in Pounds,Cattle,1208.0,Commercial,Live,Red Meat
Apr-2003,2003,4,Average Weight in Pounds,Cattle,1209.0,Commercial,Live,Red Meat
Mar-2003,2003,3,Average Weight in Pounds,Cattle,1234.0,Commercial,Live,Red Meat
Feb-2003,2003,2,Average Weight in Pounds,Cattle,1261.0,Commercial,Live,Red Meat
Jan-2003,2003,1,Average Weight in Pounds,Cattle,1269.0,Commercial,Live,Red Meat
Dec-2002,2002,12,Average Weight in Pounds,Cattle,1265.0,Commercial,Live,Red Meat
Nov-2002,2002,11,Average Weight in Pounds,Cattle,1260.0,Commercial,Live,Red Meat
Oct-2002,2002,10,Average Weight in Pounds,Cattle,1270.0,Commercial,Live,Red Meat
Sep-2002,2002,9,Average Weight in Pounds,Cattle,1263.0,Commercial,Live,Red Meat
Aug-2002,2002,8,Average Weight in Pounds,Cattle,1259.0,Commercial,Live,Red Meat
Jul-2002,2002,7,Average Weight in Pounds,Cattle,1248.0,Commercial,Live,Red Meat
Jun-2002,2002,6,Average Weight in Pounds,Cattle,1236.0,Commercial,Live,Red Meat
May-2002,2002,5,Average Weight in Pounds,Cattle,1223.0,Commercial,Live,Red Meat
Apr-2002,2002,4,Average Weight in Pounds,Cattle,1227.0,Commercial,Live,Red Meat
Mar-2002,2002,3,Average Weight in Pounds,Cattle,1241.0,Commercial,Live,Red Meat
Feb-2002,2002,2,Average Weight in Pounds,Cattle,1255.0,Commercial,Live,Red Meat
Jan-2002,2002,1,Average Weight in Pounds,Cattle,1260.0,Commercial,Live,Red Meat
Dec-2001,2001,12,Average Weight in Pounds,Cattle,1256.0,Commercial,Live,Red Meat
Nov-2001,2001,11,Average Weight in Pounds,Cattle,1255.0,Commercial,Live,Red Meat
Oct-2001,2001,10,Average Weight in Pounds,Cattle,1247.0,Commercial,Live,Red Meat
Sep-2001,2001,9,Average Weight in Pounds,Cattle,1240.0,Commercial,Live,Red Meat
Aug-2001,2001,8,Average Weight in Pounds,Cattle,1228.0,Commercial,Live,Red Meat
Jul-2001,2001,7,Average Weight in Pounds,Cattle,1216.0,Commercial,Live,Red Meat
Jun-2001,2001,6,Average Weight in Pounds,Cattle,1198.0,Commercial,Live,Red Meat
May-2001,2001,5,Average Weight in Pounds,Cattle,1184.0,Commercial,Live,Red Meat
Apr-2001,2001,4,Average Weight in Pounds,Cattle,1186.0,Commercial,Live,Red Meat
Mar-2001,2001,3,Average Weight in Pounds,Cattle,1199.0,Commercial,Live,Red Meat
Feb-2001,2001,2,Average Weight in Pounds,Cattle,1217.0,Commercial,Live,Red Meat
Jan-2001,2001,1,Average Weight in Pounds,Cattle,1226.0,Commercial,Live,Red Meat
Dec-2000,2000,12,Average Weight in Pounds,Cattle,1224.0,Commercial,Live,Red Meat
Nov-2000,2000,11,Average Weight in Pounds,Cattle,1230.0,Commercial,Live,Red Meat
Oct-2000,2000,10,Average Weight in Pounds,Cattle,1231.0,Commercial,Live,Red Meat
Sep-2000,2000,9,Average Weight in Pounds,Cattle,1231.0,Commercial,Live,Red Meat
Aug-2000,2000,8,Average Weight in Pounds,Cattle,1226.0,Commercial,Live,Red Meat
Jul-2000,2000,7,Average Weight in Pounds,Cattle,1220.0,Commercial,Live,Red Meat
Jun-2000,2000,6,Average Weight in Pounds,Cattle,1205.0,Commercial,Live,Red Meat
May-2000,2000,5,Average Weight in Pounds,Cattle,1196.0,Commercial,Live,Red Meat
Apr-2000,2000,4,Average Weight in Pounds,Cattle,1202.0,Commercial,Live,Red Meat
Mar-2000,2000,3,Average Weight in Pounds,Cattle,1215.0,Commercial,Live,Red Meat
Feb-2000,2000,2,Average Weight in Pounds,Cattle,1225.0,Commercial,Live,Red Meat
Jan-2000,2000,1,Average Weight in Pounds,Cattle,1229.0,Commercial,Live,Red Meat
Dec-1999,1999,12,Average Weight in Pounds,Cattle,1225.0,Commercial,Live,Red Meat
Nov-1999,1999,11,Average Weight in Pounds,Cattle,1216.0,Commercial,Live,Red Meat
Oct-1999,1999,10,Average Weight in Pounds,Cattle,1214.0,Commercial,Live,Red Meat
Sep-1999,1999,9,Average Weight in Pounds,Cattle,1210.0,Commercial,Live,Red Meat
Aug-1999,1999,8,Average Weight in Pounds,Cattle,1206.0,Commercial,Live,Red Meat
Jul-1999,1999,7,Average Weight in Pounds,Cattle,1206.0,Commercial,Live,Red Meat
Jun-1999,1999,6,Average Weight in Pounds,Cattle,1195.0,Commercial,Live,Red Meat
May-1999,1999,5,Average Weight in Pounds,Cattle,1188.0,Commercial,Live,Red Meat
