Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
Jan-2011,2011,1,Million Pounds,2122.9,Beef,Commercial,Red Meat
Dec-2010,2010,12,Million Pounds,2270.9,Beef,Commercial,Red Meat
Nov-2010,2010,11,Million Pounds,2235.5,Beef,Commercial,Red Meat
Oct-2010,2010,10,Million Pounds,2234.9,Beef,Commercial,Red Meat
Sep-2010,2010,9,Million Pounds,2252.2,Beef,Commercial,Red Meat
Aug-2010,2010,8,Million Pounds,2286.6,Beef,Commercial,Red Meat
Jul-2010,2010,7,Million Pounds,2229.6,Beef,Commercial,Red Meat
Jun-2010,2010,6,Million Pounds,2320.0,Beef,Commercial,Red Meat
May-2010,2010,5,Million Pounds,2087.2,Beef,Commercial,Red Meat
Apr-2010,2010,4,Million Pounds,2139.2,Beef,Commercial,Red Meat
Mar-2010,2010,3,Million Pounds,2211.2,Beef,Commercial,Red Meat
Feb-2010,2010,2,Million Pounds,1955.2,Beef,Commercial,Red Meat
Jan-2010,2010,1,Million Pounds,2081.8,Beef,Commercial,Red Meat
Dec-2009,2009,12,Million Pounds,2134.4,Beef,Commercial,Red Meat
Nov-2009,2009,11,Million Pounds,2016.1,Beef,Commercial,Red Meat
Oct-2009,2009,10,Million Pounds,2275.7,Beef,Commercial,Red Meat
Sep-2009,2009,9,Million Pounds,2234.1,Beef,Commercial,Red Meat
Aug-2009,2009,8,Million Pounds,2184.2,Beef,Commercial,Red Meat
Jul-2009,2009,7,Million Pounds,2271.2,Beef,Commercial,Red Meat
Jun-2009,2009,6,Million Pounds,2289.0,Beef,Commercial,Red Meat
May-2009,2009,5,Million Pounds,2179.4,Beef,Commercial,Red Meat
Apr-2009,2009,4,Million Pounds,2133.4,Beef,Commercial,Red Meat
Mar-2009,2009,3,Million Pounds,2144.0,Beef,Commercial,Red Meat
Feb-2009,2009,2,Million Pounds,1986.0,Beef,Commercial,Red Meat
Jan-2009,2009,1,Million Pounds,2117.9,Beef,Commercial,Red Meat
Dec-2008,2008,12,Million Pounds,2082.0,Beef,Commercial,Red Meat
Nov-2008,2008,11,Million Pounds,1959.3,Beef,Commercial,Red Meat
Oct-2008,2008,10,Million Pounds,2340.9,Beef,Commercial,Red Meat
Sep-2008,2008,9,Million Pounds,2269.9,Beef,Commercial,Red Meat
Aug-2008,2008,8,Million Pounds,2266.8,Beef,Commercial,Red Meat
Jul-2008,2008,7,Million Pounds,2371.6,Beef,Commercial,Red Meat
Jun-2008,2008,6,Million Pounds,2263.4,Beef,Commercial,Red Meat
May-2008,2008,5,Million Pounds,2380.1,Beef,Commercial,Red Meat
Apr-2008,2008,4,Million Pounds,2255.4,Beef,Commercial,Red Meat
Mar-2008,2008,3,Million Pounds,2100.5,Beef,Commercial,Red Meat
Feb-2008,2008,2,Million Pounds,2038.6,Beef,Commercial,Red Meat
Jan-2008,2008,1,Million Pounds,2232.7,Beef,Commercial,Red Meat
Dec-2007,2007,12,Million Pounds,2061.4,Beef,Commercial,Red Meat
Nov-2007,2007,11,Million Pounds,2228.8,Beef,Commercial,Red Meat
Oct-2007,2007,10,Million Pounds,2443.0,Beef,Commercial,Red Meat
Sep-2007,2007,9,Million Pounds,2094.7,Beef,Commercial,Red Meat
Aug-2007,2007,8,Million Pounds,2450.6,Beef,Commercial,Red Meat
Jul-2007,2007,7,Million Pounds,2256.7,Beef,Commercial,Red Meat
Jun-2007,2007,6,Million Pounds,2348.5,Beef,Commercial,Red Meat
May-2007,2007,5,Million Pounds,2285.1,Beef,Commercial,Red Meat
Apr-2007,2007,4,Million Pounds,2015.0,Beef,Commercial,Red Meat
Mar-2007,2007,3,Million Pounds,2118.2,Beef,Commercial,Red Meat
Feb-2007,2007,2,Million Pounds,1952.5,Beef,Commercial,Red Meat
Jan-2007,2007,1,Million Pounds,2166.0,Beef,Commercial,Red Meat
Dec-2006,2006,12,Million Pounds,2049.6,Beef,Commercial,Red Meat
Nov-2006,2006,11,Million Pounds,2226.6,Beef,Commercial,Red Meat
Oct-2006,2006,10,Million Pounds,2236.4,Beef,Commercial,Red Meat
Sep-2006,2006,9,Million Pounds,2169.9,Beef,Commercial,Red Meat
Aug-2006,2006,8,Million Pounds,2450.0,Beef,Commercial,Red Meat
Jul-2006,2006,7,Million Pounds,2213.6,Beef,Commercial,Red Meat
Jun-2006,2006,6,Million Pounds,2446.1,Beef,Commercial,Red Meat
May-2006,2006,5,Million Pounds,2309.0,Beef,Commercial,Red Meat
Apr-2006,2006,4,Million Pounds,1969.2,Beef,Commercial,Red Meat
Mar-2006,2006,3,Million Pounds,2203.7,Beef,Commercial,Red Meat
Feb-2006,2006,2,Million Pounds,1826.9,Beef,Commercial,Red Meat
Jan-2006,2006,1,Million Pounds,2051.0,Beef,Commercial,Red Meat
Dec-2005,2005,12,Million Pounds,2057.3,Beef,Commercial,Red Meat
Nov-2005,2005,11,Million Pounds,2071.3,Beef,Commercial,Red Meat
Oct-2005,2005,10,Million Pounds,2080.7,Beef,Commercial,Red Meat
Sep-2005,2005,9,Million Pounds,2158.0,Beef,Commercial,Red Meat
Aug-2005,2005,8,Million Pounds,2319.0,Beef,Commercial,Red Meat
Jul-2005,2005,7,Million Pounds,2082.8,Beef,Commercial,Red Meat
Jun-2005,2005,6,Million Pounds,2227.0,Beef,Commercial,Red Meat
May-2005,2005,5,Million Pounds,2074.0,Beef,Commercial,Red Meat
Apr-2005,2005,4,Million Pounds,1887.8,Beef,Commercial,Red Meat
Mar-2005,2005,3,Million Pounds,2041.7,Beef,Commercial,Red Meat
Feb-2005,2005,2,Million Pounds,1767.4,Beef,Commercial,Red Meat
Jan-2005,2005,1,Million Pounds,1915.6,Beef,Commercial,Red Meat
Dec-2004,2004,12,Million Pounds,2042.0,Beef,Commercial,Red Meat
Nov-2004,2004,11,Million Pounds,1941.0,Beef,Commercial,Red Meat
Oct-2004,2004,10,Million Pounds,2114.0,Beef,Commercial,Red Meat
Sep-2004,2004,9,Million Pounds,2105.0,Beef,Commercial,Red Meat
Aug-2004,2004,8,Million Pounds,2151.0,Beef,Commercial,Red Meat
Jul-2004,2004,7,Million Pounds,2104.0,Beef,Commercial,Red Meat
Jun-2004,2004,6,Million Pounds,2227.0,Beef,Commercial,Red Meat
May-2004,2004,5,Million Pounds,2070.0,Beef,Commercial,Red Meat
Apr-2004,2004,4,Million Pounds,1956.0,Beef,Commercial,Red Meat
Mar-2004,2004,3,Million Pounds,2108.0,Beef,Commercial,Red Meat
Feb-2004,2004,2,Million Pounds,1804.0,Beef,Commercial,Red Meat
Jan-2004,2004,1,Million Pounds,1926.0,Beef,Commercial,Red Meat
Dec-2003,2003,12,Million Pounds,1978.0,Beef,Commercial,Red Meat
Nov-2003,2003,11,Million Pounds,1783.0,Beef,Commercial,Red Meat
Oct-2003,2003,10,Million Pounds,2212.0,Beef,Commercial,Red Meat
Sep-2003,2003,9,Million Pounds,2314.0,Beef,Commercial,Red Meat
Aug-2003,2003,8,Million Pounds,2328.0,Beef,Commercial,Red Meat
Jul-2003,2003,7,Million Pounds,2439.0,Beef,Commercial,Red Meat
Jun-2003,2003,6,Million Pounds,2391.0,Beef,Commercial,Red Meat
May-2003,2003,5,Million Pounds,2360.0,Beef,Commercial,Red Meat
Apr-2003,2003,4,Million Pounds,2151.0,Beef,Commercial,Red Meat
Mar-2003,2003,3,Million Pounds,2048.0,Beef,Commercial,Red Meat
Feb-2003,2003,2,Million Pounds,1942.0,Beef,Commercial,Red Meat
Jan-2003,2003,1,Million Pounds,2291.0,Beef,Commercial,Red Meat
Dec-2002,2002,12,Million Pounds,2107.0,Beef,Commercial,Red Meat
Nov-2002,2002,11,Million Pounds,2164.0,Beef,Commercial,Red Meat
Oct-2002,2002,10,Million Pounds,2512.0,Beef,Commercial,Red Meat
Sep-2002,2002,9,Million Pounds,2201.0,Beef,Commercial,Red Meat
Aug-2002,2002,8,Million Pounds,2469.0,Beef,Commercial,Red Meat
Jul-2002,2002,7,Million Pounds,2427.0,Beef,Commercial,Red Meat
Jun-2002,2002,6,Million Pounds,2302.0,Beef,Commercial,Red Meat
May-2002,2002,5,Million Pounds,2336.0,Beef,Commercial,Red Meat
Apr-2002,2002,4,Million Pounds,2195.0,Beef,Commercial,Red Meat
Mar-2002,2002,3,Million Pounds,2059.0,Beef,Commercial,Red Meat
Feb-2002,2002,2,Million Pounds,1987.0,Beef,Commercial,Red Meat
Jan-2002,2002,1,Million Pounds,2331.0,Beef,Commercial,Red Meat
Dec-2001,2001,12,Million Pounds,2110.0,Beef,Commercial,Red Meat
Nov-2001,2001,11,Million Pounds,2201.0,Beef,Commercial,Red Meat
Oct-2001,2001,10,Million Pounds,2389.0,Beef,Commercial,Red Meat
Sep-2001,2001,9,Million Pounds,2121.0,Beef,Commercial,Red Meat
Aug-2001,2001,8,Million Pounds,2425.0,Beef,Commercial,Red Meat
Jul-2001,2001,7,Million Pounds,2177.0,Beef,Commercial,Red Meat
Jun-2001,2001,6,Million Pounds,2269.0,Beef,Commercial,Red Meat
May-2001,2001,5,Million Pounds,2294.0,Beef,Commercial,Red Meat
Apr-2001,2001,4,Million Pounds,1939.0,Beef,Commercial,Red Meat
Mar-2001,2001,3,Million Pounds,2096.0,Beef,Commercial,Red Meat
Feb-2001,2001,2,Million Pounds,1881.0,Beef,Commercial,Red Meat
Jan-2001,2001,1,Million Pounds,2205.0,Beef,Commercial,Red Meat
Dec-2000,2000,12,Million Pounds,1997.0,Beef,Commercial,Red Meat
Nov-2000,2000,11,Million Pounds,2169.0,Beef,Commercial,Red Meat
Oct-2000,2000,10,Million Pounds,2345.0,Beef,Commercial,Red Meat
Sep-2000,2000,9,Million Pounds,2275.0,Beef,Commercial,Red Meat
Aug-2000,2000,8,Million Pounds,2437.0,Beef,Commercial,Red Meat
Jul-2000,2000,7,Million Pounds,2202.0,Beef,Commercial,Red Meat
Jun-2000,2000,6,Million Pounds,2369.0,Beef,Commercial,Red Meat
May-2000,2000,5,Million Pounds,2303.0,Beef,Commercial,Red Meat
Apr-2000,2000,4,Million Pounds,2027.0,Beef,Commercial,Red Meat
Mar-2000,2000,3,Million Pounds,2300.0,Beef,Commercial,Red Meat
Feb-2000,2000,2,Million Pounds,2175.0,Beef,Commercial,Red Meat
Jan-2000,2000,1,Million Pounds,2178.0,Beef,Commercial,Red Meat
Dec-1999,1999,12,Million Pounds,2113.0,Beef,Commercial,Red Meat
Nov-1999,1999,11,Million Pounds,2144.0,Beef,Commercial,Red Meat
Oct-1999,1999,10,Million Pounds,2265.0,Beef,Commercial,Red Meat
Sep-1999,1999,9,Million Pounds,2275.0,Beef,Commercial,Red Meat
Aug-1999,1999,8,Million Pounds,2307.0,Beef,Commercial,Red Meat
Jul-1999,1999,7,Million Pounds,2256.0,Beef,Commercial,Red Meat
Jun-1999,1999,6,Million Pounds,2321.0,Beef,Commercial,Red Meat
May-1999,1999,5,Million Pounds,2151.0,Beef,Commercial,Red Meat
Apr-1999,1999,4,Million Pounds,2155.0,Beef,Commercial,Red Meat
Mar-1999,1999,3,Million Pounds,2231.0,Beef,Commercial,Red Meat
Feb-1999,1999,2,Million Pounds,1998.0,Beef,Commercial,Red Meat
Jan-1999,1999,1,Million Pounds,2170.0,Beef,Commercial,Red Meat
Dec-1998,1998,12,Million Pounds,2100.0,Beef,Commercial,Red Meat
Nov-1998,1998,11,Million Pounds,2003.0,Beef,Commercial,Red Meat
Oct-1998,1998,10,Million Pounds,2236.0,Beef,Commercial,Red Meat
Sep-1998,1998,9,Million Pounds,2197.0,Beef,Commercial,Red Meat
Aug-1998,1998,8,Million Pounds,2228.0,Beef,Commercial,Red Meat
Jul-1998,1998,7,Million Pounds,2213.0,Beef,Commercial,Red Meat
Jun-1998,1998,6,Million Pounds,2248.0,Beef,Commercial,Red Meat
May-1998,1998,5,Million Pounds,2123.0,Beef,Commercial,Red Meat
Apr-1998,1998,4,Million Pounds,2090.0,Beef,Commercial,Red Meat
Mar-1998,1998,3,Million Pounds,2081.0,Beef,Commercial,Red Meat
Feb-1998,1998,2,Million Pounds,1977.0,Beef,Commercial,Red Meat
Jan-1998,1998,1,Million Pounds,2157.0,Beef,Commercial,Red Meat
Dec-1997,1997,12,Million Pounds,2024.0,Beef,Commercial,Red Meat
Nov-1997,1997,11,Million Pounds,1934.0,Beef,Commercial,Red Meat
Oct-1997,1997,10,Million Pounds,2300.0,Beef,Commercial,Red Meat
Sep-1997,1997,9,Million Pounds,2126.0,Beef,Commercial,Red Meat
Aug-1997,1997,8,Million Pounds,2221.0,Beef,Commercial,Red Meat
Jul-1997,1997,7,Million Pounds,2256.0,Beef,Commercial,Red Meat
Jun-1997,1997,6,Million Pounds,2132.0,Beef,Commercial,Red Meat
May-1997,1997,5,Million Pounds,2189.0,Beef,Commercial,Red Meat
Apr-1997,1997,4,Million Pounds,2095.0,Beef,Commercial,Red Meat
Mar-1997,1997,3,Million Pounds,1966.0,Beef,Commercial,Red Meat
Feb-1997,1997,2,Million Pounds,1919.0,Beef,Commercial,Red Meat
Jan-1997,1997,1,Million Pounds,2222.0,Beef,Commercial,Red Meat
Dec-1996,1996,12,Million Pounds,1950.0,Beef,Commercial,Red Meat
Nov-1996,1996,11,Million Pounds,1955.0,Beef,Commercial,Red Meat
Oct-1996,1996,10,Million Pounds,2179.0,Beef,Commercial,Red Meat
Sep-1996,1996,9,Million Pounds,1934.0,Beef,Commercial,Red Meat
Aug-1996,1996,8,Million Pounds,2262.0,Beef,Commercial,Red Meat
Jul-1996,1996,7,Million Pounds,2194.0,Beef,Commercial,Red Meat
Jun-1996,1996,6,Million Pounds,2186.0,Beef,Commercial,Red Meat
May-1996,1996,5,Million Pounds,2302.0,Beef,Commercial,Red Meat
Apr-1996,1996,4,Million Pounds,2154.0,Beef,Commercial,Red Meat
Mar-1996,1996,3,Million Pounds,2035.0,Beef,Commercial,Red Meat
Feb-1996,1996,2,Million Pounds,2048.0,Beef,Commercial,Red Meat
Jan-1996,1996,1,Million Pounds,2220.0,Beef,Commercial,Red Meat
Dec-1995,1995,12,Million Pounds,1998.0,Beef,Commercial,Red Meat
Nov-1995,1995,11,Million Pounds,2098.0,Beef,Commercial,Red Meat
Oct-1995,1995,10,Million Pounds,2181.0,Beef,Commercial,Red Meat
Sep-1995,1995,9,Million Pounds,2220.0,Beef,Commercial,Red Meat
Aug-1995,1995,8,Million Pounds,2316.0,Beef,Commercial,Red Meat
Jul-1995,1995,7,Million Pounds,2089.0,Beef,Commercial,Red Meat
Jun-1995,1995,6,Million Pounds,2285.0,Beef,Commercial,Red Meat
May-1995,1995,5,Million Pounds,2186.0,Beef,Commercial,Red Meat
Apr-1995,1995,4,Million Pounds,1854.0,Beef,Commercial,Red Meat
Mar-1995,1995,3,Million Pounds,2067.0,Beef,Commercial,Red Meat
Feb-1995,1995,2,Million Pounds,1811.0,Beef,Commercial,Red Meat
Jan-1995,1995,1,Million Pounds,2010.0,Beef,Commercial,Red Meat
Dec-1994,1994,12,Million Pounds,2020.0,Beef,Commercial,Red Meat
Nov-1994,1994,11,Million Pounds,1978.0,Beef,Commercial,Red Meat
Oct-1994,1994,10,Million Pounds,2116.0,Beef,Commercial,Red Meat
Sep-1994,1994,9,Million Pounds,2135.0,Beef,Commercial,Red Meat
Aug-1994,1994,8,Million Pounds,2215.0,Beef,Commercial,Red Meat
Jul-1994,1994,7,Million Pounds,2027.0,Beef,Commercial,Red Meat
Jun-1994,1994,6,Million Pounds,2156.0,Beef,Commercial,Red Meat
May-1994,1994,5,Million Pounds,1985.0,Beef,Commercial,Red Meat
Apr-1994,1994,4,Million Pounds,1901.0,Beef,Commercial,Red Meat
Mar-1994,1994,3,Million Pounds,2001.0,Beef,Commercial,Red Meat
