,Unnamed: 0,Date,Year,Month,Unit,Animal,Weight,Type_Of_Meat
34,34,Feb-21,2021,2,Million Pounds,Beef,519.35,Red Meat
35,35,Jan-21,2021,1,Million Pounds,Beef,535.9,Red Meat
36,36,Dec-20,2020,12,Million Pounds,Beef,511.42,Red Meat
37,37,Nov-20,2020,11,Million Pounds,Beef,500.22,Red Meat
38,38,Oct-20,2020,10,Million Pounds,Beef,463.02,Red Meat
39,39,Sep-20,2020,9,Million Pounds,Beef,449.34,Red Meat
40,40,Aug-20,2020,8,Million Pounds,Beef,440.18,Red Meat
41,41,Jul-20,2020,7,Million Pounds,Beef,429.3,Red Meat
42,42,Jun-20,2020,6,Million Pounds,Beef,417.36,Red Meat
43,43,May-20,2020,5,Million Pounds,Beef,479.46,Red Meat
44,44,Apr-20,2020,4,Million Pounds,Beef,502.34,Red Meat
45,45,Mar-20,2020,3,Million Pounds,Beef,494.59,Red Meat
46,46,Feb-20,2020,2,Million Pounds,Beef,488.2,Red Meat
47,47,Jan-20,2020,1,Million Pounds,Beef,480.12,Red Meat
48,48,Dec-19,2019,12,Million Pounds,Beef,478.26,Red Meat
49,49,Nov-19,2019,11,Million Pounds,Beef,466.27,Red Meat
50,50,Oct-19,2019,10,Million Pounds,Beef,468.98,Red Meat
51,51,Sep-19,2019,9,Million Pounds,Beef,469.88,Red Meat
52,52,Aug-19,2019,8,Million Pounds,Beef,454.46,Red Meat
53,53,Jul-19,2019,7,Million Pounds,Beef,405.65,Red Meat
54,54,Jun-19,2019,6,Million Pounds,Beef,405.15,Red Meat
55,55,May-19,2019,5,Million Pounds,Beef,430.22,Red Meat
56,56,Apr-19,2019,4,Million Pounds,Beef,451.94,Red Meat
57,57,Mar-19,2019,3,Million Pounds,Beef,473.98,Red Meat
58,58,Feb-19,2019,2,Million Pounds,Beef,510.21,Red Meat
59,59,Jan-19,2019,1,Million Pounds,Beef,495.62,Red Meat
60,60,Dec-18,2018,12,Million Pounds,Beef,514.7,Red Meat
61,61,Nov-18,2018,11,Million Pounds,Beef,515.57,Red Meat
62,62,Oct-18,2018,10,Million Pounds,Beef,507.17,Red Meat
63,63,Sep-18,2018,9,Million Pounds,Beef,501.32,Red Meat
64,64,Aug-18,2018,8,Million Pounds,Beef,484.25,Red Meat
65,65,Jul-18,2018,7,Million Pounds,Beef,448.59,Red Meat
66,66,Jun-18,2018,6,Million Pounds,Beef,464.65,Red Meat
67,67,May-18,2018,5,Million Pounds,Beef,471.16,Red Meat
68,68,Apr-18,2018,4,Million Pounds,Beef,463.96,Red Meat
69,69,Mar-18,2018,3,Million Pounds,Beef,459.34,Red Meat
70,70,Feb-18,2018,2,Million Pounds,Beef,501.74,Red Meat
71,71,Jan-18,2018,1,Million Pounds,Beef,488.06,Red Meat
72,72,Dec-17,2017,12,Million Pounds,Beef,485.19,Red Meat
73,73,Nov-17,2017,11,Million Pounds,Beef,507.04,Red Meat
74,74,Oct-17,2017,10,Million Pounds,Beef,496.02,Red Meat
75,75,Sep-17,2017,9,Million Pounds,Beef,476.57,Red Meat
76,76,Aug-17,2017,8,Million Pounds,Beef,431.84,Red Meat
77,77,Jul-17,2017,7,Million Pounds,Beef,415.33,Red Meat
78,78,Jun-17,2017,6,Million Pounds,Beef,411.5,Red Meat
79,79,May-17,2017,5,Million Pounds,Beef,458.42,Red Meat
80,80,Apr-17,2017,4,Million Pounds,Beef,464,Red Meat
81,81,Mar-17,2017,3,Million Pounds,Beef,502.45,Red Meat
82,82,Feb-17,2017,2,Million Pounds,Beef,538.22,Red Meat
83,83,Jan-17,2017,1,Million Pounds,Beef,567.89,Red Meat
84,84,Dec-16,2016,12,Million Pounds,Beef,530.95,Red Meat
85,85,Nov-16,2016,11,Million Pounds,Beef,533.07,Red Meat
86,86,Oct-16,2016,10,Million Pounds,Beef,519.02,Red Meat
87,87,Sep-16,2016,9,Million Pounds,Beef,476.59,Red Meat
88,88,Aug-16,2016,8,Million Pounds,Beef,469.74,Red Meat
89,89,Jul-16,2016,7,Million Pounds,Beef,464.53,Red Meat
90,90,Jun-16,2016,6,Million Pounds,Beef,461.68,Red Meat
91,91,May-16,2016,5,Million Pounds,Beef,467.8,Red Meat
92,92,Apr-16,2016,4,Million Pounds,Beef,481.76,Red Meat
93,93,Mar-16,2016,3,Million Pounds,Beef,506.36,Red Meat
94,94,Feb-16,2016,2,Million Pounds,Beef,534.11,Red Meat
95,95,Jan-16,2016,1,Million Pounds,Beef,512.52,Red Meat
96,96,Dec-15,2015,12,Million Pounds,Beef,510.64,Red Meat
97,97,Nov-15,2015,11,Million Pounds,Beef,509.13,Red Meat
98,98,Oct-15,2015,10,Million Pounds,Beef,498.35,Red Meat
99,99,Sep-15,2015,9,Million Pounds,Beef,470.32,Red Meat
100,100,Aug-15,2015,8,Million Pounds,Beef,460.09,Red Meat
101,101,Jul-15,2015,7,Million Pounds,Beef,474.27,Red Meat
102,102,Jun-15,2015,6,Million Pounds,Beef,474.61,Red Meat
103,103,May-15,2015,5,Million Pounds,Beef,484.29,Red Meat
104,104,Apr-15,2015,4,Million Pounds,Beef,481.47,Red Meat
105,105,Mar-15,2015,3,Million Pounds,Beef,491.88,Red Meat
106,106,Feb-15,2015,2,Million Pounds,Beef,492,Red Meat
107,107,Jan-15,2015,1,Million Pounds,Beef,444.38,Red Meat
108,108,Dec-14,2014,12,Million Pounds,Beef,400.83,Red Meat
109,109,Nov-14,2014,11,Million Pounds,Beef,380.93,Red Meat
110,110,Oct-14,2014,10,Million Pounds,Beef,378.17,Red Meat
111,111,Sep-14,2014,9,Million Pounds,Beef,346.56,Red Meat
112,112,Aug-14,2014,8,Million Pounds,Beef,367.94,Red Meat
113,113,Jul-14,2014,7,Million Pounds,Beef,358.17,Red Meat
114,114,Jun-14,2014,6,Million Pounds,Beef,377.64,Red Meat
115,115,May-14,2014,5,Million Pounds,Beef,402.28,Red Meat
116,116,Apr-14,2014,4,Million Pounds,Beef,405.79,Red Meat
117,117,Mar-14,2014,3,Million Pounds,Beef,409.51,Red Meat
118,118,Feb-14,2014,2,Million Pounds,Beef,429.3,Red Meat
119,119,Jan-14,2014,1,Million Pounds,Beef,439.37,Red Meat
120,120,Dec-13,2013,12,Million Pounds,Beef,450.76,Red Meat
121,121,Nov-13,2013,11,Million Pounds,Beef,440.11,Red Meat
122,122,Oct-13,2013,10,Million Pounds,Beef,445.16,Red Meat
123,123,Sep-13,2013,9,Million Pounds,Beef,430.24,Red Meat
124,124,Aug-13,2013,8,Million Pounds,Beef,462.6,Red Meat
125,125,Jul-13,2013,7,Million Pounds,Beef,481.25,Red Meat
126,126,Jun-13,2013,6,Million Pounds,Beef,482.57,Red Meat
127,127,May-13,2013,5,Million Pounds,Beef,510.13,Red Meat
128,128,Apr-13,2013,4,Million Pounds,Beef,511.23,Red Meat
129,129,Mar-13,2013,3,Million Pounds,Beef,489.98,Red Meat
130,130,Feb-13,2013,2,Million Pounds,Beef,484.61,Red Meat
131,131,Jan-13,2013,1,Million Pounds,Beef,465.72,Red Meat
132,132,Dec-12,2012,12,Million Pounds,Beef,441.76,Red Meat
133,133,Nov-12,2012,11,Million Pounds,Beef,430.34,Red Meat
134,134,Oct-12,2012,10,Million Pounds,Beef,424.93,Red Meat
135,135,Sep-12,2012,9,Million Pounds,Beef,432.78,Red Meat
136,136,Aug-12,2012,8,Million Pounds,Beef,461.05,Red Meat
137,137,Jul-12,2012,7,Million Pounds,Beef,468.73,Red Meat
138,138,Jun-12,2012,6,Million Pounds,Beef,497.9,Red Meat
139,139,May-12,2012,5,Million Pounds,Beef,517.85,Red Meat
140,140,Apr-12,2012,4,Million Pounds,Beef,503.17,Red Meat
141,141,Mar-12,2012,3,Million Pounds,Beef,470.81,Red Meat
142,142,Feb-12,2012,2,Million Pounds,Beef,485.06,Red Meat
143,143,Jan-12,2012,1,Million Pounds,Beef,457.22,Red Meat
144,144,Dec-11,2011,12,Million Pounds,Beef,443.76,Red Meat
145,145,Nov-11,2011,11,Million Pounds,Beef,416.95,Red Meat
146,146,Oct-11,2011,10,Million Pounds,Beef,427.59,Red Meat
147,147,Sep-11,2011,9,Million Pounds,Beef,428.63,Red Meat
148,148,Aug-11,2011,8,Million Pounds,Beef,415.2,Red Meat
149,149,Jul-11,2011,7,Million Pounds,Beef,432.76,Red Meat
150,150,Jun-11,2011,6,Million Pounds,Beef,447.64,Red Meat
151,151,May-11,2011,5,Million Pounds,Beef,443.15,Red Meat
152,152,Apr-11,2011,4,Million Pounds,Beef,445.53,Red Meat
153,153,Mar-11,2011,3,Million Pounds,Beef,459.83,Red Meat
154,154,Feb-11,2011,2,Million Pounds,Beef,461.73,Red Meat
155,155,Jan-11,2011,1,Million Pounds,Beef,444.96,Red Meat
156,156,Dec-10,2010,12,Million Pounds,Beef,435.17,Red Meat
157,157,Nov-10,2010,11,Million Pounds,Beef,414.65,Red Meat
158,158,Oct-10,2010,10,Million Pounds,Beef,396.82,Red Meat
159,159,Sep-10,2010,9,Million Pounds,Beef,387.44,Red Meat
160,160,Aug-10,2010,8,Million Pounds,Beef,388.8,Red Meat
161,161,Jul-10,2010,7,Million Pounds,Beef,374.22,Red Meat
162,162,Jun-10,2010,6,Million Pounds,Beef,362.78,Red Meat
163,163,May-10,2010,5,Million Pounds,Beef,369.49,Red Meat
164,164,Apr-10,2010,4,Million Pounds,Beef,384.6,Red Meat
165,165,Mar-10,2010,3,Million Pounds,Beef,404.51,Red Meat
166,166,Feb-10,2010,2,Million Pounds,Beef,426.26,Red Meat
167,167,Jan-10,2010,1,Million Pounds,Beef,430.28,Red Meat
168,168,Dec-09,2009,12,Million Pounds,Beef,430.91,Red Meat
169,169,Nov-09,2009,11,Million Pounds,Beef,427.72,Red Meat
170,170,Oct-09,2009,10,Million Pounds,Beef,428.91,Red Meat
171,171,Sep-09,2009,9,Million Pounds,Beef,420.1,Red Meat
172,172,Aug-09,2009,8,Million Pounds,Beef,444.81,Red Meat
173,173,Jul-09,2009,7,Million Pounds,Beef,434.8,Red Meat
174,174,Jun-09,2009,6,Million Pounds,Beef,417.88,Red Meat
175,175,May-09,2009,5,Million Pounds,Beef,410.71,Red Meat
176,176,Apr-09,2009,4,Million Pounds,Beef,425.88,Red Meat
177,177,Mar-09,2009,3,Million Pounds,Beef,434.51,Red Meat
178,178,Feb-09,2009,2,Million Pounds,Beef,462.65,Red Meat
179,179,Jan-09,2009,1,Million Pounds,Beef,492.64,Red Meat
180,180,Dec-08,2008,12,Million Pounds,Beef,481.56,Red Meat
181,181,Nov-08,2008,11,Million Pounds,Beef,470.98,Red Meat
182,182,Oct-08,2008,10,Million Pounds,Beef,454.52,Red Meat
183,183,Sep-08,2008,9,Million Pounds,Beef,441.15,Red Meat
184,184,Aug-08,2008,8,Million Pounds,Beef,430.82,Red Meat
185,185,Jul-08,2008,7,Million Pounds,Beef,428.12,Red Meat
186,186,Jun-08,2008,6,Million Pounds,Beef,420.37,Red Meat
187,187,May-08,2008,5,Million Pounds,Beef,416.35,Red Meat
188,188,Apr-08,2008,4,Million Pounds,Beef,426.71,Red Meat
189,189,Mar-08,2008,3,Million Pounds,Beef,436.55,Red Meat
190,190,Feb-08,2008,2,Million Pounds,Beef,450.78,Red Meat
191,191,Jan-08,2008,1,Million Pounds,Beef,482.51,Red Meat
192,192,Dec-07,2007,12,Million Pounds,Beef,475.31,Red Meat
193,193,Nov-07,2007,11,Million Pounds,Beef,488.03,Red Meat
194,194,Oct-07,2007,10,Million Pounds,Beef,486.72,Red Meat
195,195,Sep-07,2007,9,Million Pounds,Beef,480.94,Red Meat
196,196,Aug-07,2007,8,Million Pounds,Beef,467.73,Red Meat
197,197,Jul-07,2007,7,Million Pounds,Beef,430.32,Red Meat
198,198,Jun-07,2007,6,Million Pounds,Beef,411.48,Red Meat
199,199,May-07,2007,5,Million Pounds,Beef,417.26,Red Meat
200,200,Apr-07,2007,4,Million Pounds,Beef,427.19,Red Meat
201,201,Mar-07,2007,3,Million Pounds,Beef,458.9,Red Meat
202,202,Feb-07,2007,2,Million Pounds,Beef,470.57,Red Meat
203,203,Jan-07,2007,1,Million Pounds,Beef,482.08,Red Meat
204,204,Dec-06,2006,12,Million Pounds,Beef,520.33,Red Meat
205,205,Nov-06,2006,11,Million Pounds,Beef,485.71,Red Meat
206,206,Oct-06,2006,10,Million Pounds,Beef,491.92,Red Meat
207,207,Sep-06,2006,9,Million Pounds,Beef,484.5,Red Meat
208,208,Aug-06,2006,8,Million Pounds,Beef,479.22,Red Meat
209,209,Jul-06,2006,7,Million Pounds,Beef,449.11,Red Meat
210,210,Jun-06,2006,6,Million Pounds,Beef,446.28,Red Meat
211,211,May-06,2006,5,Million Pounds,Beef,441.27,Red Meat
212,212,Apr-06,2006,4,Million Pounds,Beef,436.16,Red Meat
213,213,Mar-06,2006,3,Million Pounds,Beef,440.56,Red Meat
214,214,Feb-06,2006,2,Million Pounds,Beef,465.88,Red Meat
215,215,Jan-06,2006,1,Million Pounds,Beef,434.44,Red Meat
216,216,Dec-05,2005,12,Million Pounds,Beef,429.89,Red Meat
217,217,Nov-05,2005,11,Million Pounds,Beef,439.19,Red Meat
218,218,Oct-05,2005,10,Million Pounds,Beef,438.75,Red Meat
219,219,Sep-05,2005,9,Million Pounds,Beef,410.59,Red Meat
220,220,Aug-05,2005,8,Million Pounds,Beef,385.25,Red Meat
221,221,Jul-05,2005,7,Million Pounds,Beef,342.11,Red Meat
222,222,Jun-05,2005,6,Million Pounds,Beef,318.19,Red Meat
223,223,May-05,2005,5,Million Pounds,Beef,329.43,Red Meat
224,224,Apr-05,2005,4,Million Pounds,Beef,372.32,Red Meat
225,225,Mar-05,2005,3,Million Pounds,Beef,400.24,Red Meat
226,226,Feb-05,2005,2,Million Pounds,Beef,453.26,Red Meat
227,227,Jan-05,2005,1,Million Pounds,Beef,484.28,Red Meat
228,228,Dec-04,2004,12,Million Pounds,Beef,463.3,Red Meat
229,229,Nov-04,2004,11,Million Pounds,Beef,452.59,Red Meat
230,230,Oct-04,2004,10,Million Pounds,Beef,457.24,Red Meat
231,231,Sep-04,2004,9,Million Pounds,Beef,445.99,Red Meat
232,232,Aug-04,2004,8,Million Pounds,Beef,427.05,Red Meat
233,233,Jul-04,2004,7,Million Pounds,Beef,411.77,Red Meat
234,234,Jun-04,2004,6,Million Pounds,Beef,402.82,Red Meat
235,235,May-04,2004,5,Million Pounds,Beef,421.18,Red Meat
236,236,Apr-04,2004,4,Million Pounds,Beef,416.77,Red Meat
237,237,Mar-04,2004,3,Million Pounds,Beef,435.03,Red Meat
238,238,Feb-04,2004,2,Million Pounds,Beef,434.35,Red Meat
239,239,Jan-04,2004,1,Million Pounds,Beef,395.08,Red Meat
240,240,Dec-03,2003,12,Million Pounds,Beef,373.77,Red Meat
241,241,Nov-03,2003,11,Million Pounds,Beef,375.17,Red Meat
242,242,Oct-03,2003,10,Million Pounds,Beef,379.83,Red Meat
243,243,Sep-03,2003,9,Million Pounds,Beef,370.99,Red Meat
244,244,Aug-03,2003,8,Million Pounds,Beef,368.25,Red Meat
245,245,Jul-03,2003,7,Million Pounds,Beef,371.48,Red Meat
246,246,Jun-03,2003,6,Million Pounds,Beef,385.12,Red Meat
247,247,May-03,2003,5,Million Pounds,Beef,389.65,Red Meat
248,248,Apr-03,2003,4,Million Pounds,Beef,403.15,Red Meat
249,249,Mar-03,2003,3,Million Pounds,Beef,441.86,Red Meat
250,250,Feb-03,2003,2,Million Pounds,Beef,482.42,Red Meat
251,251,Jan-03,2003,1,Million Pounds,Beef,524.64,Red Meat
252,252,Dec-02,2002,12,Million Pounds,Beef,512.57,Red Meat
253,253,Nov-02,2002,11,Million Pounds,Beef,525.17,Red Meat
254,254,Oct-02,2002,10,Million Pounds,Beef,494.91,Red Meat
255,255,Sep-02,2002,9,Million Pounds,Beef,461.76,Red Meat
256,256,Aug-02,2002,8,Million Pounds,Beef,416.53,Red Meat
257,257,Jul-02,2002,7,Million Pounds,Beef,396.87,Red Meat
258,258,Jun-02,2002,6,Million Pounds,Beef,401.76,Red Meat
259,259,May-02,2002,5,Million Pounds,Beef,405.74,Red Meat
260,260,Apr-02,2002,4,Million Pounds,Beef,410.49,Red Meat
261,261,Mar-02,2002,3,Million Pounds,Beef,439.03,Red Meat
262,262,Feb-02,2002,2,Million Pounds,Beef,455.45,Red Meat
263,263,Jan-02,2002,1,Million Pounds,Beef,460.74,Red Meat
264,264,Dec-01,2001,12,Million Pounds,Beef,427.55,Red Meat
265,265,Nov-01,2001,11,Million Pounds,Beef,395.12,Red Meat
266,266,Oct-01,2001,10,Million Pounds,Beef,382.77,Red Meat
267,267,Sep-01,2001,9,Million Pounds,Beef,373.21,Red Meat
268,268,Aug-01,2001,8,Million Pounds,Beef,351.36,Red Meat
269,269,Jul-01,2001,7,Million Pounds,Beef,340.79,Red Meat
270,270,Jun-01,2001,6,Million Pounds,Beef,325.15,Red Meat
271,271,May-01,2001,5,Million Pounds,Beef,315.34,Red Meat
272,272,Apr-01,2001,4,Million Pounds,Beef,332.6,Red Meat
273,273,Mar-01,2001,3,Million Pounds,Beef,360.21,Red Meat
274,274,Feb-01,2001,2,Million Pounds,Beef,410.89,Red Meat
275,275,Jan-01,2001,1,Million Pounds,Beef,401.72,Red Meat
276,276,Dec-00,2000,12,Million Pounds,Beef,411.84,Red Meat
277,277,Nov-00,2000,11,Million Pounds,Beef,404.39,Red Meat
278,278,Oct-00,2000,10,Million Pounds,Beef,405.7,Red Meat
279,279,Sep-00,2000,9,Million Pounds,Beef,398.8,Red Meat
280,280,Aug-00,2000,8,Million Pounds,Beef,391.53,Red Meat
281,281,Jul-00,2000,7,Million Pounds,Beef,405.06,Red Meat
282,282,Jun-00,2000,6,Million Pounds,Beef,401.09,Red Meat
283,283,May-00,2000,5,Million Pounds,Beef,396.13,Red Meat
284,284,Apr-00,2000,4,Million Pounds,Beef,378.15,Red Meat
285,285,Mar-00,2000,3,Million Pounds,Beef,369.04,Red Meat
286,286,Feb-00,2000,2,Million Pounds,Beef,350.95,Red Meat
287,287,Jan-00,2000,1,Million Pounds,Beef,314.16,Red Meat
288,288,Dec-99,1999,12,Million Pounds,Beef,308.94,Red Meat
289,289,Nov-99,1999,11,Million Pounds,Beef,322.47,Red Meat
290,290,Oct-99,1999,10,Million Pounds,Beef,294.37,Red Meat
291,291,Sep-99,1999,9,Million Pounds,Beef,377.87,Red Meat
292,292,Aug-99,1999,8,Million Pounds,Beef,292.72,Red Meat
293,293,Jul-99,1999,7,Million Pounds,Beef,293.12,Red Meat
294,294,Jun-99,1999,6,Million Pounds,Beef,306.74,Red Meat
295,295,May-99,1999,5,Million Pounds,Beef,316.76,Red Meat
296,296,Apr-99,1999,4,Million Pounds,Beef,309.19,Red Meat
297,297,Mar-99,1999,3,Million Pounds,Beef,300.09,Red Meat
298,298,Feb-99,1999,2,Million Pounds,Beef,301.1,Red Meat
299,299,Jan-99,1999,1,Million Pounds,Beef,296.42,Red Meat
300,300,Dec-98,1998,12,Million Pounds,Beef,328.18,Red Meat
301,301,Nov-98,1998,11,Million Pounds,Beef,358.23,Red Meat
302,302,Oct-98,1998,10,Million Pounds,Beef,323.06,Red Meat
303,303,Sep-98,1998,9,Million Pounds,Beef,306.75,Red Meat
304,304,Aug-98,1998,8,Million Pounds,Beef,303,Red Meat
305,305,Jul-98,1998,7,Million Pounds,Beef,316.49,Red Meat
306,306,Jun-98,1998,6,Million Pounds,Beef,310.22,Red Meat
307,307,May-98,1998,5,Million Pounds,Beef,335.45,Red Meat
308,308,Apr-98,1998,4,Million Pounds,Beef,329.65,Red Meat
309,309,Mar-98,1998,3,Million Pounds,Beef,334.95,Red Meat
310,310,Feb-98,1998,2,Million Pounds,Beef,331.08,Red Meat
311,311,Jan-98,1998,1,Million Pounds,Beef,350.16,Red Meat
312,312,Dec-97,1997,12,Million Pounds,Beef,378.16,Red Meat
313,313,Nov-97,1997,11,Million Pounds,Beef,351.56,Red Meat
314,314,Oct-97,1997,10,Million Pounds,Beef,349.09,Red Meat
315,315,Sep-97,1997,9,Million Pounds,Beef,324.56,Red Meat
316,316,Aug-97,1997,8,Million Pounds,Beef,302.79,Red Meat
317,317,Jul-97,1997,7,Million Pounds,Beef,305.57,Red Meat
318,318,Jun-97,1997,6,Million Pounds,Beef,278.74,Red Meat
319,319,May-97,1997,5,Million Pounds,Beef,285.45,Red Meat
320,320,Apr-97,1997,4,Million Pounds,Beef,290.42,Red Meat
321,321,Mar-97,1997,3,Million Pounds,Beef,261.7,Red Meat
322,322,Feb-97,1997,2,Million Pounds,Beef,290.3,Red Meat
323,323,Jan-97,1997,1,Million Pounds,Beef,284.94,Red Meat
324,324,Dec-96,1996,12,Million Pounds,Beef,288.02,Red Meat
325,325,Nov-96,1996,11,Million Pounds,Beef,295.94,Red Meat
326,326,Oct-96,1996,10,Million Pounds,Beef,312.18,Red Meat
327,327,Sep-96,1996,9,Million Pounds,Beef,305.2,Red Meat
328,328,Aug-96,1996,8,Million Pounds,Beef,291.14,Red Meat
329,329,Jul-96,1996,7,Million Pounds,Beef,306.68,Red Meat
330,330,Jun-96,1996,6,Million Pounds,Beef,307.37,Red Meat
331,331,May-96,1996,5,Million Pounds,Beef,335.56,Red Meat
332,332,Apr-96,1996,4,Million Pounds,Beef,347.28,Red Meat
333,333,Mar-96,1996,3,Million Pounds,Beef,362.62,Red Meat
334,334,Feb-96,1996,2,Million Pounds,Beef,367.89,Red Meat
335,335,Jan-96,1996,1,Million Pounds,Beef,389.63,Red Meat
336,336,Dec-95,1995,12,Million Pounds,Beef,381.39,Red Meat
337,337,Nov-95,1995,11,Million Pounds,Beef,381.56,Red Meat
338,338,Oct-95,1995,10,Million Pounds,Beef,347.7,Red Meat
339,339,Sep-95,1995,9,Million Pounds,Beef,344.85,Red Meat
340,340,Aug-95,1995,8,Million Pounds,Beef,359.3,Red Meat
341,341,Jul-95,1995,7,Million Pounds,Beef,352.27,Red Meat
342,342,Jun-95,1995,6,Million Pounds,Beef,359.09,Red Meat
343,343,May-95,1995,5,Million Pounds,Beef,392.18,Red Meat
344,344,Apr-95,1995,4,Million Pounds,Beef,384.48,Red Meat
345,345,Mar-95,1995,3,Million Pounds,Beef,407.74,Red Meat
346,346,Feb-95,1995,2,Million Pounds,Beef,420.32,Red Meat
347,347,Jan-95,1995,1,Million Pounds,Beef,411.19,Red Meat
348,348,Dec-94,1994,12,Million Pounds,Beef,419.47,Red Meat
349,349,Nov-94,1994,11,Million Pounds,Beef,410.58,Red Meat
350,350,Oct-94,1994,10,Million Pounds,Beef,406.78,Red Meat
351,351,Sep-94,1994,9,Million Pounds,Beef,377.23,Red Meat
352,352,Aug-94,1994,8,Million Pounds,Beef,388.88,Red Meat
353,353,Jul-94,1994,7,Million Pounds,Beef,379.39,Red Meat
354,354,Jun-94,1994,6,Million Pounds,Beef,367.86,Red Meat
355,355,May-94,1994,5,Million Pounds,Beef,399.54,Red Meat
356,356,Apr-94,1994,4,Million Pounds,Beef,423.2,Red Meat
357,357,Mar-94,1994,3,Million Pounds,Beef,414.42,Red Meat
358,358,Feb-94,1994,2,Million Pounds,Beef,430.24,Red Meat
359,359,Jan-94,1994,1,Million Pounds,Beef,400.98,Red Meat
360,360,Dec-93,1993,12,Million Pounds,Beef,376.34,Red Meat
361,361,Nov-93,1993,11,Million Pounds,Beef,344.42,Red Meat
362,362,Oct-93,1993,10,Million Pounds,Beef,326.83,Red Meat
363,363,Sep-93,1993,9,Million Pounds,Beef,307.47,Red Meat
364,364,Aug-93,1993,8,Million Pounds,Beef,285.31,Red Meat
365,365,Jul-93,1993,7,Million Pounds,Beef,271.74,Red Meat
366,366,Jun-93,1993,6,Million Pounds,Beef,262.14,Red Meat
367,367,May-93,1993,5,Million Pounds,Beef,276.7,Red Meat
368,368,Apr-93,1993,4,Million Pounds,Beef,293.9,Red Meat
369,369,Mar-93,1993,3,Million Pounds,Beef,279.92,Red Meat
370,370,Feb-93,1993,2,Million Pounds,Beef,286.38,Red Meat
371,371,Jan-93,1993,1,Million Pounds,Beef,272.77,Red Meat
372,372,Dec-92,1992,12,Million Pounds,Beef,275.92,Red Meat
373,373,Nov-92,1992,11,Million Pounds,Beef,291.22,Red Meat
374,374,Oct-92,1992,10,Million Pounds,Beef,275.21,Red Meat
375,375,Sep-92,1992,9,Million Pounds,Beef,288.93,Red Meat
376,376,Aug-92,1992,8,Million Pounds,Beef,294.1,Red Meat
377,377,Jul-92,1992,7,Million Pounds,Beef,299.38,Red Meat
378,378,Jun-92,1992,6,Million Pounds,Beef,303.55,Red Meat
379,379,May-92,1992,5,Million Pounds,Beef,302.06,Red Meat
380,380,Apr-92,1992,4,Million Pounds,Beef,313.75,Red Meat
381,381,Mar-92,1992,3,Million Pounds,Beef,298.87,Red Meat
382,382,Feb-92,1992,2,Million Pounds,Beef,329.09,Red Meat
383,383,Jan-92,1992,1,Million Pounds,Beef,315.89,Red Meat
384,384,Dec-91,1991,12,Million Pounds,Beef,306.33,Red Meat
385,385,Nov-91,1991,11,Million Pounds,Beef,298.15,Red Meat
386,386,Oct-91,1991,10,Million Pounds,Beef,276.71,Red Meat
387,387,Sep-91,1991,9,Million Pounds,Beef,259.42,Red Meat
