"","Date","Year","Month","Animal","Weight","Commercial_Or_Federally_Inspected","Live_Or_Dressed","Type_Of_Meat"
"72","Jan-2018",2018,1,"Cattle","1,377.00","Commercial","Live","Red Meat"
"73","Dec-2017",2017,12,"Cattle","1,380.00","Commercial","Live","Red Meat"
"74","Nov-2017",2017,11,"Cattle","1,374.00","Commercial","Live","Red Meat"
"75","Oct-2017",2017,10,"Cattle","1,361.00","Commercial","Live","Red Meat"
"76","Sep-2017",2017,9,"Cattle","1,359.00","Commercial","Live","Red Meat"
"77","Aug-2017",2017,8,"Cattle","1,345.00","Commercial","Live","Red Meat"
"78","Jul-2017",2017,7,"Cattle","1,333.00","Commercial","Live","Red Meat"
"79","Jun-2017",2017,6,"Cattle","1,321.00","Commercial","Live","Red Meat"
"80","May-2017",2017,5,"Cattle","1,307.00","Commercial","Live","Red Meat"
"81","Apr-2017",2017,4,"Cattle","1,325.00","Commercial","Live","Red Meat"
"82","Mar-2017",2017,3,"Cattle","1,350.00","Commercial","Live","Red Meat"
"83","Feb-2017",2017,2,"Cattle","1,361.00","Commercial","Live","Red Meat"
"84","Jan-2017",2017,1,"Cattle","1,370.00","Commercial","Live","Red Meat"
"85","Dec-2016",2016,12,"Cattle","1,381.00","Commercial","Live","Red Meat"
"86","Nov-2016",2016,11,"Cattle","1,384.00","Commercial","Live","Red Meat"
"87","Oct-2016",2016,10,"Cattle","1,381.00","Commercial","Live","Red Meat"
"88","Sep-2016",2016,9,"Cattle","1,370.00","Commercial","Live","Red Meat"
"89","Aug-2016",2016,8,"Cattle","1,352.00","Commercial","Live","Red Meat"
"90","Jul-2016",2016,7,"Cattle","1,345.00","Commercial","Live","Red Meat"
"91","Jun-2016",2016,6,"Cattle","1,334.00","Commercial","Live","Red Meat"
"92","May-2016",2016,5,"Cattle","1,333.00","Commercial","Live","Red Meat"
"93","Apr-2016",2016,4,"Cattle","1,348.00","Commercial","Live","Red Meat"
"94","Mar-2016",2016,3,"Cattle","1,370.00","Commercial","Live","Red Meat"
"95","Feb-2016",2016,2,"Cattle","1,372.00","Commercial","Live","Red Meat"
"96","Jan-2016",2016,1,"Cattle","1,381.00","Commercial","Live","Red Meat"
"97","Dec-2015",2015,12,"Cattle","1,388.00","Commercial","Live","Red Meat"
"98","Nov-2015",2015,11,"Cattle","1,392.00","Commercial","Live","Red Meat"
"99","Oct-2015",2015,10,"Cattle","1,390.00","Commercial","Live","Red Meat"
"100","Sep-2015",2015,9,"Cattle","1,382.00","Commercial","Live","Red Meat"
"101","Aug-2015",2015,8,"Cattle","1,363.00","Commercial","Live","Red Meat"
"102","Jul-2015",2015,7,"Cattle","1,346.00","Commercial","Live","Red Meat"
"103","Jun-2015",2015,6,"Cattle","1,332.00","Commercial","Live","Red Meat"
"104","May-2015",2015,5,"Cattle","1,332.00","Commercial","Live","Red Meat"
"105","Apr-2015",2015,4,"Cattle","1,338.00","Commercial","Live","Red Meat"
"106","Mar-2015",2015,3,"Cattle","1,347.00","Commercial","Live","Red Meat"
"107","Feb-2015",2015,2,"Cattle","1,355.00","Commercial","Live","Red Meat"
"108","Jan-2015",2015,1,"Cattle","1,358.00","Commercial","Live","Red Meat"
"109","Dec-2014",2014,12,"Cattle","1,363.00","Commercial","Live","Red Meat"
"110","Nov-2014",2014,11,"Cattle","1,363.00","Commercial","Live","Red Meat"
"111","Oct-2014",2014,10,"Cattle","1,355.00","Commercial","Live","Red Meat"
"112","Sep-2014",2014,9,"Cattle","1,344.00","Commercial","Live","Red Meat"
"113","Aug-2014",2014,8,"Cattle","1,329.00","Commercial","Live","Red Meat"
"114","Jul-2014",2014,7,"Cattle","1,320.00","Commercial","Live","Red Meat"
"115","Jun-2014",2014,6,"Cattle","1,307.00","Commercial","Live","Red Meat"
"116","May-2014",2014,5,"Cattle","1,299.00","Commercial","Live","Red Meat"
"117","Apr-2014",2014,4,"Cattle","1,306.00","Commercial","Live","Red Meat"
"118","Mar-2014",2014,3,"Cattle","1,318.00","Commercial","Live","Red Meat"
"119","Feb-2014",2014,2,"Cattle","1,330.00","Commercial","Live","Red Meat"
"120","Jan-2014",2014,1,"Cattle","1,334.00","Commercial","Live","Red Meat"
"121","Dec-2013",2013,12,"Cattle","1,334.00","Commercial","Live","Red Meat"
"122","Nov-2013",2013,11,"Cattle","1,339.00","Commercial","Live","Red Meat"
"123","Oct-2013",2013,10,"Cattle","1,327.00","Commercial","Live","Red Meat"
"124","Sep-2013",2013,9,"Cattle","1,313.00","Commercial","Live","Red Meat"
"125","Aug-2013",2013,8,"Cattle","1,310.00","Commercial","Live","Red Meat"
"126","Jul-2013",2013,7,"Cattle","1,302.00","Commercial","Live","Red Meat"
"127","Jun-2013",2013,6,"Cattle","1,300.00","Commercial","Live","Red Meat"
"128","May-2013",2013,5,"Cattle","1,289.00","Commercial","Live","Red Meat"
"129","Apr-2013",2013,4,"Cattle","1,296.00","Commercial","Live","Red Meat"
"130","Mar-2013",2013,3,"Cattle","1,313.00","Commercial","Live","Red Meat"
"131","Feb-2013",2013,2,"Cattle","1,320.00","Commercial","Live","Red Meat"
"132","Jan-2013",2013,1,"Cattle","1,328.00","Commercial","Live","Red Meat"
"133","Dec-2012",2012,12,"Cattle","1,324.00","Commercial","Live","Red Meat"
"134","Nov-2012",2012,11,"Cattle","1,321.00","Commercial","Live","Red Meat"
"135","Oct-2012",2012,10,"Cattle","1,318.00","Commercial","Live","Red Meat"
"136","Sep-2012",2012,9,"Cattle","1,311.00","Commercial","Live","Red Meat"
"137","Aug-2012",2012,8,"Cattle","1,300.00","Commercial","Live","Red Meat"
"138","Jul-2012",2012,7,"Cattle","1,295.00","Commercial","Live","Red Meat"
"139","Jun-2012",2012,6,"Cattle","1,290.00","Commercial","Live","Red Meat"
"140","May-2012",2012,5,"Cattle","1,280.00","Commercial","Live","Red Meat"
"141","Apr-2012",2012,4,"Cattle","1,281.00","Commercial","Live","Red Meat"
"142","Mar-2012",2012,3,"Cattle","1,299.00","Commercial","Live","Red Meat"
"143","Feb-2012",2012,2,"Cattle","1,307.00","Commercial","Live","Red Meat"
"144","Jan-2012",2012,1,"Cattle","1,300.00","Commercial","Live","Red Meat"
"145","Dec-2011",2011,12,"Cattle","1,297.00","Commercial","Live","Red Meat"
"146","Nov-2011",2011,11,"Cattle","1,293.00","Commercial","Live","Red Meat"
"147","Oct-2011",2011,10,"Cattle","1,289.00","Commercial","Live","Red Meat"
"148","Sep-2011",2011,9,"Cattle","1,278.00","Commercial","Live","Red Meat"
"149","Aug-2011",2011,8,"Cattle","1,270.00","Commercial","Live","Red Meat"
"150","Jul-2011",2011,7,"Cattle","1,272.00","Commercial","Live","Red Meat"
"151","Jun-2011",2011,6,"Cattle","1,262.00","Commercial","Live","Red Meat"
"152","May-2011",2011,5,"Cattle","1,253.00","Commercial","Live","Red Meat"
"153","Apr-2011",2011,4,"Cattle","1,257.00","Commercial","Live","Red Meat"
"154","Mar-2011",2011,3,"Cattle","1,276.00","Commercial","Live","Red Meat"
"155","Feb-2011",2011,2,"Cattle","1,286.00","Commercial","Live","Red Meat"
"156","Jan-2011",2011,1,"Cattle","1,301.00","Commercial","Live","Red Meat"
"157","Dec-2010",2010,12,"Cattle","1,305.00","Commercial","Live","Red Meat"
"158","Nov-2010",2010,11,"Cattle","1,299.00","Commercial","Live","Red Meat"
"159","Oct-2010",2010,10,"Cattle","1,298.00","Commercial","Live","Red Meat"
"160","Sep-2010",2010,9,"Cattle","1,289.00","Commercial","Live","Red Meat"
"161","Aug-2010",2010,8,"Cattle","1,277.00","Commercial","Live","Red Meat"
"162","Jul-2010",2010,7,"Cattle","1,273.00","Commercial","Live","Red Meat"
"163","Jun-2010",2010,6,"Cattle","1,261.00","Commercial","Live","Red Meat"
"164","May-2010",2010,5,"Cattle","1,250.00","Commercial","Live","Red Meat"
"165","Apr-2010",2010,4,"Cattle","1,253.00","Commercial","Live","Red Meat"
"166","Mar-2010",2010,3,"Cattle","1,273.00","Commercial","Live","Red Meat"
"167","Feb-2010",2010,2,"Cattle","1,285.00","Commercial","Live","Red Meat"
"168","Jan-2010",2010,1,"Cattle","1,290.00","Commercial","Live","Red Meat"
"169","Dec-2009",2009,12,"Cattle","1,296.00","Commercial","Live","Red Meat"
"170","Nov-2009",2009,11,"Cattle","1,298.00","Commercial","Live","Red Meat"
"171","Oct-2009",2009,10,"Cattle","1,312.00","Commercial","Live","Red Meat"
"172","Sep-2009",2009,9,"Cattle","1,310.00","Commercial","Live","Red Meat"
"173","Aug-2009",2009,8,"Cattle","1,293.00","Commercial","Live","Red Meat"
"174","Jul-2009",2009,7,"Cattle","1,282.00","Commercial","Live","Red Meat"
"175","Jun-2009",2009,6,"Cattle","1,269.00","Commercial","Live","Red Meat"
"176","May-2009",2009,5,"Cattle","1,264.00","Commercial","Live","Red Meat"
"177","Apr-2009",2009,4,"Cattle","1,276.00","Commercial","Live","Red Meat"
"178","Mar-2009",2009,3,"Cattle","1,305.00","Commercial","Live","Red Meat"
"179","Feb-2009",2009,2,"Cattle","1,310.00","Commercial","Live","Red Meat"
"180","Jan-2009",2009,1,"Cattle","1,306.00","Commercial","Live","Red Meat"
"181","Dec-2008",2008,12,"Cattle","1,303.00","Commercial","Live","Red Meat"
"182","Nov-2008",2008,11,"Cattle","1,302.00","Commercial","Live","Red Meat"
"183","Oct-2008",2008,10,"Cattle","1,303.00","Commercial","Live","Red Meat"
"184","Sep-2008",2008,9,"Cattle","1,297.00","Commercial","Live","Red Meat"
"185","Aug-2008",2008,8,"Cattle","1,284.00","Commercial","Live","Red Meat"
"186","Jul-2008",2008,7,"Cattle","1,273.00","Commercial","Live","Red Meat"
"187","Jun-2008",2008,6,"Cattle","1,261.00","Commercial","Live","Red Meat"
"188","May-2008",2008,5,"Cattle","1,251.00","Commercial","Live","Red Meat"
"189","Apr-2008",2008,4,"Cattle","1,259.00","Commercial","Live","Red Meat"
"190","Mar-2008",2008,3,"Cattle","1,276.00","Commercial","Live","Red Meat"
"191","Feb-2008",2008,2,"Cattle","1,285.00","Commercial","Live","Red Meat"
"192","Jan-2008",2008,1,"Cattle","1,291.00","Commercial","Live","Red Meat"
"193","Dec-2007",2007,12,"Cattle","1,302.00","Commercial","Live","Red Meat"
"194","Nov-2007",2007,11,"Cattle","1,304.00","Commercial","Live","Red Meat"
"195","Oct-2007",2007,10,"Cattle","1,300.00","Commercial","Live","Red Meat"
"196","Sep-2007",2007,9,"Cattle","1,290.00","Commercial","Live","Red Meat"
"197","Aug-2007",2007,8,"Cattle","1,279.00","Commercial","Live","Red Meat"
"198","Jul-2007",2007,7,"Cattle","1,269.00","Commercial","Live","Red Meat"
"199","Jun-2007",2007,6,"Cattle","1,250.00","Commercial","Live","Red Meat"
"200","May-2007",2007,5,"Cattle","1,232.00","Commercial","Live","Red Meat"
"201","Apr-2007",2007,4,"Cattle","1,235.00","Commercial","Live","Red Meat"
"202","Mar-2007",2007,3,"Cattle","1,260.00","Commercial","Live","Red Meat"
"203","Feb-2007",2007,2,"Cattle","1,274.00","Commercial","Live","Red Meat"
"204","Jan-2007",2007,1,"Cattle","1,290.00","Commercial","Live","Red Meat"
"205","Dec-2006",2006,12,"Cattle","1,300.00","Commercial","Live","Red Meat"
"206","Nov-2006",2006,11,"Cattle","1,295.00","Commercial","Live","Red Meat"
"207","Oct-2006",2006,10,"Cattle","1,291.00","Commercial","Live","Red Meat"
"208","Sep-2006",2006,9,"Cattle","1,285.00","Commercial","Live","Red Meat"
"209","Aug-2006",2006,8,"Cattle","1,276.00","Commercial","Live","Red Meat"
"210","Jul-2006",2006,7,"Cattle","1,273.00","Commercial","Live","Red Meat"
"211","Jun-2006",2006,6,"Cattle","1,264.00","Commercial","Live","Red Meat"
"212","May-2006",2006,5,"Cattle","1,244.00","Commercial","Live","Red Meat"
"213","Apr-2006",2006,4,"Cattle","1,240.00","Commercial","Live","Red Meat"
"214","Mar-2006",2006,3,"Cattle","1,269.00","Commercial","Live","Red Meat"
"215","Feb-2006",2006,2,"Cattle","1,284.00","Commercial","Live","Red Meat"
"216","Jan-2006",2006,1,"Cattle","1,285.00","Commercial","Live","Red Meat"
"217","Dec-2005",2005,12,"Cattle","1,280.00","Commercial","Live","Red Meat"
"218","Nov-2005",2005,11,"Cattle","1,284.00","Commercial","Live","Red Meat"
"219","Oct-2005",2005,10,"Cattle","1,280.00","Commercial","Live","Red Meat"
"220","Sep-2005",2005,9,"Cattle","1,275.00","Commercial","Live","Red Meat"
"221","Aug-2005",2005,8,"Cattle","1,266.00","Commercial","Live","Red Meat"
"222","Jul-2005",2005,7,"Cattle","1,254.00","Commercial","Live","Red Meat"
"223","Jun-2005",2005,6,"Cattle","1,245.00","Commercial","Live","Red Meat"
"224","May-2005",2005,5,"Cattle","1,222.00","Commercial","Live","Red Meat"
"225","Apr-2005",2005,4,"Cattle","1,218.00","Commercial","Live","Red Meat"
"226","Mar-2005",2005,3,"Cattle","1,237.00","Commercial","Live","Red Meat"
"227","Feb-2005",2005,2,"Cattle","1,253.00","Commercial","Live","Red Meat"
"228","Jan-2005",2005,1,"Cattle","1,262.00","Commercial","Live","Red Meat"
"229","Dec-2004",2004,12,"Cattle","1,268.00","Commercial","Live","Red Meat"
"230","Nov-2004",2004,11,"Cattle","1,268.00","Commercial","Live","Red Meat"
"231","Oct-2004",2004,10,"Cattle","1,267.00","Commercial","Live","Red Meat"
"232","Sep-2004",2004,9,"Cattle","1,265.00","Commercial","Live","Red Meat"
"233","Aug-2004",2004,8,"Cattle","1,252.00","Commercial","Live","Red Meat"
"234","Jul-2004",2004,7,"Cattle","1,239.00","Commercial","Live","Red Meat"
"235","Jun-2004",2004,6,"Cattle","1,225.00","Commercial","Live","Red Meat"
"236","May-2004",2004,5,"Cattle","1,204.00","Commercial","Live","Red Meat"
"237","Apr-2004",2004,4,"Cattle","1,200.00","Commercial","Live","Red Meat"
"238","Mar-2004",2004,3,"Cattle","1,217.00","Commercial","Live","Red Meat"
"239","Feb-2004",2004,2,"Cattle","1,233.00","Commercial","Live","Red Meat"
"240","Jan-2004",2004,1,"Cattle","1,249.00","Commercial","Live","Red Meat"
"241","Dec-2003",2003,12,"Cattle","1,244.00","Commercial","Live","Red Meat"
"242","Nov-2003",2003,11,"Cattle","1,236.00","Commercial","Live","Red Meat"
"243","Oct-2003",2003,10,"Cattle","1,231.00","Commercial","Live","Red Meat"
"244","Sep-2003",2003,9,"Cattle","1,228.00","Commercial","Live","Red Meat"
"245","Aug-2003",2003,8,"Cattle","1,225.00","Commercial","Live","Red Meat"
"246","Jul-2003",2003,7,"Cattle","1,225.00","Commercial","Live","Red Meat"
"247","Jun-2003",2003,6,"Cattle","1,217.00","Commercial","Live","Red Meat"
"248","May-2003",2003,5,"Cattle","1,208.00","Commercial","Live","Red Meat"
"249","Apr-2003",2003,4,"Cattle","1,209.00","Commercial","Live","Red Meat"
"250","Mar-2003",2003,3,"Cattle","1,234.00","Commercial","Live","Red Meat"
"251","Feb-2003",2003,2,"Cattle","1,261.00","Commercial","Live","Red Meat"
"252","Jan-2003",2003,1,"Cattle","1,269.00","Commercial","Live","Red Meat"
"253","Dec-2002",2002,12,"Cattle","1,265.00","Commercial","Live","Red Meat"
"254","Nov-2002",2002,11,"Cattle","1,260.00","Commercial","Live","Red Meat"
"255","Oct-2002",2002,10,"Cattle","1,270.00","Commercial","Live","Red Meat"
"256","Sep-2002",2002,9,"Cattle","1,263.00","Commercial","Live","Red Meat"
"257","Aug-2002",2002,8,"Cattle","1,259.00","Commercial","Live","Red Meat"
"258","Jul-2002",2002,7,"Cattle","1,248.00","Commercial","Live","Red Meat"
"259","Jun-2002",2002,6,"Cattle","1,236.00","Commercial","Live","Red Meat"
"260","May-2002",2002,5,"Cattle","1,223.00","Commercial","Live","Red Meat"
"261","Apr-2002",2002,4,"Cattle","1,227.00","Commercial","Live","Red Meat"
"262","Mar-2002",2002,3,"Cattle","1,241.00","Commercial","Live","Red Meat"
"263","Feb-2002",2002,2,"Cattle","1,255.00","Commercial","Live","Red Meat"
"264","Jan-2002",2002,1,"Cattle","1,260.00","Commercial","Live","Red Meat"
"265","Dec-2001",2001,12,"Cattle","1,256.00","Commercial","Live","Red Meat"
"266","Nov-2001",2001,11,"Cattle","1,255.00","Commercial","Live","Red Meat"
"267","Oct-2001",2001,10,"Cattle","1,247.00","Commercial","Live","Red Meat"
"268","Sep-2001",2001,9,"Cattle","1,240.00","Commercial","Live","Red Meat"
"269","Aug-2001",2001,8,"Cattle","1,228.00","Commercial","Live","Red Meat"
"270","Jul-2001",2001,7,"Cattle","1,216.00","Commercial","Live","Red Meat"
"271","Jun-2001",2001,6,"Cattle","1,198.00","Commercial","Live","Red Meat"
"272","May-2001",2001,5,"Cattle","1,184.00","Commercial","Live","Red Meat"
"273","Apr-2001",2001,4,"Cattle","1,186.00","Commercial","Live","Red Meat"
"274","Mar-2001",2001,3,"Cattle","1,199.00","Commercial","Live","Red Meat"
"275","Feb-2001",2001,2,"Cattle","1,217.00","Commercial","Live","Red Meat"
"276","Jan-2001",2001,1,"Cattle","1,226.00","Commercial","Live","Red Meat"
"277","Dec-2000",2000,12,"Cattle","1,224.00","Commercial","Live","Red Meat"
"278","Nov-2000",2000,11,"Cattle","1,230.00","Commercial","Live","Red Meat"
"279","Oct-2000",2000,10,"Cattle","1,231.00","Commercial","Live","Red Meat"
"280","Sep-2000",2000,9,"Cattle","1,231.00","Commercial","Live","Red Meat"
"281","Aug-2000",2000,8,"Cattle","1,226.00","Commercial","Live","Red Meat"
"282","Jul-2000",2000,7,"Cattle","1,220.00","Commercial","Live","Red Meat"
"283","Jun-2000",2000,6,"Cattle","1,205.00","Commercial","Live","Red Meat"
"284","May-2000",2000,5,"Cattle","1,196.00","Commercial","Live","Red Meat"
"285","Apr-2000",2000,4,"Cattle","1,202.00","Commercial","Live","Red Meat"
"286","Mar-2000",2000,3,"Cattle","1,215.00","Commercial","Live","Red Meat"
"287","Feb-2000",2000,2,"Cattle","1,225.00","Commercial","Live","Red Meat"
"288","Jan-2000",2000,1,"Cattle","1,229.00","Commercial","Live","Red Meat"
"289","Dec-1999",1999,12,"Cattle","1,225.00","Commercial","Live","Red Meat"
"290","Nov-1999",1999,11,"Cattle","1,216.00","Commercial","Live","Red Meat"
"291","Oct-1999",1999,10,"Cattle","1,214.00","Commercial","Live","Red Meat"
"292","Sep-1999",1999,9,"Cattle","1,210.00","Commercial","Live","Red Meat"
"293","Aug-1999",1999,8,"Cattle","1,206.00","Commercial","Live","Red Meat"
"294","Jul-1999",1999,7,"Cattle","1,206.00","Commercial","Live","Red Meat"
"295","Jun-1999",1999,6,"Cattle","1,195.00","Commercial","Live","Red Meat"
"296","May-1999",1999,5,"Cattle","1,188.00","Commercial","Live","Red Meat"
"297","Apr-1999",1999,4,"Cattle","1,201.00","Commercial","Live","Red Meat"
"298","Mar-1999",1999,3,"Cattle","1,216.00","Commercial","Live","Red Meat"
"299","Feb-1999",1999,2,"Cattle","1,221.00","Commercial","Live","Red Meat"
"300","Jan-1999",1999,1,"Cattle","1,220.00","Commercial","Live","Red Meat"
"301","Dec-1998",1998,12,"Cattle","1,214.00","Commercial","Live","Red Meat"
"302","Nov-1998",1998,11,"Cattle","1,211.00","Commercial","Live","Red Meat"
"303","Oct-1998",1998,10,"Cattle","1,214.00","Commercial","Live","Red Meat"
"304","Sep-1998",1998,9,"Cattle","1,213.00","Commercial","Live","Red Meat"
"305","Aug-1998",1998,8,"Cattle","1,210.00","Commercial","Live","Red Meat"
"306","Jul-1998",1998,7,"Cattle","1,203.00","Commercial","Live","Red Meat"
"307","Jun-1998",1998,6,"Cattle","1,197.00","Commercial","Live","Red Meat"
"308","May-1998",1998,5,"Cattle","1,188.00","Commercial","Live","Red Meat"
"309","Apr-1998",1998,4,"Cattle","1,189.00","Commercial","Live","Red Meat"
"310","Mar-1998",1998,3,"Cattle","1,200.00","Commercial","Live","Red Meat"
"311","Feb-1998",1998,2,"Cattle","1,204.00","Commercial","Live","Red Meat"
"312","Jan-1998",1998,1,"Cattle","1,197.00","Commercial","Live","Red Meat"
"313","Dec-1997",1997,12,"Cattle","1,193.00","Commercial","Live","Red Meat"
"314","Nov-1997",1997,11,"Cattle","1,188.00","Commercial","Live","Red Meat"
"315","Oct-1997",1997,10,"Cattle","1,195.00","Commercial","Live","Red Meat"
"316","Sep-1997",1997,9,"Cattle","1,193.00","Commercial","Live","Red Meat"
"317","Aug-1997",1997,8,"Cattle","1,187.00","Commercial","Live","Red Meat"
"318","Jul-1997",1997,7,"Cattle","1,178.00","Commercial","Live","Red Meat"
"319","Jun-1997",1997,6,"Cattle","1,160.00","Commercial","Live","Red Meat"
"320","May-1997",1997,5,"Cattle","1,149.00","Commercial","Live","Red Meat"
"321","Apr-1997",1997,4,"Cattle","1,152.00","Commercial","Live","Red Meat"
"322","Mar-1997",1997,3,"Cattle","1,161.00","Commercial","Live","Red Meat"
"323","Feb-1997",1997,2,"Cattle","1,162.00","Commercial","Live","Red Meat"
"324","Jan-1997",1997,1,"Cattle","1,160.00","Commercial","Live","Red Meat"
"325","Dec-1996",1996,12,"Cattle","1,159.00","Commercial","Live","Red Meat"
"326","Nov-1996",1996,11,"Cattle","1,163.00","Commercial","Live","Red Meat"
"327","Oct-1996",1996,10,"Cattle","1,173.00","Commercial","Live","Red Meat"
"328","Sep-1996",1996,9,"Cattle","1,179.00","Commercial","Live","Red Meat"
"329","Aug-1996",1996,8,"Cattle","1,175.00","Commercial","Live","Red Meat"
"330","Jul-1996",1996,7,"Cattle","1,163.00","Commercial","Live","Red Meat"
"331","Jun-1996",1996,6,"Cattle","1,160.00","Commercial","Live","Red Meat"
