"","Date","Year","Month","Animal","Count","Commercial_Or_Federally_Inspected","Type_Of_Meat"
"36","Jan-2021","2021","1","Cattle",2746000,"Commercial","Red Meat"
"37","Dec-2020","2020","12","Cattle",2785300,"Commercial","Red Meat"
"38","Nov-2020","2020","11","Cattle",2707900,"Commercial","Red Meat"
"39","Oct-2020","2020","10","Cattle",2950100,"Commercial","Red Meat"
"40","Sep-2020","2020","9","Cattle",2815100,"Commercial","Red Meat"
"41","Aug-2020","2020","8","Cattle",2805500,"Commercial","Red Meat"
"42","Jul-2020","2020","7","Cattle",2921100,"Commercial","Red Meat"
"43","Jun-2020","2020","6","Cattle",2879100,"Commercial","Red Meat"
"44","May-2020","2020","5","Cattle",2278000,"Commercial","Red Meat"
"45","Apr-2020","2020","4","Cattle",2241700,"Commercial","Red Meat"
"46","Mar-2020","2020","3","Cattle",2922300,"Commercial","Red Meat"
"47","Feb-2020","2020","2","Cattle",2578900,"Commercial","Red Meat"
"48","Jan-2020","2020","1","Cattle",2900700,"Commercial","Red Meat"
"49","Dec-2019","2019","12","Cattle",2751100,"Commercial","Red Meat"
"50","Nov-2019","2019","11","Cattle",2774200,"Commercial","Red Meat"
"51","Oct-2019","2019","10","Cattle",2977600,"Commercial","Red Meat"
"52","Sep-2019","2019","9","Cattle",2676000,"Commercial","Red Meat"
"53","Aug-2019","2019","8","Cattle",2926000,"Commercial","Red Meat"
"54","Jul-2019","2019","7","Cattle",2939600,"Commercial","Red Meat"
"55","Jun-2019","2019","6","Cattle",2808000,"Commercial","Red Meat"
"56","May-2019","2019","5","Cattle",2938900,"Commercial","Red Meat"
"57","Apr-2019","2019","4","Cattle",2829400,"Commercial","Red Meat"
"58","Mar-2019","2019","3","Cattle",2648700,"Commercial","Red Meat"
"59","Feb-2019","2019","2","Cattle",2454400,"Commercial","Red Meat"
"60","Jan-2019","2019","1","Cattle",2831400,"Commercial","Red Meat"
"61","Dec-2018","2018","12","Cattle",2580200,"Commercial","Red Meat"
"62","Nov-2018","2018","11","Cattle",2800800,"Commercial","Red Meat"
"63","Oct-2018","2018","10","Cattle",2959500,"Commercial","Red Meat"
"64","Sep-2018","2018","9","Cattle",2617300,"Commercial","Red Meat"
"65","Aug-2018","2018","8","Cattle",2977800,"Commercial","Red Meat"
"66","Jul-2018","2018","7","Cattle",2765800,"Commercial","Red Meat"
"67","Jun-2018","2018","6","Cattle",2878800,"Commercial","Red Meat"
"68","May-2018","2018","5","Cattle",2907400,"Commercial","Red Meat"
"69","Apr-2018","2018","4","Cattle",2639500,"Commercial","Red Meat"
"70","Mar-2018","2018","3","Cattle",2701600,"Commercial","Red Meat"
"71","Feb-2018","2018","2","Cattle",2417900,"Commercial","Red Meat"
"72","Jan-2018","2018","1","Cattle",2758100,"Commercial","Red Meat"
"73","Dec-2017","2017","12","Cattle",2580400,"Commercial","Red Meat"
"74","Nov-2017","2017","11","Cattle",2762800,"Commercial","Red Meat"
"75","Oct-2017","2017","10","Cattle",2801300,"Commercial","Red Meat"
"76","Sep-2017","2017","9","Cattle",2698900,"Commercial","Red Meat"
"77","Aug-2017","2017","8","Cattle",2943500,"Commercial","Red Meat"
"78","Jul-2017","2017","7","Cattle",2612000,"Commercial","Red Meat"
"79","Jun-2017","2017","6","Cattle",2859000,"Commercial","Red Meat"
"80","May-2017","2017","5","Cattle",2753800,"Commercial","Red Meat"
"81","Apr-2017","2017","4","Cattle",2463300,"Commercial","Red Meat"
"82","Mar-2017","2017","3","Cattle",2768300,"Commercial","Red Meat"
"83","Feb-2017","2017","2","Cattle",2369200,"Commercial","Red Meat"
"84","Jan-2017","2017","1","Cattle",2576900,"Commercial","Red Meat"
"85","Dec-2016","2016","12","Cattle",2612000,"Commercial","Red Meat"
"86","Nov-2016","2016","11","Cattle",2669000,"Commercial","Red Meat"
"87","Oct-2016","2016","10","Cattle",2637700,"Commercial","Red Meat"
"88","Sep-2016","2016","9","Cattle",2619300,"Commercial","Red Meat"
"89","Aug-2016","2016","8","Cattle",2750600,"Commercial","Red Meat"
"90","Jul-2016","2016","7","Cattle",2474900,"Commercial","Red Meat"
"91","Jun-2016","2016","6","Cattle",2706000,"Commercial","Red Meat"
"92","May-2016","2016","5","Cattle",2515400,"Commercial","Red Meat"
"93","Apr-2016","2016","4","Cattle",2409100,"Commercial","Red Meat"
"94","Mar-2016","2016","3","Cattle",2534100,"Commercial","Red Meat"
"95","Feb-2016","2016","2","Cattle",2290900,"Commercial","Red Meat"
"96","Jan-2016","2016","1","Cattle",2359200,"Commercial","Red Meat"
"97","Dec-2015","2015","12","Cattle",2452400,"Commercial","Red Meat"
"98","Nov-2015","2015","11","Cattle",2296200,"Commercial","Red Meat"
"99","Oct-2015","2015","10","Cattle",2514300,"Commercial","Red Meat"
"100","Sep-2015","2015","9","Cattle",2474600,"Commercial","Red Meat"
"101","Aug-2015","2015","8","Cattle",2323300,"Commercial","Red Meat"
"102","Jul-2015","2015","7","Cattle",2493300,"Commercial","Red Meat"
"103","Jun-2015","2015","6","Cattle",2466000,"Commercial","Red Meat"
"104","May-2015","2015","5","Cattle",2379400,"Commercial","Red Meat"
"105","Apr-2015","2015","4","Cattle",2383300,"Commercial","Red Meat"
"106","Mar-2015","2015","3","Cattle",2381000,"Commercial","Red Meat"
"107","Feb-2015","2015","2","Cattle",2170200,"Commercial","Red Meat"
"108","Jan-2015","2015","1","Cattle",2417600,"Commercial","Red Meat"
"109","Dec-2014","2014","12","Cattle",2439300,"Commercial","Red Meat"
"110","Nov-2014","2014","11","Cattle",2246800,"Commercial","Red Meat"
"111","Oct-2014","2014","10","Cattle",2639900,"Commercial","Red Meat"
"112","Sep-2014","2014","9","Cattle",2531100,"Commercial","Red Meat"
"113","Aug-2014","2014","8","Cattle",2499600,"Commercial","Red Meat"
"114","Jul-2014","2014","7","Cattle",2601700,"Commercial","Red Meat"
"115","Jun-2014","2014","6","Cattle",2606400,"Commercial","Red Meat"
"116","May-2014","2014","5","Cattle",2635600,"Commercial","Red Meat"
"117","Apr-2014","2014","4","Cattle",2595300,"Commercial","Red Meat"
"118","Mar-2014","2014","3","Cattle",2449100,"Commercial","Red Meat"
"119","Feb-2014","2014","2","Cattle",2244100,"Commercial","Red Meat"
"120","Jan-2014","2014","1","Cattle",2679000,"Commercial","Red Meat"
"121","Dec-2013","2013","12","Cattle",2561900,"Commercial","Red Meat"
"122","Nov-2013","2013","11","Cattle",2569100,"Commercial","Red Meat"
"123","Oct-2013","2013","10","Cattle",2904300,"Commercial","Red Meat"
"124","Sep-2013","2013","9","Cattle",2608900,"Commercial","Red Meat"
"125","Aug-2013","2013","8","Cattle",2817300,"Commercial","Red Meat"
"126","Jul-2013","2013","7","Cattle",2894900,"Commercial","Red Meat"
"127","Jun-2013","2013","6","Cattle",2730900,"Commercial","Red Meat"
"128","May-2013","2013","5","Cattle",2863000,"Commercial","Red Meat"
"129","Apr-2013","2013","4","Cattle",2731100,"Commercial","Red Meat"
"130","Mar-2013","2013","3","Cattle",2586900,"Commercial","Red Meat"
"131","Feb-2013","2013","2","Cattle",2358100,"Commercial","Red Meat"
"132","Jan-2013","2013","1","Cattle",2835900,"Commercial","Red Meat"
"133","Dec-2012","2012","12","Cattle",2543000,"Commercial","Red Meat"
"134","Nov-2012","2012","11","Cattle",2785000,"Commercial","Red Meat"
"135","Oct-2012","2012","10","Cattle",2954700,"Commercial","Red Meat"
"136","Sep-2012","2012","9","Cattle",2542700,"Commercial","Red Meat"
"137","Aug-2012","2012","8","Cattle",2997700,"Commercial","Red Meat"
"138","Jul-2012","2012","7","Cattle",2792800,"Commercial","Red Meat"
"139","Jun-2012","2012","6","Cattle",2864100,"Commercial","Red Meat"
"140","May-2012","2012","5","Cattle",2875600,"Commercial","Red Meat"
"141","Apr-2012","2012","4","Cattle",2569500,"Commercial","Red Meat"
"142","Mar-2012","2012","3","Cattle",2753400,"Commercial","Red Meat"
"143","Feb-2012","2012","2","Cattle",2557600,"Commercial","Red Meat"
"144","Jan-2012","2012","1","Cattle",2714700,"Commercial","Red Meat"
"145","Dec-2011","2011","12","Cattle",2753400,"Commercial","Red Meat"
"146","Nov-2011","2011","11","Cattle",2784700,"Commercial","Red Meat"
"147","Oct-2011","2011","10","Cattle",2856900,"Commercial","Red Meat"
"148","Sep-2011","2011","9","Cattle",2876000,"Commercial","Red Meat"
"149","Aug-2011","2011","8","Cattle",3097100,"Commercial","Red Meat"
"150","Jul-2011","2011","7","Cattle",2764500,"Commercial","Red Meat"
"151","Jun-2011","2011","6","Cattle",3101700,"Commercial","Red Meat"
"152","May-2011","2011","5","Cattle",2818700,"Commercial","Red Meat"
"153","Apr-2011","2011","4","Cattle",2719100,"Commercial","Red Meat"
"154","Mar-2011","2011","3","Cattle",2959100,"Commercial","Red Meat"
"155","Feb-2011","2011","2","Cattle",2621300,"Commercial","Red Meat"
"156","Jan-2011","2011","1","Cattle",2734000,"Commercial","Red Meat"
"157","Dec-2010","2010","12","Cattle",2915900,"Commercial","Red Meat"
"158","Nov-2010","2010","11","Cattle",2876300,"Commercial","Red Meat"
"159","Oct-2010","2010","10","Cattle",2862100,"Commercial","Red Meat"
"160","Sep-2010","2010","9","Cattle",2897400,"Commercial","Red Meat"
"161","Aug-2010","2010","8","Cattle",2954900,"Commercial","Red Meat"
"162","Jul-2010","2010","7","Cattle",2899200,"Commercial","Red Meat"
"163","Jun-2010","2010","6","Cattle",3049500,"Commercial","Red Meat"
"164","May-2010","2010","5","Cattle",2784100,"Commercial","Red Meat"
"165","Apr-2010","2010","4","Cattle",2846000,"Commercial","Red Meat"
"166","Mar-2010","2010","3","Cattle",2911500,"Commercial","Red Meat"
"167","Feb-2010","2010","2","Cattle",2546800,"Commercial","Red Meat"
"168","Jan-2010","2010","1","Cattle",2705400,"Commercial","Red Meat"
"169","Dec-2009","2009","12","Cattle",2754200,"Commercial","Red Meat"
"170","Nov-2009","2009","11","Cattle",2600700,"Commercial","Red Meat"
"171","Oct-2009","2009","10","Cattle",2886100,"Commercial","Red Meat"
"172","Sep-2009","2009","9","Cattle",2814700,"Commercial","Red Meat"
"173","Aug-2009","2009","8","Cattle",2781900,"Commercial","Red Meat"
"174","Jul-2009","2009","7","Cattle",2921600,"Commercial","Red Meat"
"175","Jun-2009","2009","6","Cattle",2981500,"Commercial","Red Meat"
"176","May-2009","2009","5","Cattle",2849300,"Commercial","Red Meat"
"177","Apr-2009","2009","4","Cattle",2772600,"Commercial","Red Meat"
"178","Mar-2009","2009","3","Cattle",2729500,"Commercial","Red Meat"
"179","Feb-2009","2009","2","Cattle",2528500,"Commercial","Red Meat"
"180","Jan-2009","2009","1","Cattle",2717700,"Commercial","Red Meat"
"181","Dec-2008","2008","12","Cattle",2671500,"Commercial","Red Meat"
"182","Nov-2008","2008","11","Cattle",2516300,"Commercial","Red Meat"
"183","Oct-2008","2008","10","Cattle",2989100,"Commercial","Red Meat"
"184","Sep-2008","2008","9","Cattle",2889400,"Commercial","Red Meat"
"185","Aug-2008","2008","8","Cattle",2908300,"Commercial","Red Meat"
"186","Jul-2008","2008","7","Cattle",3062500,"Commercial","Red Meat"
"187","Jun-2008","2008","6","Cattle",2956600,"Commercial","Red Meat"
"188","May-2008","2008","5","Cattle",3139600,"Commercial","Red Meat"
"189","Apr-2008","2008","4","Cattle",2961100,"Commercial","Red Meat"
"190","Mar-2008","2008","3","Cattle",2728300,"Commercial","Red Meat"
"191","Feb-2008","2008","2","Cattle",2642700,"Commercial","Red Meat"
"192","Jan-2008","2008","1","Cattle",2899400,"Commercial","Red Meat"
"193","Dec-2007","2007","12","Cattle",2647900,"Commercial","Red Meat"
"194","Nov-2007","2007","11","Cattle",2830700,"Commercial","Red Meat"
"195","Oct-2007","2007","10","Cattle",3102000,"Commercial","Red Meat"
"196","Sep-2007","2007","9","Cattle",2664600,"Commercial","Red Meat"
"197","Aug-2007","2007","8","Cattle",3132100,"Commercial","Red Meat"
"198","Jul-2007","2007","7","Cattle",2903100,"Commercial","Red Meat"
"199","Jun-2007","2007","6","Cattle",3076500,"Commercial","Red Meat"
"200","May-2007","2007","5","Cattle",3051400,"Commercial","Red Meat"
"201","Apr-2007","2007","4","Cattle",2701400,"Commercial","Red Meat"
"202","Mar-2007","2007","3","Cattle",2793000,"Commercial","Red Meat"
"203","Feb-2007","2007","2","Cattle",2561200,"Commercial","Red Meat"
"204","Jan-2007","2007","1","Cattle",2800300,"Commercial","Red Meat"
"205","Dec-2006","2006","12","Cattle",2612500,"Commercial","Red Meat"
"206","Nov-2006","2006","11","Cattle",2842400,"Commercial","Red Meat"
"207","Oct-2006","2006","10","Cattle",2858100,"Commercial","Red Meat"
"208","Sep-2006","2006","9","Cattle",2766600,"Commercial","Red Meat"
"209","Aug-2006","2006","8","Cattle",3134400,"Commercial","Red Meat"
"210","Jul-2006","2006","7","Cattle",2834000,"Commercial","Red Meat"
"211","Jun-2006","2006","6","Cattle",3159400,"Commercial","Red Meat"
"212","May-2006","2006","5","Cattle",3039100,"Commercial","Red Meat"
"213","Apr-2006","2006","4","Cattle",2608600,"Commercial","Red Meat"
"214","Mar-2006","2006","3","Cattle",2854000,"Commercial","Red Meat"
"215","Feb-2006","2006","2","Cattle",2346600,"Commercial","Red Meat"
"216","Jan-2006","2006","1","Cattle",2642600,"Commercial","Red Meat"
"217","Dec-2005","2005","12","Cattle",2667100,"Commercial","Red Meat"
"218","Nov-2005","2005","11","Cattle",2668100,"Commercial","Red Meat"
"219","Oct-2005","2005","10","Cattle",2679200,"Commercial","Red Meat"
"220","Sep-2005","2005","9","Cattle",2775900,"Commercial","Red Meat"
"221","Aug-2005","2005","8","Cattle",2992500,"Commercial","Red Meat"
"222","Jul-2005","2005","7","Cattle",2717500,"Commercial","Red Meat"
"223","Jun-2005","2005","6","Cattle",2937600,"Commercial","Red Meat"
"224","May-2005","2005","5","Cattle",2793300,"Commercial","Red Meat"
"225","Apr-2005","2005","4","Cattle",2560300,"Commercial","Red Meat"
"226","Mar-2005","2005","3","Cattle",2725100,"Commercial","Red Meat"
"227","Feb-2005","2005","2","Cattle",2342900,"Commercial","Red Meat"
"228","Jan-2005","2005","1","Cattle",2528100,"Commercial","Red Meat"
"229","Dec-2004","2004","12","Cattle",2690300,"Commercial","Red Meat"
"230","Nov-2004","2004","11","Cattle",2542300,"Commercial","Red Meat"
"231","Oct-2004","2004","10","Cattle",2745900,"Commercial","Red Meat"
"232","Sep-2004","2004","9","Cattle",2737100,"Commercial","Red Meat"
"233","Aug-2004","2004","8","Cattle",2820500,"Commercial","Red Meat"
"234","Jul-2004","2004","7","Cattle",2787200,"Commercial","Red Meat"
"235","Jun-2004","2004","6","Cattle",2994100,"Commercial","Red Meat"
"236","May-2004","2004","5","Cattle",2836100,"Commercial","Red Meat"
"237","Apr-2004","2004","4","Cattle",2697700,"Commercial","Red Meat"
"238","Mar-2004","2004","3","Cattle",2869300,"Commercial","Red Meat"
"239","Feb-2004","2004","2","Cattle",2429200,"Commercial","Red Meat"
"240","Jan-2004","2004","1","Cattle",2578600,"Commercial","Red Meat"
"241","Dec-2003","2003","12","Cattle",2675300,"Commercial","Red Meat"
"242","Nov-2003","2003","11","Cattle",2433500,"Commercial","Red Meat"
"243","Oct-2003","2003","10","Cattle",3009500,"Commercial","Red Meat"
"244","Sep-2003","2003","9","Cattle",3128900,"Commercial","Red Meat"
"245","Aug-2003","2003","8","Cattle",3138800,"Commercial","Red Meat"
"246","Jul-2003","2003","7","Cattle",3290200,"Commercial","Red Meat"
"247","Jun-2003","2003","6","Cattle",3252600,"Commercial","Red Meat"
"248","May-2003","2003","5","Cattle",3247600,"Commercial","Red Meat"
"249","Apr-2003","2003","4","Cattle",2966100,"Commercial","Red Meat"
"250","Mar-2003","2003","3","Cattle",2773900,"Commercial","Red Meat"
"251","Feb-2003","2003","2","Cattle",2569200,"Commercial","Red Meat"
"252","Jan-2003","2003","1","Cattle",3007900,"Commercial","Red Meat"
"253","Dec-2002","2002","12","Cattle",2771800,"Commercial","Red Meat"
"254","Nov-2002","2002","11","Cattle",2861100,"Commercial","Red Meat"
"255","Oct-2002","2002","10","Cattle",3266600,"Commercial","Red Meat"
"256","Sep-2002","2002","9","Cattle",2866700,"Commercial","Red Meat"
"257","Aug-2002","2002","8","Cattle",3212800,"Commercial","Red Meat"
"258","Jul-2002","2002","7","Cattle",3187700,"Commercial","Red Meat"
"259","Jun-2002","2002","6","Cattle",3062200,"Commercial","Red Meat"
"260","May-2002","2002","5","Cattle",3146600,"Commercial","Red Meat"
"261","Apr-2002","2002","4","Cattle",2948700,"Commercial","Red Meat"
"262","Mar-2002","2002","3","Cattle",2737700,"Commercial","Red Meat"
"263","Feb-2002","2002","2","Cattle",2615600,"Commercial","Red Meat"
"264","Jan-2002","2002","1","Cattle",3057000,"Commercial","Red Meat"
"265","Dec-2001","2001","12","Cattle",2779300,"Commercial","Red Meat"
"266","Nov-2001","2001","11","Cattle",2903400,"Commercial","Red Meat"
"267","Oct-2001","2001","10","Cattle",3162000,"Commercial","Red Meat"
"268","Sep-2001","2001","9","Cattle",2808100,"Commercial","Red Meat"
"269","Aug-2001","2001","8","Cattle",3239400,"Commercial","Red Meat"
"270","Jul-2001","2001","7","Cattle",2942500,"Commercial","Red Meat"
"271","Jun-2001","2001","6","Cattle",3120200,"Commercial","Red Meat"
"272","May-2001","2001","5","Cattle",3199800,"Commercial","Red Meat"
"273","Apr-2001","2001","4","Cattle",2714000,"Commercial","Red Meat"
"274","Mar-2001","2001","3","Cattle",2918400,"Commercial","Red Meat"
"275","Feb-2001","2001","2","Cattle",2580400,"Commercial","Red Meat"
"276","Jan-2001","2001","1","Cattle",3002300,"Commercial","Red Meat"
"277","Dec-2000","2000","12","Cattle",2716900,"Commercial","Red Meat"
"278","Nov-2000","2000","11","Cattle",2929300,"Commercial","Red Meat"
"279","Oct-2000","2000","10","Cattle",3141400,"Commercial","Red Meat"
"280","Sep-2000","2000","9","Cattle",3034500,"Commercial","Red Meat"
"281","Aug-2000","2000","8","Cattle",3259400,"Commercial","Red Meat"
"282","Jul-2000","2000","7","Cattle",2962200,"Commercial","Red Meat"
"283","Jun-2000","2000","6","Cattle",3236700,"Commercial","Red Meat"
"284","May-2000","2000","5","Cattle",3177900,"Commercial","Red Meat"
"285","Apr-2000","2000","4","Cattle",2783400,"Commercial","Red Meat"
"286","Mar-2000","2000","3","Cattle",3131600,"Commercial","Red Meat"
"287","Feb-2000","2000","2","Cattle",2936900,"Commercial","Red Meat"
"288","Jan-2000","2000","1","Cattle",2935800,"Commercial","Red Meat"
"289","Dec-1999","1999","12","Cattle",2874800,"Commercial","Red Meat"
"290","Nov-1999","1999","11","Cattle",2939900,"Commercial","Red Meat"
"291","Oct-1999","1999","10","Cattle",3094200,"Commercial","Red Meat"
"292","Sep-1999","1999","9","Cattle",3099000,"Commercial","Red Meat"
"293","Aug-1999","1999","8","Cattle",3150300,"Commercial","Red Meat"
"294","Jul-1999","1999","7","Cattle",3082900,"Commercial","Red Meat"
"295","Jun-1999","1999","6","Cattle",3206800,"Commercial","Red Meat"
"296","May-1999","1999","5","Cattle",2996800,"Commercial","Red Meat"
"297","Apr-1999","1999","4","Cattle",2971000,"Commercial","Red Meat"
"298","Mar-1999","1999","3","Cattle",3050400,"Commercial","Red Meat"
"299","Feb-1999","1999","2","Cattle",2722500,"Commercial","Red Meat"
"300","Jan-1999","1999","1","Cattle",2961300,"Commercial","Red Meat"
"301","Dec-1998","1998","12","Cattle",2894500,"Commercial","Red Meat"
"302","Nov-1998","1998","11","Cattle",2772600,"Commercial","Red Meat"
"303","Oct-1998","1998","10","Cattle",3054500,"Commercial","Red Meat"
"304","Sep-1998","1998","9","Cattle",2991400,"Commercial","Red Meat"
"305","Aug-1998","1998","8","Cattle",3039500,"Commercial","Red Meat"
"306","Jul-1998","1998","7","Cattle",3039300,"Commercial","Red Meat"
"307","Jun-1998","1998","6","Cattle",3108100,"Commercial","Red Meat"
"308","May-1998","1998","5","Cattle",2957200,"Commercial","Red Meat"
"309","Apr-1998","1998","4","Cattle",2927100,"Commercial","Red Meat"
"310","Mar-1998","1998","3","Cattle",2894500,"Commercial","Red Meat"
"311","Feb-1998","1998","2","Cattle",2746800,"Commercial","Red Meat"
"312","Jan-1998","1998","1","Cattle",3039400,"Commercial","Red Meat"
"313","Dec-1997","1997","12","Cattle",2877000,"Commercial","Red Meat"
"314","Nov-1997","1997","11","Cattle",2760300,"Commercial","Red Meat"
"315","Oct-1997","1997","10","Cattle",3224400,"Commercial","Red Meat"
"316","Sep-1997","1997","9","Cattle",2967700,"Commercial","Red Meat"
"317","Aug-1997","1997","8","Cattle",3107300,"Commercial","Red Meat"
"318","Jul-1997","1997","7","Cattle",3181300,"Commercial","Red Meat"
"319","Jun-1997","1997","6","Cattle",3060700,"Commercial","Red Meat"
"320","May-1997","1997","5","Cattle",3181500,"Commercial","Red Meat"
"321","Apr-1997","1997","4","Cattle",3058400,"Commercial","Red Meat"
"322","Mar-1997","1997","3","Cattle",2858800,"Commercial","Red Meat"
"323","Feb-1997","1997","2","Cattle",2795200,"Commercial","Red Meat"
"324","Jan-1997","1997","1","Cattle",3245200,"Commercial","Red Meat"
"325","Dec-1996","1996","12","Cattle",2876200,"Commercial","Red Meat"
"326","Nov-1996","1996","11","Cattle",2872400,"Commercial","Red Meat"
"327","Oct-1996","1996","10","Cattle",3151700,"Commercial","Red Meat"
"328","Sep-1996","1996","9","Cattle",2759600,"Commercial","Red Meat"
"329","Aug-1996","1996","8","Cattle",3214300,"Commercial","Red Meat"
"330","Jul-1996","1996","7","Cattle",3149000,"Commercial","Red Meat"
"331","Jun-1996","1996","6","Cattle",3146700,"Commercial","Red Meat"
"332","May-1996","1996","5","Cattle",3329000,"Commercial","Red Meat"
"333","Apr-1996","1996","4","Cattle",3112900,"Commercial","Red Meat"
"334","Mar-1996","1996","3","Cattle",2903400,"Commercial","Red Meat"
"335","Feb-1996","1996","2","Cattle",2927200,"Commercial","Red Meat"
"336","Jan-1996","1996","1","Cattle",3141100,"Commercial","Red Meat"
"337","Dec-1995","1995","12","Cattle",2827000,"Commercial","Red Meat"
"338","Nov-1995","1995","11","Cattle",2986600,"Commercial","Red Meat"
"339","Oct-1995","1995","10","Cattle",3076200,"Commercial","Red Meat"
"340","Sep-1995","1995","9","Cattle",3098000,"Commercial","Red Meat"
"341","Aug-1995","1995","8","Cattle",3236900,"Commercial","Red Meat"
"342","Jul-1995","1995","7","Cattle",2943600,"Commercial","Red Meat"
"343","Jun-1995","1995","6","Cattle",3256200,"Commercial","Red Meat"
"344","May-1995","1995","5","Cattle",3136100,"Commercial","Red Meat"
"345","Apr-1995","1995","4","Cattle",2661000,"Commercial","Red Meat"
"346","Mar-1995","1995","3","Cattle",2960700,"Commercial","Red Meat"
"347","Feb-1995","1995","2","Cattle",2586100,"Commercial","Red Meat"
"348","Jan-1995","1995","1","Cattle",2871000,"Commercial","Red Meat"
"349","Dec-1994","1994","12","Cattle",2870800,"Commercial","Red Meat"
"350","Nov-1994","1994","11","Cattle",2808000,"Commercial","Red Meat"
"351","Oct-1994","1994","10","Cattle",2948500,"Commercial","Red Meat"
"352","Sep-1994","1994","9","Cattle",2942400,"Commercial","Red Meat"
"353","Aug-1994","1994","8","Cattle",3060600,"Commercial","Red Meat"
"354","Jul-1994","1994","7","Cattle",2821600,"Commercial","Red Meat"
"355","Jun-1994","1994","6","Cattle",3037700,"Commercial","Red Meat"
"356","May-1994","1994","5","Cattle",2834200,"Commercial","Red Meat"
"357","Apr-1994","1994","4","Cattle",2711100,"Commercial","Red Meat"
"358","Mar-1994","1994","3","Cattle",2859600,"Commercial","Red Meat"
"359","Feb-1994","1994","2","Cattle",2558900,"Commercial","Red Meat"
"360","Jan-1994","1994","1","Cattle",2743000,"Commercial","Red Meat"
"361","Dec-1993","1993","12","Cattle",2775100,"Commercial","Red Meat"
"362","Nov-1993","1993","11","Cattle",2697600,"Commercial","Red Meat"
"363","Oct-1993","1993","10","Cattle",2797600,"Commercial","Red Meat"
"364","Sep-1993","1993","9","Cattle",2869300,"Commercial","Red Meat"
"365","Aug-1993","1993","8","Cattle",2941500,"Commercial","Red Meat"
"366","Jul-1993","1993","7","Cattle",2864800,"Commercial","Red Meat"
"367","Jun-1993","1993","6","Cattle",3013300,"Commercial","Red Meat"
"368","May-1993","1993","5","Cattle",2774400,"Commercial","Red Meat"
"369","Apr-1993","1993","4","Cattle",2681100,"Commercial","Red Meat"
"370","Mar-1993","1993","3","Cattle",2775300,"Commercial","Red Meat"
"371","Feb-1993","1993","2","Cattle",2466500,"Commercial","Red Meat"
"372","Jan-1993","1993","1","Cattle",2667700,"Commercial","Red Meat"
"373","Dec-1992","1992","12","Cattle",2703100,"Commercial","Red Meat"
"374","Nov-1992","1992","11","Cattle",2559700,"Commercial","Red Meat"
"375","Oct-1992","1992","10","Cattle",2863600,"Commercial","Red Meat"
"376","Sep-1992","1992","9","Cattle",2811300,"Commercial","Red Meat"
"377","Aug-1992","1992","8","Cattle",2782200,"Commercial","Red Meat"
