"","Date","Year","Month","Animal","Weight","Type_Of_Meat"
"45","Apr-2020",2020,4,"Beef",502.34,"Red Meat"
"46","Mar-2020",2020,3,"Beef",494.59,"Red Meat"
"47","Feb-2020",2020,2,"Beef",488.2,"Red Meat"
"48","Jan-2020",2020,1,"Beef",480.12,"Red Meat"
"49","Dec-2019",2019,12,"Beef",478.26,"Red Meat"
"50","Nov-2019",2019,11,"Beef",466.27,"Red Meat"
"51","Oct-2019",2019,10,"Beef",468.98,"Red Meat"
"52","Sep-2019",2019,9,"Beef",469.88,"Red Meat"
"53","Aug-2019",2019,8,"Beef",454.46,"Red Meat"
"54","Jul-2019",2019,7,"Beef",405.65,"Red Meat"
"55","Jun-2019",2019,6,"Beef",405.15,"Red Meat"
"56","May-2019",2019,5,"Beef",430.22,"Red Meat"
"57","Apr-2019",2019,4,"Beef",451.94,"Red Meat"
"58","Mar-2019",2019,3,"Beef",473.98,"Red Meat"
"59","Feb-2019",2019,2,"Beef",510.21,"Red Meat"
"60","Jan-2019",2019,1,"Beef",495.62,"Red Meat"
"61","Dec-2018",2018,12,"Beef",514.7,"Red Meat"
"62","Nov-2018",2018,11,"Beef",515.57,"Red Meat"
"63","Oct-2018",2018,10,"Beef",507.17,"Red Meat"
"64","Sep-2018",2018,9,"Beef",501.32,"Red Meat"
"65","Aug-2018",2018,8,"Beef",484.25,"Red Meat"
"66","Jul-2018",2018,7,"Beef",448.59,"Red Meat"
"67","Jun-2018",2018,6,"Beef",464.65,"Red Meat"
"68","May-2018",2018,5,"Beef",471.16,"Red Meat"
"69","Apr-2018",2018,4,"Beef",463.96,"Red Meat"
"70","Mar-2018",2018,3,"Beef",459.34,"Red Meat"
"71","Feb-2018",2018,2,"Beef",501.74,"Red Meat"
"72","Jan-2018",2018,1,"Beef",488.06,"Red Meat"
"73","Dec-2017",2017,12,"Beef",485.19,"Red Meat"
"74","Nov-2017",2017,11,"Beef",507.04,"Red Meat"
"75","Oct-2017",2017,10,"Beef",496.02,"Red Meat"
"76","Sep-2017",2017,9,"Beef",476.57,"Red Meat"
"77","Aug-2017",2017,8,"Beef",431.84,"Red Meat"
"78","Jul-2017",2017,7,"Beef",415.33,"Red Meat"
"79","Jun-2017",2017,6,"Beef",411.5,"Red Meat"
"80","May-2017",2017,5,"Beef",458.42,"Red Meat"
"81","Apr-2017",2017,4,"Beef",464,"Red Meat"
"82","Mar-2017",2017,3,"Beef",502.45,"Red Meat"
"83","Feb-2017",2017,2,"Beef",538.22,"Red Meat"
"84","Jan-2017",2017,1,"Beef",567.89,"Red Meat"
"85","Dec-2016",2016,12,"Beef",530.95,"Red Meat"
"86","Nov-2016",2016,11,"Beef",533.07,"Red Meat"
"87","Oct-2016",2016,10,"Beef",519.02,"Red Meat"
"88","Sep-2016",2016,9,"Beef",476.59,"Red Meat"
"89","Aug-2016",2016,8,"Beef",469.74,"Red Meat"
"90","Jul-2016",2016,7,"Beef",464.53,"Red Meat"
"91","Jun-2016",2016,6,"Beef",461.68,"Red Meat"
"92","May-2016",2016,5,"Beef",467.8,"Red Meat"
"93","Apr-2016",2016,4,"Beef",481.76,"Red Meat"
"94","Mar-2016",2016,3,"Beef",506.36,"Red Meat"
"95","Feb-2016",2016,2,"Beef",534.11,"Red Meat"
"96","Jan-2016",2016,1,"Beef",512.52,"Red Meat"
"97","Dec-2015",2015,12,"Beef",510.64,"Red Meat"
"98","Nov-2015",2015,11,"Beef",509.13,"Red Meat"
"99","Oct-2015",2015,10,"Beef",498.35,"Red Meat"
"100","Sep-2015",2015,9,"Beef",470.32,"Red Meat"
"101","Aug-2015",2015,8,"Beef",460.09,"Red Meat"
"102","Jul-2015",2015,7,"Beef",474.27,"Red Meat"
"103","Jun-2015",2015,6,"Beef",474.61,"Red Meat"
"104","May-2015",2015,5,"Beef",484.29,"Red Meat"
"105","Apr-2015",2015,4,"Beef",481.47,"Red Meat"
"106","Mar-2015",2015,3,"Beef",491.88,"Red Meat"
"107","Feb-2015",2015,2,"Beef",492,"Red Meat"
"108","Jan-2015",2015,1,"Beef",444.38,"Red Meat"
"109","Dec-2014",2014,12,"Beef",400.83,"Red Meat"
"110","Nov-2014",2014,11,"Beef",380.93,"Red Meat"
"111","Oct-2014",2014,10,"Beef",378.17,"Red Meat"
"112","Sep-2014",2014,9,"Beef",346.56,"Red Meat"
"113","Aug-2014",2014,8,"Beef",367.94,"Red Meat"
"114","Jul-2014",2014,7,"Beef",358.17,"Red Meat"
"115","Jun-2014",2014,6,"Beef",377.64,"Red Meat"
"116","May-2014",2014,5,"Beef",402.28,"Red Meat"
"117","Apr-2014",2014,4,"Beef",405.79,"Red Meat"
"118","Mar-2014",2014,3,"Beef",409.51,"Red Meat"
"119","Feb-2014",2014,2,"Beef",429.3,"Red Meat"
"120","Jan-2014",2014,1,"Beef",439.37,"Red Meat"
"121","Dec-2013",2013,12,"Beef",450.76,"Red Meat"
"122","Nov-2013",2013,11,"Beef",440.11,"Red Meat"
"123","Oct-2013",2013,10,"Beef",445.16,"Red Meat"
"124","Sep-2013",2013,9,"Beef",430.24,"Red Meat"
"125","Aug-2013",2013,8,"Beef",462.6,"Red Meat"
"126","Jul-2013",2013,7,"Beef",481.25,"Red Meat"
"127","Jun-2013",2013,6,"Beef",482.57,"Red Meat"
"128","May-2013",2013,5,"Beef",510.13,"Red Meat"
"129","Apr-2013",2013,4,"Beef",511.23,"Red Meat"
"130","Mar-2013",2013,3,"Beef",489.98,"Red Meat"
"131","Feb-2013",2013,2,"Beef",484.61,"Red Meat"
"132","Jan-2013",2013,1,"Beef",465.72,"Red Meat"
"133","Dec-2012",2012,12,"Beef",441.76,"Red Meat"
"134","Nov-2012",2012,11,"Beef",430.34,"Red Meat"
"135","Oct-2012",2012,10,"Beef",424.93,"Red Meat"
"136","Sep-2012",2012,9,"Beef",432.78,"Red Meat"
"137","Aug-2012",2012,8,"Beef",461.05,"Red Meat"
"138","Jul-2012",2012,7,"Beef",468.73,"Red Meat"
"139","Jun-2012",2012,6,"Beef",497.9,"Red Meat"
"140","May-2012",2012,5,"Beef",517.85,"Red Meat"
"141","Apr-2012",2012,4,"Beef",503.17,"Red Meat"
"142","Mar-2012",2012,3,"Beef",470.81,"Red Meat"
"143","Feb-2012",2012,2,"Beef",485.06,"Red Meat"
"144","Jan-2012",2012,1,"Beef",457.22,"Red Meat"
"145","Dec-2011",2011,12,"Beef",443.76,"Red Meat"
"146","Nov-2011",2011,11,"Beef",416.95,"Red Meat"
"147","Oct-2011",2011,10,"Beef",427.59,"Red Meat"
"148","Sep-2011",2011,9,"Beef",428.63,"Red Meat"
"149","Aug-2011",2011,8,"Beef",415.2,"Red Meat"
"150","Jul-2011",2011,7,"Beef",432.76,"Red Meat"
"151","Jun-2011",2011,6,"Beef",447.64,"Red Meat"
"152","May-2011",2011,5,"Beef",443.15,"Red Meat"
"153","Apr-2011",2011,4,"Beef",445.53,"Red Meat"
"154","Mar-2011",2011,3,"Beef",459.83,"Red Meat"
"155","Feb-2011",2011,2,"Beef",461.73,"Red Meat"
"156","Jan-2011",2011,1,"Beef",444.96,"Red Meat"
"157","Dec-2010",2010,12,"Beef",435.17,"Red Meat"
"158","Nov-2010",2010,11,"Beef",414.65,"Red Meat"
"159","Oct-2010",2010,10,"Beef",396.82,"Red Meat"
"160","Sep-2010",2010,9,"Beef",387.44,"Red Meat"
"161","Aug-2010",2010,8,"Beef",388.8,"Red Meat"
"162","Jul-2010",2010,7,"Beef",374.22,"Red Meat"
"163","Jun-2010",2010,6,"Beef",362.78,"Red Meat"
"164","May-2010",2010,5,"Beef",369.49,"Red Meat"
"165","Apr-2010",2010,4,"Beef",384.6,"Red Meat"
"166","Mar-2010",2010,3,"Beef",404.51,"Red Meat"
"167","Feb-2010",2010,2,"Beef",426.26,"Red Meat"
"168","Jan-2010",2010,1,"Beef",430.28,"Red Meat"
"169","Dec-2009",2009,12,"Beef",430.91,"Red Meat"
"170","Nov-2009",2009,11,"Beef",427.72,"Red Meat"
"171","Oct-2009",2009,10,"Beef",428.91,"Red Meat"
"172","Sep-2009",2009,9,"Beef",420.1,"Red Meat"
"173","Aug-2009",2009,8,"Beef",444.81,"Red Meat"
"174","Jul-2009",2009,7,"Beef",434.8,"Red Meat"
"175","Jun-2009",2009,6,"Beef",417.88,"Red Meat"
"176","May-2009",2009,5,"Beef",410.71,"Red Meat"
"177","Apr-2009",2009,4,"Beef",425.88,"Red Meat"
"178","Mar-2009",2009,3,"Beef",434.51,"Red Meat"
"179","Feb-2009",2009,2,"Beef",462.65,"Red Meat"
"180","Jan-2009",2009,1,"Beef",492.64,"Red Meat"
"181","Dec-2008",2008,12,"Beef",481.56,"Red Meat"
"182","Nov-2008",2008,11,"Beef",470.98,"Red Meat"
"183","Oct-2008",2008,10,"Beef",454.52,"Red Meat"
"184","Sep-2008",2008,9,"Beef",441.15,"Red Meat"
"185","Aug-2008",2008,8,"Beef",430.82,"Red Meat"
"186","Jul-2008",2008,7,"Beef",428.12,"Red Meat"
"187","Jun-2008",2008,6,"Beef",420.37,"Red Meat"
"188","May-2008",2008,5,"Beef",416.35,"Red Meat"
"189","Apr-2008",2008,4,"Beef",426.71,"Red Meat"
"190","Mar-2008",2008,3,"Beef",436.55,"Red Meat"
"191","Feb-2008",2008,2,"Beef",450.78,"Red Meat"
"192","Jan-2008",2008,1,"Beef",482.51,"Red Meat"
"193","Dec-2007",2007,12,"Beef",475.31,"Red Meat"
"194","Nov-2007",2007,11,"Beef",488.03,"Red Meat"
"195","Oct-2007",2007,10,"Beef",486.72,"Red Meat"
"196","Sep-2007",2007,9,"Beef",480.94,"Red Meat"
"197","Aug-2007",2007,8,"Beef",467.73,"Red Meat"
"198","Jul-2007",2007,7,"Beef",430.32,"Red Meat"
"199","Jun-2007",2007,6,"Beef",411.48,"Red Meat"
"200","May-2007",2007,5,"Beef",417.26,"Red Meat"
"201","Apr-2007",2007,4,"Beef",427.19,"Red Meat"
"202","Mar-2007",2007,3,"Beef",458.9,"Red Meat"
"203","Feb-2007",2007,2,"Beef",470.57,"Red Meat"
"204","Jan-2007",2007,1,"Beef",482.08,"Red Meat"
"205","Dec-2006",2006,12,"Beef",520.33,"Red Meat"
"206","Nov-2006",2006,11,"Beef",485.71,"Red Meat"
"207","Oct-2006",2006,10,"Beef",491.92,"Red Meat"
"208","Sep-2006",2006,9,"Beef",484.5,"Red Meat"
"209","Aug-2006",2006,8,"Beef",479.22,"Red Meat"
"210","Jul-2006",2006,7,"Beef",449.11,"Red Meat"
"211","Jun-2006",2006,6,"Beef",446.28,"Red Meat"
"212","May-2006",2006,5,"Beef",441.27,"Red Meat"
"213","Apr-2006",2006,4,"Beef",436.16,"Red Meat"
"214","Mar-2006",2006,3,"Beef",440.56,"Red Meat"
"215","Feb-2006",2006,2,"Beef",465.88,"Red Meat"
"216","Jan-2006",2006,1,"Beef",434.44,"Red Meat"
"217","Dec-2005",2005,12,"Beef",429.89,"Red Meat"
"218","Nov-2005",2005,11,"Beef",439.19,"Red Meat"
"219","Oct-2005",2005,10,"Beef",438.75,"Red Meat"
"220","Sep-2005",2005,9,"Beef",410.59,"Red Meat"
"221","Aug-2005",2005,8,"Beef",385.25,"Red Meat"
"222","Jul-2005",2005,7,"Beef",342.11,"Red Meat"
"223","Jun-2005",2005,6,"Beef",318.19,"Red Meat"
"224","May-2005",2005,5,"Beef",329.43,"Red Meat"
"225","Apr-2005",2005,4,"Beef",372.32,"Red Meat"
"226","Mar-2005",2005,3,"Beef",400.24,"Red Meat"
"227","Feb-2005",2005,2,"Beef",453.26,"Red Meat"
"228","Jan-2005",2005,1,"Beef",484.28,"Red Meat"
"229","Dec-2004",2004,12,"Beef",463.3,"Red Meat"
"230","Nov-2004",2004,11,"Beef",452.59,"Red Meat"
"231","Oct-2004",2004,10,"Beef",457.24,"Red Meat"
"232","Sep-2004",2004,9,"Beef",445.99,"Red Meat"
"233","Aug-2004",2004,8,"Beef",427.05,"Red Meat"
"234","Jul-2004",2004,7,"Beef",411.77,"Red Meat"
"235","Jun-2004",2004,6,"Beef",402.82,"Red Meat"
"236","May-2004",2004,5,"Beef",421.18,"Red Meat"
"237","Apr-2004",2004,4,"Beef",416.77,"Red Meat"
"238","Mar-2004",2004,3,"Beef",435.03,"Red Meat"
"239","Feb-2004",2004,2,"Beef",434.35,"Red Meat"
"240","Jan-2004",2004,1,"Beef",395.08,"Red Meat"
"241","Dec-2003",2003,12,"Beef",373.77,"Red Meat"
"242","Nov-2003",2003,11,"Beef",375.17,"Red Meat"
"243","Oct-2003",2003,10,"Beef",379.83,"Red Meat"
"244","Sep-2003",2003,9,"Beef",370.99,"Red Meat"
"245","Aug-2003",2003,8,"Beef",368.25,"Red Meat"
"246","Jul-2003",2003,7,"Beef",371.48,"Red Meat"
"247","Jun-2003",2003,6,"Beef",385.12,"Red Meat"
"248","May-2003",2003,5,"Beef",389.65,"Red Meat"
"249","Apr-2003",2003,4,"Beef",403.15,"Red Meat"
"250","Mar-2003",2003,3,"Beef",441.86,"Red Meat"
"251","Feb-2003",2003,2,"Beef",482.42,"Red Meat"
"252","Jan-2003",2003,1,"Beef",524.64,"Red Meat"
"253","Dec-2002",2002,12,"Beef",512.57,"Red Meat"
"254","Nov-2002",2002,11,"Beef",525.17,"Red Meat"
"255","Oct-2002",2002,10,"Beef",494.91,"Red Meat"
"256","Sep-2002",2002,9,"Beef",461.76,"Red Meat"
"257","Aug-2002",2002,8,"Beef",416.53,"Red Meat"
"258","Jul-2002",2002,7,"Beef",396.87,"Red Meat"
"259","Jun-2002",2002,6,"Beef",401.76,"Red Meat"
"260","May-2002",2002,5,"Beef",405.74,"Red Meat"
"261","Apr-2002",2002,4,"Beef",410.49,"Red Meat"
"262","Mar-2002",2002,3,"Beef",439.03,"Red Meat"
"263","Feb-2002",2002,2,"Beef",455.45,"Red Meat"
"264","Jan-2002",2002,1,"Beef",460.74,"Red Meat"
"265","Dec-2001",2001,12,"Beef",427.55,"Red Meat"
"266","Nov-2001",2001,11,"Beef",395.12,"Red Meat"
"267","Oct-2001",2001,10,"Beef",382.77,"Red Meat"
"268","Sep-2001",2001,9,"Beef",373.21,"Red Meat"
"269","Aug-2001",2001,8,"Beef",351.36,"Red Meat"
"270","Jul-2001",2001,7,"Beef",340.79,"Red Meat"
"271","Jun-2001",2001,6,"Beef",325.15,"Red Meat"
"272","May-2001",2001,5,"Beef",315.34,"Red Meat"
"273","Apr-2001",2001,4,"Beef",332.6,"Red Meat"
"274","Mar-2001",2001,3,"Beef",360.21,"Red Meat"
"275","Feb-2001",2001,2,"Beef",410.89,"Red Meat"
"276","Jan-2001",2001,1,"Beef",401.72,"Red Meat"
"277","Dec-2000",2000,12,"Beef",411.84,"Red Meat"
"278","Nov-2000",2000,11,"Beef",404.39,"Red Meat"
"279","Oct-2000",2000,10,"Beef",405.7,"Red Meat"
"280","Sep-2000",2000,9,"Beef",398.8,"Red Meat"
"281","Aug-2000",2000,8,"Beef",391.53,"Red Meat"
"282","Jul-2000",2000,7,"Beef",405.06,"Red Meat"
"283","Jun-2000",2000,6,"Beef",401.09,"Red Meat"
"284","May-2000",2000,5,"Beef",396.13,"Red Meat"
"285","Apr-2000",2000,4,"Beef",378.15,"Red Meat"
"286","Mar-2000",2000,3,"Beef",369.04,"Red Meat"
"287","Feb-2000",2000,2,"Beef",350.95,"Red Meat"
"288","Jan-2000",2000,1,"Beef",314.16,"Red Meat"
"289","Dec-1999",1999,12,"Beef",308.94,"Red Meat"
"290","Nov-1999",1999,11,"Beef",322.47,"Red Meat"
"291","Oct-1999",1999,10,"Beef",294.37,"Red Meat"
"292","Sep-1999",1999,9,"Beef",377.87,"Red Meat"
"293","Aug-1999",1999,8,"Beef",292.72,"Red Meat"
"294","Jul-1999",1999,7,"Beef",293.12,"Red Meat"
"295","Jun-1999",1999,6,"Beef",306.74,"Red Meat"
"296","May-1999",1999,5,"Beef",316.76,"Red Meat"
"297","Apr-1999",1999,4,"Beef",309.19,"Red Meat"
"298","Mar-1999",1999,3,"Beef",300.09,"Red Meat"
"299","Feb-1999",1999,2,"Beef",301.1,"Red Meat"
"300","Jan-1999",1999,1,"Beef",296.42,"Red Meat"
"301","Dec-1998",1998,12,"Beef",328.18,"Red Meat"
"302","Nov-1998",1998,11,"Beef",358.23,"Red Meat"
"303","Oct-1998",1998,10,"Beef",323.06,"Red Meat"
"304","Sep-1998",1998,9,"Beef",306.75,"Red Meat"
"305","Aug-1998",1998,8,"Beef",303,"Red Meat"
"306","Jul-1998",1998,7,"Beef",316.49,"Red Meat"
"307","Jun-1998",1998,6,"Beef",310.22,"Red Meat"
"308","May-1998",1998,5,"Beef",335.45,"Red Meat"
"309","Apr-1998",1998,4,"Beef",329.65,"Red Meat"
"310","Mar-1998",1998,3,"Beef",334.95,"Red Meat"
"311","Feb-1998",1998,2,"Beef",331.08,"Red Meat"
"312","Jan-1998",1998,1,"Beef",350.16,"Red Meat"
"313","Dec-1997",1997,12,"Beef",378.16,"Red Meat"
"314","Nov-1997",1997,11,"Beef",351.56,"Red Meat"
"315","Oct-1997",1997,10,"Beef",349.09,"Red Meat"
"316","Sep-1997",1997,9,"Beef",324.56,"Red Meat"
"317","Aug-1997",1997,8,"Beef",302.79,"Red Meat"
"318","Jul-1997",1997,7,"Beef",305.57,"Red Meat"
"319","Jun-1997",1997,6,"Beef",278.74,"Red Meat"
"320","May-1997",1997,5,"Beef",285.45,"Red Meat"
"321","Apr-1997",1997,4,"Beef",290.42,"Red Meat"
"322","Mar-1997",1997,3,"Beef",261.7,"Red Meat"
"323","Feb-1997",1997,2,"Beef",290.3,"Red Meat"
"324","Jan-1997",1997,1,"Beef",284.94,"Red Meat"
"325","Dec-1996",1996,12,"Beef",288.02,"Red Meat"
"326","Nov-1996",1996,11,"Beef",295.94,"Red Meat"
"327","Oct-1996",1996,10,"Beef",312.18,"Red Meat"
"328","Sep-1996",1996,9,"Beef",305.2,"Red Meat"
"329","Aug-1996",1996,8,"Beef",291.14,"Red Meat"
"330","Jul-1996",1996,7,"Beef",306.68,"Red Meat"
"331","Jun-1996",1996,6,"Beef",307.37,"Red Meat"
"332","May-1996",1996,5,"Beef",335.56,"Red Meat"
"333","Apr-1996",1996,4,"Beef",347.28,"Red Meat"
"334","Mar-1996",1996,3,"Beef",362.62,"Red Meat"
"335","Feb-1996",1996,2,"Beef",367.89,"Red Meat"
"336","Jan-1996",1996,1,"Beef",389.63,"Red Meat"
"337","Dec-1995",1995,12,"Beef",381.39,"Red Meat"
"338","Nov-1995",1995,11,"Beef",381.56,"Red Meat"
"339","Oct-1995",1995,10,"Beef",347.7,"Red Meat"
"340","Sep-1995",1995,9,"Beef",344.85,"Red Meat"
"341","Aug-1995",1995,8,"Beef",359.3,"Red Meat"
"342","Jul-1995",1995,7,"Beef",352.27,"Red Meat"
"343","Jun-1995",1995,6,"Beef",359.09,"Red Meat"
"344","May-1995",1995,5,"Beef",392.18,"Red Meat"
"345","Apr-1995",1995,4,"Beef",384.48,"Red Meat"
"346","Mar-1995",1995,3,"Beef",407.74,"Red Meat"
"347","Feb-1995",1995,2,"Beef",420.32,"Red Meat"
"348","Jan-1995",1995,1,"Beef",411.19,"Red Meat"
"349","Dec-1994",1994,12,"Beef",419.47,"Red Meat"
"350","Nov-1994",1994,11,"Beef",410.58,"Red Meat"
"351","Oct-1994",1994,10,"Beef",406.78,"Red Meat"
"352","Sep-1994",1994,9,"Beef",377.23,"Red Meat"
"353","Aug-1994",1994,8,"Beef",388.88,"Red Meat"
"354","Jul-1994",1994,7,"Beef",379.39,"Red Meat"
"355","Jun-1994",1994,6,"Beef",367.86,"Red Meat"
"356","May-1994",1994,5,"Beef",399.54,"Red Meat"
"357","Apr-1994",1994,4,"Beef",423.2,"Red Meat"
"358","Mar-1994",1994,3,"Beef",414.42,"Red Meat"
"359","Feb-1994",1994,2,"Beef",430.24,"Red Meat"
"360","Jan-1994",1994,1,"Beef",400.98,"Red Meat"
"361","Dec-1993",1993,12,"Beef",376.34,"Red Meat"
"362","Nov-1993",1993,11,"Beef",344.42,"Red Meat"
"363","Oct-1993",1993,10,"Beef",326.83,"Red Meat"
"364","Sep-1993",1993,9,"Beef",307.47,"Red Meat"
"365","Aug-1993",1993,8,"Beef",285.31,"Red Meat"
"366","Jul-1993",1993,7,"Beef",271.74,"Red Meat"
"367","Jun-1993",1993,6,"Beef",262.14,"Red Meat"
"368","May-1993",1993,5,"Beef",276.7,"Red Meat"
"369","Apr-1993",1993,4,"Beef",293.9,"Red Meat"
"370","Mar-1993",1993,3,"Beef",279.92,"Red Meat"
"371","Feb-1993",1993,2,"Beef",286.38,"Red Meat"
"372","Jan-1993",1993,1,"Beef",272.77,"Red Meat"
"373","Dec-1992",1992,12,"Beef",275.92,"Red Meat"
"374","Nov-1992",1992,11,"Beef",291.22,"Red Meat"
"375","Oct-1992",1992,10,"Beef",275.21,"Red Meat"
"376","Sep-1992",1992,9,"Beef",288.93,"Red Meat"
"377","Aug-1992",1992,8,"Beef",294.1,"Red Meat"
"378","Jul-1992",1992,7,"Beef",299.38,"Red Meat"
"379","Jun-1992",1992,6,"Beef",303.55,"Red Meat"
"380","May-1992",1992,5,"Beef",302.06,"Red Meat"
"381","Apr-1992",1992,4,"Beef",313.75,"Red Meat"
"382","Mar-1992",1992,3,"Beef",298.87,"Red Meat"
"383","Feb-1992",1992,2,"Beef",329.09,"Red Meat"
"384","Jan-1992",1992,1,"Beef",315.89,"Red Meat"
"385","Dec-1991",1991,12,"Beef",306.33,"Red Meat"
"386","Nov-1991",1991,11,"Beef",298.15,"Red Meat"
"387","Oct-1991",1991,10,"Beef",276.71,"Red Meat"
"388","Sep-1991",1991,9,"Beef",259.42,"Red Meat"
"389","Aug-1991",1991,8,"Beef",273.22,"Red Meat"
"390","Jul-1991",1991,7,"Beef",247.13,"Red Meat"
"391","Jun-1991",1991,6,"Beef",234.72,"Red Meat"
"392","May-1991",1991,5,"Beef",265.58,"Red Meat"
"393","Apr-1991",1991,4,"Beef",276.94,"Red Meat"
"394","Mar-1991",1991,3,"Beef",271.33,"Red Meat"
"395","Feb-1991",1991,2,"Beef",298.89,"Red Meat"
"396","Jan-1991",1991,1,"Beef",300.38,"Red Meat"
"397","Dec-1990",1990,12,"Beef",277.17,"Red Meat"
"398","Nov-1990",1990,11,"Beef",267.42,"Red Meat"
"399","Oct-1990",1990,10,"Beef",243.03,"Red Meat"
"400","Sep-1990",1990,9,"Beef",240.49,"Red Meat"
"401","Aug-1990",1990,8,"Beef",265.36,"Red Meat"
"402","Jul-1990",1990,7,"Beef",256.51,"Red Meat"
"403","Jun-1990",1990,6,"Beef",270.38,"Red Meat"
"404","May-1990",1990,5,"Beef",293.32,"Red Meat"
"405","Apr-1990",1990,4,"Beef",304.29,"Red Meat"
"406","Mar-1990",1990,3,"Beef",267.65,"Red Meat"
"407","Feb-1990",1990,2,"Beef",259.84,"Red Meat"
"408","Jan-1990",1990,1,"Beef",251.65,"Red Meat"
"409","Dec-1989",1989,12,"Beef",237.64,"Red Meat"
"410","Nov-1989",1989,11,"Beef",220.66,"Red Meat"
"411","Oct-1989",1989,10,"Beef",231.82,"Red Meat"
"412","Sep-1989",1989,9,"Beef",242.42,"Red Meat"
"413","Aug-1989",1989,8,"Beef",249.2,"Red Meat"
"414","Jul-1989",1989,7,"Beef",241.81,"Red Meat"
"415","Jun-1989",1989,6,"Beef",244.11,"Red Meat"
"416","May-1989",1989,5,"Beef",275.43,"Red Meat"
"417","Apr-1989",1989,4,"Beef",298.85,"Red Meat"
"418","Mar-1989",1989,3,"Beef",313.36,"Red Meat"
"419","Feb-1989",1989,2,"Beef",315.14,"Red Meat"
"420","Jan-1989",1989,1,"Beef",317.46,"Red Meat"
"421","Dec-1988",1988,12,"Beef",300.41,"Red Meat"
"422","Nov-1988",1988,11,"Beef",296.49,"Red Meat"
"423","Oct-1988",1988,10,"Beef",307.58,"Red Meat"
"424","Sep-1988",1988,9,"Beef",294.9,"Red Meat"
"425","Aug-1988",1988,8,"Beef",269.61,"Red Meat"
"426","Jul-1988",1988,7,"Beef",248.42,"Red Meat"
"427","Jun-1988",1988,6,"Beef",275.12,"Red Meat"
"428","May-1988",1988,5,"Beef",305.02,"Red Meat"
"429","Apr-1988",1988,4,"Beef",313.18,"Red Meat"
"430","Mar-1988",1988,3,"Beef",325.36,"Red Meat"
"431","Feb-1988",1988,2,"Beef",316.69,"Red Meat"
"432","Jan-1988",1988,1,"Beef",288.65,"Red Meat"
"433","Dec-1987",1987,12,"Beef",304.31,"Red Meat"
"434","Nov-1987",1987,11,"Beef",307.62,"Red Meat"
"435","Oct-1987",1987,10,"Beef",286.51,"Red Meat"
"436","Sep-1987",1987,9,"Beef",269.27,"Red Meat"
"437","Aug-1987",1987,8,"Beef",278.66,"Red Meat"
"438","Jul-1987",1987,7,"Beef",252.73,"Red Meat"
